No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,9983,JP3802300008,ファーストリテイリング,"FAST RETAILING CO.,LTD.",7600,594244000,0.2497324916705714
2,3382,JP3422950000,セブン＆アイ・ホールディングス,"SEVEN & I HOLDINGS CO.,LTD.",124000,261516000.00000003,0.10990273741379157
3,8267,JP3388200002,イオン,"AEON CO.,LTD.",132600,180866400.00000003,0.07600954613170052
4,7532,JP3639650005,パン・パシフィック・インターナショナルホ,PAN PACIFIC INTERNATIONAL HOLDINGS CORPO,113500,102399700.00000001,0.04303372390351272
5,7453,JP3976300008,良品計画,"RYOHIN KEIKAKU CO.,LTD.",24500,102336500,0.04300716394922865
6,3563,JP3397150008,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥ,FOOD & LIFE COMPANIES LTD.,12900,71711100,0.030136764836392986
7,3099,JP3894900004,三越伊勢丹ホールディングス,ISETAN MITSUKOSHI HOLDINGS LTD.,17500,62772500.00000001,0.0263802963654508
8,7550,JP3429300001,ゼンショーホールディングス,"ZENSHO HOLDINGS CO.,LTD.",5700,56851800.00000001,0.02389210773681685
9,3088,JP3869010003,マツキヨココカラ＆カンパニー,MATSUKIYOCOCOKARA & CO.,19300,48915850,0.020557005376047415
10,3197,JP3396210001,すかいらーくホールディングス,"SKYLARK HOLDINGS CO.,LTD.",15300,48057300.00000001,0.020196197642652097
11,9843,JP3756100008,ニトリホールディングス,"NITORI HOLDINGS CO.,LTD.",18200,46200700,0.019415956960313556
12,3391,JP3536150000,ツルハホールディングス,TSURUHA HOLDINGS INC.,17600,42662400.00000001,0.01792897774760298
13,3086,JP3386380004,Ｊ．フロント　リテイリング,"J.FRONT RETAILING CO.,LTD.",12900,38461350,0.016163476229484743
14,8233,JP3456000003,高島屋,"TAKASHIMAYA COMPANY,LIMITED",15700,35725350.00000001,0.015013665550351791
15,3064,JP3922950005,ＭｏｎｏｔａＲＯ,"MONOTARO CO.,LTD.",15800,31647400.000000004,0.013299897107745711
16,8227,JP3358200008,しまむら,"SHIMAMURA CO.,LTD.",7900,26465000.000000004,0.011121980856452355
17,9831,JP3939000000,ヤマダホールディングス,"YAMADA HOLDINGS CO.,LTD.",34500,24601950,0.010339029545868052
18,3092,JP3399310006,ＺＯＺＯ,"ZOZO,INC.",17700,20231100,0.008502169163233448
19,8252,JP3870400003,丸井グループ,"MARUI GROUP CO.,LTD.",6600,19585500,0.008230854187192426
20,7649,JP3397060009,スギホールディングス,"SUGI HOLDINGS CO.,LTD.",6000,16935000,0.007116975091782377
21,2670,JP3152740001,エービーシー・マート,"ABC-MART,INC.",5900,16065700.000000002,0.006751649644644119
22,9861,JP3958000006,吉野家ホールディングス,"YOSHINOYA HOLDINGS CO.,LTD.",4100,15756300,0.006621623539335734
23,8242,JP3774600005,エイチ・ツー・オー　リテイリング,H2O RETAILING CORPORATION,5500,15749250.000000002,0.00661866075962525
24,3387,JP3269930008,クリエイト・レストランツ・ホールディング,CREATE RESTAURANTS HOLDINGS INC.,18900,14723100.000000002,0.0061874187170842115
25,8174,JP3695600001,日本瓦斯,"NIPPON GAS CO.,LTD.",5100,14540100,0.006110512520343958
26,7419,JP3761600000,ノジマ,"NOJIMA CO.,LTD.",11000,14355000.000000002,0.006032723793477179
27,3397,JP3636650008,トリドールホールディングス,TORIDOLL HOLDINGS CORPORATION,3200,13904000,0.00584318994249437
28,8282,JP3277150003,ケーズホールディングス,K'S HOLDINGS CORPORATION,7300,13771450.000000002,0.005787485481412839
29,7581,JP3310500008,サイゼリヤ,"SAIZERIYA CO.,LTD.",1700,13396000.000000002,0.00562970170236296
30,7616,JP3305970000,コロワイド,"COLOWIDE CO.,LTD.",6300,12962250,0.005447417205990913
31,2730,JP3164470001,エディオン,EDION CORPORATION,5300,12836600.000000002,0.005394612486753686
32,9989,JP3336600006,サンドラッグ,"SUNDRUG CO.,LTD.",3300,12474000.000000002,0.005242228951573273
33,3349,JP3298400007,コスモス薬品,COSMOS PHARMACEUTICAL CORPORATION,1900,12127700.000000002,0.005096695531184478
34,3097,JP3922930007,物語コーポレーション,THE MONOGATARI CORPORATION,2200,12056000.000000002,0.005066563431150183
35,417A,JP3831110006,ブルーゾーンホールディングス,"BLUE ZONES HOLDINGS CO.,LTD.",6600,11804100.000000002,0.004960701841211005
36,3048,JP3800390001,ビックカメラ,BIC CAMERA INC.,6700,11684800.000000002,0.0049105657249754195
37,3549,JP3266190002,クスリのアオキホールディングス,"KUSURI NO AOKI HOLDINGS CO.,LTD.",2700,10854000,0.004561419996823497
38,3186,JP3758210003,ネクステージ,"NEXTAGE CO.,LTD.",2900,9715000,0.004082752466292636
39,3050,JP3548660004,ＤＣＭホールディングス,"DCM HOLDINGS CO.,LTD.",5800,8908800.000000002,0.0037439449481943225
40,3191,JP3392920009,ジョイフル本田,"JOYFUL HONDA CO.,LTD.",3300,8226900,0.0034573748085376106
41,2659,JP3324500002,サンエー,"SAN-A CO.,LTD.",2500,8137500,0.003419804240294012
42,9627,JP3105250009,アインホールディングス,AIN HOLDINGS INC.,1300,7647900,0.0032140486450807464
43,9956,JP3778400006,バローホールディングス,"VALOR HOLDINGS CO.,LTD.",2300,7509500,0.0031558857072181727
44,9936,JP3174300008,王将フードサービス,OHSHO FOOD SERVICE CORP.,2300,6946000.000000001,0.0029190734565999643
45,9948,JP3968600001,アークス,"ARCS COMPANY,LIMITED",1900,6868500,0.0028865038924066875
46,2726,JP3781650001,パルグループホールディングス,"PAL GROUP HOLDINGS CO.,LTD",4400,6578000.000000001,0.002764420558237052
47,3087,JP3639100001,ドトール・日レスホールディングス,"DOUTOR.NICHIRES HOLDINGS CO.,LTD.",2000,6390000,0.0026854130992907815
48,9842,JP3100100001,アークランズ,ARCLANDS CORPORATION,3300,6316200.000000001,0.002654398469129959
49,8273,JP3138400001,イズミ,"IZUMI CO.,LTD.",6000,6006000,0.0025240361618686126
50,8179,JP3983600002,ロイヤルホールディングス,"ROYAL HOLDINGS CO., LTD.",4400,5852000.000000001,0.002459317285923264
51,8218,JP3305600003,コメリ,"KOMERI CO.,LTD.",1500,5790000,0.0024332616345686424
52,3046,JP3386110005,ジンズホールディングス,JINS HOLDINGS INC.,900,5742000.000000001,0.0024130895173908717
53,8194,JP3966600003,ライフコーポレーション,LIFE CORPORATION,2200,5684800,0.0023890510777540273
54,8219,JP3106200003,青山商事,"AOYAMA TRADING CO.,LTD.",7200,5400000,0.002269363182499252
55,3148,JP3269940007,クリエイトＳＤホールディングス,"CREATE SD HOLDINGS CO.,LTD.",1600,5328000.000000001,0.0022391050067325957
56,7611,JP3765180009,ハイデイ日高,HIDAY HIDAKA CORP.,1800,5184000.000000001,0.0021785886551992824
57,2685,JP3856000009,アンドエスティＨＤ,"AND ST HD CO.,LTD.",1500,5070000.000000001,0.002130679876902076
