No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8306,JP3902900004,三菱ＵＦＪフィナンシャル・グループ,"MITSUBISHI UFJ FINANCIAL GROUP,INC.",2224100,7942261100.000001,0.31243010094339585
2,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",768600,5237240400.000001,0.20602087066072794
3,8411,JP3885780001,みずほフィナンシャルグループ,"MIZUHO FINANCIAL GROUP,INC.",490500,4005913500.0000005,0.15758333092014717
4,7182,JP3946750001,ゆうちょ銀行,"JAPAN POST BANK CO.,LTD.",382900,1191201900,0.04685911545529079
5,8308,JP3500610005,りそなホールディングス,"RESONA HOLDINGS, INC.",432400,947604600.0000001,0.037276563576136554
6,8309,JP3892100003,三井住友トラストグループ,"SUMITOMO MITSUI TRUST GROUP,INC.",486400,804505600,0.03164738135057373
7,7186,JP3305990008,横浜フィナンシャルグループ,"YOKOHAMA FINANCIAL GROUP,INC.",183900,338192100,0.013303691557213978
8,8331,JP3511800009,千葉銀行,"THE CHIBA BANK,LTD.",103800,272682600,0.010726700012860017
9,5831,JP3351500008,しずおかフィナンシャルグループ,"SHIZUOKA FINANCIAL GROUP,INC.",77700,247086000.00000003,0.009719789232527233
10,7167,JP3117700009,めぶきフィナンシャルグループ,"MEBUKI FINANCIAL GROUP,INC.",164800,246705600,0.00970482518023753
11,5844,JP3252200005,京都フィナンシャルグループ,"KYOTO FINANCIAL GROUP,INC.",48400,214750800,0.008447797582690274
12,8354,JP3805010000,ふくおかフィナンシャルグループ,"FUKUOKA FINANCIAL GROUP,INC.",28100,206816000.00000003,0.008135660984087939
13,8359,JP3769000005,八十二長野銀行,"HACHIJUNI NAGANO BANK,LTD.",72700,182331600.00000003,0.007172501567994393
14,5830,JP3149700001,いよぎんホールディングス,"IYOGIN HOLDINGS,INC.",46100,167527400,0.0065901387317504135
15,8334,JP3276400003,群馬銀行,"THE GUNMA BANK,LTD.",63600,161448600.00000003,0.006351012861459559
16,8377,JP3842400008,ほくほくフィナンシャルグループ,"HOKUHOKU FINANCIAL GROUP,INC.",21100,157595900,0.006199456593697896
17,8341,JP3352000008,七十七銀行,"THE 77 BANK,LTD.",33900,118480500,0.00466074762699806
