No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8766,JP3910660004,東京海上ホールディングス,"TOKIO MARINE HOLDINGS,INC.",478400,3445436800.0000005,0.24048429729054507
2,8591,JP3200450009,オリックス,ORIX CORPORATION,278000,1709422000.0000002,0.11931408767764894
3,8750,JP3476480003,第一ライフグループ,"DAIICHI LIFE GROUP,INC.",895700,1593002450.0000002,0.11118824607967463
4,8630,JP3165000005,ＳＯＭＰＯホールディングス,"SOMPO HOLDINGS,INC.",231100,1441601800.0000002,0.10062079671459506
5,8725,JP3890310000,ＭＳ＆ＡＤインシュアランスグループホール,"MS&AD INSURANCE GROUP HOLDINGS,INC.",290100,1230024000.0000002,0.08585310788185273
6,8604,JP3762600009,野村ホールディングス,"NOMURA HOLDINGS,INC.",764000,1079914000.0000002,0.07537574319291583
7,8601,JP3502200003,大和証券グループ本社,DAIWA SECURITIES GROUP INC.,332700,530822850.00000006,0.03705032699134531
8,8697,JP3183200009,日本取引所グループ,"JAPAN EXCHANGE GROUP,INC.",255200,521884000.00000006,0.03642641391860063
9,8795,JP3539220008,Ｔ＆Ｄホールディングス,"T&D HOLDINGS, INC.",103500,497524500.00000006,0.03472617166198776
10,8473,JP3436120004,ＳＢＩホールディングス,"SBI HOLDINGS,INC.",163500,431476500.00000006,0.030116159118020645
11,8593,JP3499800005,三菱ＨＣキャピタル,MITSUBISHI HC CAPITAL INC.,233300,306556200,0.021396982912895046
12,7181,JP3233250004,かんぽ生命保険,"JAPAN POST INSURANCE CO.,LTD.",157700,240729050.00000003,0.01680238523796765
13,8729,JP3435350008,ソニーフィナンシャルグループ,SONY FINANCIAL GROUP INC.,1543300,220537570.00000003,0.015393062077822584
14,8253,JP3271400008,クレディセゾン,"CREDIT SAISON CO.,LTD.",22800,100411200,0.007008492180759309
15,8439,JP3424950008,東京センチュリー,TOKYO CENTURY CORPORATION,34800,86721600,0.006052986673826591
16,7164,JP3429250008,全国保証,"ZENKOKU HOSHO CO.,LTD.",26800,81552400,0.00569218730303149
17,8424,JP3826270005,芙蓉総合リース,"FUYO GENERAL LEASE CO.,LTD.",12800,54016000,0.0037702040572754323
18,8425,JP3286500008,みずほリース,"MIZUHO LEASING COMPANY,LIMITED",35000,43995000.00000001,0.0030707591732048404
19,8616,JP3577600004,東海東京フィナンシャル・ホールディングス,"TOKAI TOKYO FINANCIAL HOLDINGS,INC.",55100,41545400.00000001,0.0028997822060339673
20,8570,JP3131400008,イオンフィナンシャルサービス,"AEON FINANCIAL SERVICE CO.,LTD.",26700,39142200,0.0027320438620165584
21,8572,JP3108600002,アコム,"ACOM CO.,LTD.",83000,37665400,0.0026289663044079914
22,8511,JP3714400003,日本証券金融,"JAPAN SECURITIES FINANCE CO.,LTD.",16100,37625700,0.0026261953272702205
23,8609,JP3190800007,岡三証券グループ,OKASAN SECURITIES GROUP INC.,36800,35291200,0.002463252099861499
24,547A,JP3914100007,ムニノバホールディングス,MUNINOVA HOLDINGS INC.,77100,33769800.00000001,0.0023570615553424896
25,8628,JP3863800003,松井証券,"MATSUI SECURITIES CO.,LTD.",32100,30848100.000000004,0.0021531329935433625
26,8698,JP3869970008,マネックスグループ,"MONEX GROUP,INC.",48900,30513600,0.0021297855917150406
27,8595,JP3389900006,ジャフコ　グループ,"JAFCO GROUP CO.,LTD.",12500,29637500,0.0020686356403195466
28,8566,JP3974100004,リコーリース,"RICOH LEASING COMPANY,LTD.",4400,26928000,0.0018795181956145
29,7148,JP3166990006,ＦＰＧ,"FINANCIAL PARTNERS GROUP CO.,LTD.",16300,25183500.000000004,0.0017577557367519968
30,8584,JP3388600003,ジャックス,"JACCS CO.,LTD.",5600,19740000.000000004,0.0013778107984785443
31,8707,JP3149950002,岩井コスモホールディングス,"IWAICOSMO HOLDINGS,INC.",4900,19526500,0.0013629089440978363
32,8715,JP3122440005,アニコム　ホールディングス,"ANICOM HOLDINGS,INC.",14600,17855800,0.0012462975711992495
33,8613,JP3874800000,丸三証券,"MARUSAN SECURITIES CO.,LTD.",15500,16647000.000000002,0.001161925854218456
34,7199,JP3833710001,プレミアグループ,"PREMIUM GROUP CO.,LTD.",7900,16432000.000000002,0.0011469193029685631
35,8585,JP3199000005,オリエントコーポレーション,ORIENT CORPORATION,18200,15451800.000000002,0.0010785033888516093
36,7157,JP3966660007,ライフネット生命保険,LIFENET INSURANCE COMPANY,9900,15384600.000000002,0.001073812969112108
37,7172,JP3389470000,ジャパンインベストメントアドバイザー,"JAPAN INVESTMENT ADVISER CO.,LTD.",7500,15247500.000000002,0.0010642436752685714
38,8771,JP3130300001,イー・ギャランティ,"EGUARANTEE,INC.",7200,12398400,0.0008653824419380131
39,8624,JP3142300007,いちよし証券,"ICHIYOSHI SECURITIES CO.,LTD.",8700,12223500.000000002,0.0008531747869910074
40,471A,JP3164810008,ＮＳグループ,"NS GROUP,INC.",8300,12151200,0.0008481283978962758
41,8739,JP3399900004,スパークス・グループ,"SPARX GROUP CO.,LTD.",5100,11220000,0.0007831325815060417
42,8706,JP3256970009,極東証券,"KYOKUTO SECURITIES CO.,LTD.",6400,9977600.000000002,0.0006964156546554976
43,8793,JP3164740007,ＮＥＣキャピタルソリューション,NEC CAPITAL SOLUTIONS LIMITED,2300,9165500,0.0006397327696785763
44,8614,JP3611800008,東洋証券,"TOYO SECURITIES CO.,LTD.",14400,8841600.000000002,0.0006171252257258307
45,8622,JP3905400002,水戸証券,"MITO SECURITIES CO.,LTD.",12800,8409600.000000002,0.0005869725274004643
46,8708,JP3101850000,アイザワ証券グループ,"AIZAWA SECURITIES GROUP CO.,LTD.",4900,7325500.000000001,0.0005113046101446086
47,7383,JP3758270007,ネットプロテクションズホールディングス,"NET PROTECTIONS HOLDINGS,INC.",14100,4836300,0.00033756364562724327
48,7187,JP3386590008,ジェイリース,"J-LEASE CO.,LTD.",3500,4599000.000000001,0.00032100060092212895
49,7388,JP3167010002,ＦＰパートナー,FP PARTNER INC.,2100,4510800.000000001,0.0003148444250140333
50,7198,JP3126290000,ＳＢＩアルヒ,SBI ARUHI CORPORATION,4700,3680100,0.00025686329885921426
51,8798,JP3122100005,アドバンスクリエイト,"ADVANCE CREATE CO.,LTD.",4000,496000.00000000006,3.46197647439391e-05
,,,,,,,
,,,合計（Total）,,,14229898620,0.9932172228921445
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,14327075983,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
1632,NEXT FUNDS 金融（除く銀行）（TOPIX-17）上場投信　（NEXT FUNDS TOPIX-17 FINANCIALS（EX BANKS）ETF）,,,,,,
,"2026年6月30日現在　（as of June 30, 2026）",,,ISINコード：,JP3046710004,,
