No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8802,JP3899600005,三菱地所,"MITSUBISHI ESTATE COMPANY,LIMITED",203100,790668300.0000001,0.24592917132258646
2,8801,JP3893200000,三井不動産,"MITSUI FUDOSAN CO.,LTD.",490800,765648000.0000001,0.23814686659980636
3,8830,JP3409000001,住友不動産,"SUMITOMO REALTY & DEVELOPMENT CO.,LTD.",96600,348049800,0.10825727918141138
4,1878,JP3486800000,大東建託,"DAITO TRUST CONSTRUCTION CO.,LTD.",57800,194728200,0.06056818625350083
5,3003,JP3360800001,ヒューリック,"HULIC CO.,LTD.",99000,174091500.00000003,0.054149354829713114
6,3289,JP3569200003,東急不動産ホールディングス,TOKYU FUDOSAN HOLDINGS CORPORATION,92800,124027200.00000001,0.03857737374504668
7,8804,JP3582600007,東京建物,"TOKYO TATEMONO CO.,LTD.",29500,99916500,0.031077990664926374
8,3288,JP3173540000,オープンハウスグループ,"OPEN HOUSE GROUP CO.,LTD.",10500,89344500.00000001,0.02778967975221825
9,3231,JP3762900003,野村不動産ホールディングス,"NOMURA REAL ESTATE HOLDINGS,INC.",94700,87124000,0.02709901626549214
10,9706,JP3699400002,日本空港ビルデング,"JAPAN AIRPORT TERMINAL CO.,LTD.",12000,68004000.00000001,0.021151938640541386
11,3291,JP3131090007,飯田グループホールディングス,"IIDA GROUP HOLDINGS CO.,LTD.",28900,66152100,0.020575924359492934
12,4666,JP3780100008,パーク２４,"PARK24 CO.,LTD.",24300,47992500.00000001,0.014927569190138558
13,8919,JP3932950003,カチタス,"KATITAS CO.,LTD",9100,30894500.000000004,0.009609413686403827
14,8850,JP3399200009,スターツコーポレーション,STARTS CORPORATION INC.,6300,29956500,0.009317658518401535
15,3498,JP3211050004,霞ヶ関キャピタル,"KASUMIGASEKI CAPITAL CO.,LTD.",3500,26005000,0.008088585441257554
16,8923,JP3595070008,トーセイ,TOSEI CORPORATION,11300,20554700.000000004,0.0063933261745593795
17,8848,JP3167500002,レオパレス２１,LEOPALACE21 CORPORATION,30200,20445400,0.006359329543575742
18,3480,JP3386630002,ジェイ・エス・ビー,"J.S.B.CO.,LTD.",1700,15232000.000000002,0.004737755563977507
19,8803,JP3834800009,平和不動産,"HEIWA REAL ESTATE CO.,LTD.",6400,15072000.000000002,0.00468798922401976
20,8934,JP3336950005,サンフロンティア不動産,"SUN FRONTIER FUDOUSAN CO.,LTD.",5300,13292400.000000002,0.00413446310783972
21,8818,JP3279000008,京阪神ビルディング,"KEIHANSHIN BUILDING CO.,LTD.",10100,11604900.000000002,0.003609583741097858
22,2337,JP3120010008,いちご,ICHIGO INC.,26900,11136600.000000002,0.0034639238848340275
23,3465,JP3277620005,ケイアイスター不動産,"KI-STAR REAL ESTATE CO.,LTD",2900,10266000.000000002,0.003193132787538937
24,2353,JP3728000005,日本駐車場開発,"NIPPON PARKING DEVELOPMENT CO.,LTD.",40400,9938400.000000002,0.0030912362064754503
25,166A,JP3464310006,タスキホールディングス,TASUKI HOLDINGS INC.,8400,9315600,0.0028975207281899196
26,3252,JP3714200007,地主,"JINUSHI CO.,LTD.",3100,9058200.000000002,0.002817459128782895
27,8897,JP3460800000,ＭＩＲＡＲＴＨホールディングス,"MIRARTH HOLDINGS,INC.",21300,8754300,0.002722934186825649
28,8877,JP3688350002,エスリード,ESLEAD CORPORATION,1600,8336000.000000001,0.0025928263117986146
29,8892,JP3688330004,エスコン,ES-CON JAPAN LTD.,7600,8154800.000000001,0.0025364659317964663
30,3482,JP3982600003,ロードスターキャピタル,LOADSTAR CAPITAL K.K.,2800,7579600,0.002357555939648366
31,3284,JP3802060008,フージャースホールディングス,"HOOSIERS HOLDINGS CO.,LTD.",5900,7321900.000000001,0.00227740102835392
32,3245,JP3548720006,ディア・ライフ,"DEAR LIFE CO., LTD.",6700,7309700,0.0022736063449321415
33,8935,JP3166930002,ＦＪネクストホールディングス,"FJ NEXT HOLDINGS CO.,LTD.",3100,5921000,0.0018416656180613718
34,8871,JP3306800008,ゴールドクレスト,"GOLDCREST CO.,LTD.",1800,5841000,0.0018167824480824983
35,8841,JP3538400007,テーオーシー,"TOC CO.,LTD.",6100,5654700,0.0017588357659941967
36,2975,JP3399340003,スター・マイカ・ホールディングス,"STAR MICA HOLDINGS CO.,LTD.",3500,5323500.000000001,0.001655819442281661
37,3475,JP3273750004,グッドコムアセット,"GOOD COM ASSET CO.,LTD.",3200,4944000.000000001,0.00153777990469438
38,2980,JP3161320001,ＳＲＥホールディングス,SRE HOLDINGS CORPORATION,1700,4639300.000000001,0.0014430061310373456
39,3232,JP3332510001,三重交通グループホールディングス,"MIE KOTSU GROUP HOLDINGS,INC.",8300,4598200,0.0014302224024606992
40,8864,JP3266050008,空港施設,"AIRPORT FACILITIES CO.,LTD.",4700,4422700,0.0013756349483195454
41,3496,JP3119880007,アズーム,"AZOOM CO.,LTD",800,3724000,0.0011583115625165594
42,8881,JP3677900007,日神グループホールディングス,"NISSHIN GROUP HOLDINGS COMPANY,LIMITED",5400,3618000.0000000005,0.0011253413622945522
43,3276,JP3695050009,ＪＰＭＣ,"JAPAN PROPERTY MANAGEMENT CENTER CO.,LTD",1800,3279600,0.0010200855532839174
44,8860,JP3815000009,フジ住宅,FUJI CORPORATION LIMITED,4300,3186300,0.0009910655562960563
45,4809,JP3781700004,パラカ,PARACA INC.,1200,2454000,0.0007632912391019434
46,8918,JP3968800007,ランド,"LAND CO.,LTD.",219200,2411200,0.000749978743163246
47,8869,JP3920850009,明和地所,MEIWA ESTATE COMPANY LIMITED,2700,2259900.0000000005,0.0007029184479407018
48,8999,JP3274030000,グランディハウス,GRANDY HOUSE CORPORATION,3200,1734400.0000000002,0.0005394671251419766
49,3457,JP3765420009,Ａｎｄ　Ｄｏホールディングス,"&DO HOLDINGS CO.,LTD.",1800,1684800,0.000524039559755075
50,1435,JP3153950005,ｒｏｂｏｔ　ｈｏｍｅ,ROBOT HOME INC.,9400,1532200.0000000002,0.000476574913020374
51,6620,JP3907850006,宮越ホールディングス,"MIYAKOSHI HOLDINGS,INC.",1500,1008000.0000000001,0.0003135279417338056
,,,,,,,
,,,合計（Total）,,,3204211900,0.9966368669503636
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,3215024455,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
1633,NEXT FUNDS 不動産（TOPIX-17）上場投信　（NEXT FUNDS TOPIX-17 REAL ESTATE ETF）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3046720003,,
