Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
RELIANCE ,RELIANCE INDUSTRIES LTD ORD,INE002A01018,XNSE,INR,71809,1313.2
LT ,LARSEN & TOUBRO LTD ORD,INE018A01030,XNSE,INR,22920,4081.0
HINDUNILVR,HINDUSTAN UNILEVER LTD,INE030A01027,XNSE,INR,38539,2028.0
HDFCBANK ,HDFC BANK LTD ORD,INE040A01034,XNSE,INR,120186,725.05
ICICIBANK ,ICICI BANK LTD ORD,INE090A01021,XNSE,INR,69259,1411.9
,TATA CONSULTANCY SVCS LTD,INE467B01029,XNSE,INR,42947,2298.0
INFY ,INFOSYS (INFOSYS TECH) LTD ORD,INE009A01021,XNSE,INR,83149,1130.0
BHARTIARTL ,BHARTI AIRTEL LTD,INE397D01024,XNSE,INR,50935,1941.7
MARUTI,MARUTI SUZUKI INDIA LTD,INE585B01010,XNSE,INR,5699,13809.0
SUNPHARMA ,SUN PHARMACEUTICAL INDUS,INE044A01036,XNSE,INR,41027,1904.0
ULTRACEMCO ,ULTRATECH CEMENT LTD,INE481G01011,XNSE,INR,4965,11575.0
ONGC ,OIL & NATURAL GAS CORP LTD,INE213A01029,XNSE,INR,168391,238.5
JSWSTEEL ,JSW STEEL LTD,INE019A01038,XNSE,INR,38972,1299.7
,TITAN INDUSTRIES LTD,INE280A01028,XNSE,INR,15932,5068.0
,BHARAT ELECTRONICS LTD,INE263A01024,XNSE,INR,155103,409.4
,nan,CASHUSDJPY01,,USD,1772068.37,0.006283775
,nan,CASHINRJPY01,,INR,2343265.22,0.598802395
,nan,CASHHKDJPY01,,HKD,0.08,0.049285362
,IFSC NIFTY 50 FUT Sep26,,NGC,USD,36.0,24364
,INR/USD Sep26,,NGC,USD,84.0,104.17
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
188A,Global X India Top 10+ ETF,-1378701.0,2600000,20260824,,
,,,,,,
