Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
PLD,PROLOGIS INC,US74340W1036,XNYS,USD,1511,140.68
ESS,ESSEX PROPERTY TRUST INC,US2971781057,XNYS,USD,172,287.71
O,REALTY INCOME CORP,US7561091049,XNYS,USD,2489,63.17
DLR,DIGITAL REALTY TRUST INC,US2538681030,XNYS,USD,938,194.3
AMT,AMERICAN TOWER CORP,US03027X1000,XNYS,USD,1080,175.72
ARE,ALEXANDRIA REAL ESTATE EQUITIES INC,US0152711091,XNYS,USD,462,52.94
BXP,BOSTON PROPERTIES INC,US1011211018,XNYS,USD,423,67.78
EQIX,EQUINIX INC,US29444U7000,XNAS,USD,202,1082.61
VMRK,VIVMARK RESIDENTIAL,US29476L1070,XNYS,USD,2044,65.14
EXR,EXTRA SPACE STORAGE INC,US30225T1025,XNYS,USD,567,147.26
HST,HOST HOTELS & RESORTS INC,US44107P1049,XNAS,USD,1563,23.09
INVH,INVITATION HOMES INC,US46187W1071,XNYS,USD,1600,30.27
IRM,IRON MTN INC,US46284V1017,XNYS,USD,674,122.94
PSA,PUBLIC STORAGE,US74460D1090,XNYS,USD,468,322.74
RHP,RYMAN HOSPITALITY PROPERTIES,US78377T1079,XNYS,USD,141,128.64
SBAC,SBA COMMUNICATIONS CORP-CL A,US78410G1040,XNAS,USD,241,180.54
SPG,SIMON PROPERTY GROUP INC,US8288061091,XNYS,USD,871,219.9
WELL,WELLTOWER INC,US95040Q1040,XNYS,USD,1056,237.4
VTR,VENTAS INC,US92276F1003,XNYS,USD,1298,92.68
,nan,CASHUSDJPY01,,USD,41223.78,0.006283775
,DJ US REAL ESTATE Sep26,,CME,USD,1.0,395.2
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2018,Global X US REIT Top 20 ETF,-550434.0,275000,20260824,,
,,,,,,
