No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,7203,JP3633400001,トヨタ自動車,TOYOTA MOTOR CORPORATION,89200,273576400.00000006,0.07268145162037526
2,6981,JP3914400001,村田製作所,"MURATA MANUFACTURING CO.,LTD.",36200,268459200,0.07132195743801234
3,3064,JP3922950005,ＭｏｎｏｔａＲＯ,"MONOTARO CO.,LTD.",111000,222333000.00000003,0.0590675408518896
4,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,50600,191622200.00000003,0.050908556654338126
5,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",14400,180720000.00000003,0.048012152864187904
6,285A,JP3236330001,キオクシアホールディングス,KIOXIA HOLDINGS CORPORATION,3200,148800000.00000003,0.03953191869295684
7,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,27200,143072000.00000003,0.03801015236047527
8,6501,JP3788600009,日立製作所,"HITACHI,LTD.",26300,138522100,0.03680137361812927
9,6954,JP3802400006,ファナック,FANUC CORPORATION,15500,110592500.00000001,0.029381274986900734
10,7936,JP3118000003,アシックス,ASICS CORPORATION,22400,106489600.00000001,0.028291251403531562
11,5631,JP3721400004,日本製鋼所,"THE JAPAN STEEL WORKS,LTD.",13900,104111000.00000001,0.027659325181736756
12,6134,JP3809200003,ＦＵＪＩ,FUJI CORPORATION,12900,94557000,0.025121099703292467
13,1605,JP3294460005,ＩＮＰＥＸ,INPEX CORPORATION,21600,78343200,0.020813555191841773
14,4063,JP3371200001,信越化学工業,"SHIN-ETSU CHEMICAL CO.,LTD.",13400,77720000,0.020647988715165357
15,7741,JP3837800006,ＨＯＹＡ,HOYA CORPORATION,2900,71557500,0.01901078811741437
16,6951,JP3735000006,日本電子,JEOL LTD.,8300,68250900.00000001,0.018132318746781773
17,6702,JP3818000006,富士通,FUJITSU LIMITED,18000,65862000.00000001,0.017497656108572065
18,8015,JP3635000007,豊田通商,TOYOTA TSUSHO CORPORATION,9200,61842400,0.01642976296086904
19,7532,JP3639650005,パン・パシフィック・インターナショナルホ,PAN PACIFIC INTERNATIONAL HOLDINGS CORPO,64200,57921240,0.015388022515290584
20,3891,JP3707000000,ニッポン高度紙工業,NIPPON KODOSHI CORPORATION,8500,57205000,0.015197737962571206
21,6861,JP3236200006,キーエンス,KEYENCE CORPORATION,700,56805000,0.015091469363934226
22,4686,JP3388450003,ジャストシステム,JUSTSYSTEMS CORPORATION,13800,55614000,0.014775054611492616
