No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,285A,JP3236330001,キオクシアホールディングス,KIOXIA HOLDINGS CORPORATION,339300,22342905000.000004,0.33044431978227434
2,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,152500,7994050000.000001,0.11822940725726983
3,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,225400,5898718000.000001,0.08724012643375863
4,6723,JP3164720009,ルネサスエレクトロニクス,RENESAS ELECTRONICS CORPORATION,1175800,5291100000,0.07825365324696996
5,6146,JP3548600000,ディスコ,DISCO CORPORATION,68200,4439138000,0.06565341153398117
6,4063,JP3371200001,信越化学工業,"SHIN-ETSU CHEMICAL CO.,LTD.",373400,2896837200.0000005,0.04284328282620314
7,6920,JP3979200007,レーザーテック,LASERTEC CORPORATION,59300,2379709000.0000005,0.035195124438149664
8,5016,JP3379550001,ＪＸ金属,JX ADVANCED METALS CORPORATION,583600,2292964400,0.033912199932952795
9,7741,JP3837800006,ＨＯＹＡ,HOYA CORPORATION,69300,1876644000.0000002,0.027754956217800972
10,6963,JP3982800009,ローム,ROHM COMPANY LIMITED,253800,1385240400,0.020487256321992397
11,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,401200,1381732800,0.020435380055407175
12,7735,JP3494600004,ＳＣＲＥＥＮホールディングス,"SCREEN HOLDINGS CO.,LTD.",119900,1333288000.0000002,0.019718897172676025
13,6525,JP3293330001,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,KOKUSAI ELECTRIC CORPORATION,149700,1229186700.0000002,0.018179272702762626
14,4186,JP3571800006,東京応化工業,"TOKYO OHKA KOGYO CO.,LTD.",80300,884103000.0000001,0.013075596680577933
15,3436,JP3322930003,ＳＵＭＣＯ,SUMCO CORPORATION,220100,879079400,0.01300129926558833
16,4021,JP3670800006,日産化学,NISSAN CHEMICAL CORPORATION,86000,645774000,0.009550788053884596
17,7729,JP3580200008,東京精密,"TOKYO SEIMITSU CO.,LTD.",26600,462441000,0.006839352433554845
18,4980,JP3548770001,デクセリアルズ,DEXERIALS CORPORATION,110900,447814200.00000006,0.006623026804609488
19,6323,JP3982200002,ローツェ,RORZE CORPORATION,110900,436169700,0.006450808425589182
20,4203,JP3409400003,住友ベークライト,"SUMITOMO BAKELITE COMPANY,LIMITED",58900,406410000.00000006,0.006010672112812283
21,4626,JP3449100001,太陽ホールディングス,"TAIYO HOLDINGS CO.,LTD.",73400,364210800,0.005386559628810934
22,3132,JP3862960006,マクニカホールディングス,"MACNICA HOLDINGS,INC.",112600,350186000,0.005179137384654122
23,6526,JP3433500000,ソシオネクスト,SOCIONEXT INC.,113100,298018500,0.004407596976088548
24,6728,JP3126190002,アルバック,"ULVAC, INC.",31000,294624000,0.0043573934218282175
25,4401,JP3114800000,ＡＤＥＫＡ,ADEKA CORPORATION,65200,279838400,0.004138719192377177
26,6890,JP3802720007,フェローテック,FERROTEC CORPORATION,29600,257224000,0.0038042595495829984
27,4043,JP3625000009,トクヤマ,TOKUYAMA CORPORATION,45300,231347100.00000003,0.003421548589724649
28,4272,JP3694400007,日本化薬,"NIPPON KAYAKU CO.,LTD.",100600,214529500,0.003172821739193333
29,8154,JP3206200002,加賀電子,"KAGA ELECTRONICS CO.,LTD.",33000,146025000,0.0021596623982515525
30,6315,JP3555700008,ＴＯＷＡ,TOWA CORPORATION,47200,141836000,0.0020977084466249425
,,,,,,,
,,,合計（Total）,,,67481144100,0.9980242390259519
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,67614734654,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
200A,NEXT FUNDS 日経半導体株指数連動型上場投信（NEXT FUNDS Nikkei Semiconductor Stock Index Exchange Traded Fund）,,,,,,
,"2026年5月29日現在　（as of May 29, 2026）",,,ISINコード：,JP3050420003,,
