Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
AAPL,APPLE INC,US0378331005,XNAS,USD,223660,316.83
GOOGL,ALPHABET INC-CL A,US02079K3059,XNAS,USD,183508,344.72
INTC,INTEL CORP,US4581401001,XNAS,USD,119746,92.8
MSFT,MICROSOFT CORP,US5949181045,XNAS,USD,155018,483.4
NVDA,NVIDIA CORP,US67066G1040,XNAS,USD,330565,217.56
TSLA,TESLA INC,US88160R1014,XNAS,USD,160159,351.12
LRCX,LAM RESEARCH CORP,US5128073062,XNAS,USD,35144,307.17
MU,MICRON TECHNOLOGY INC,US5951121038,XNAS,USD,31659,937.105
AMD,ADVANCED MICRO DEVICES,US0079031078,XNAS,USD,45757,466.42
AMZN,AMAZON.COM INC,US0231351067,XNAS,USD,257891,265.84
AVGO,BROADCOM INC,US11135F1012,XNAS,USD,130923,362.48
ISRG,INTUITIVE SURGICAL INC,US46120E6023,XNAS,USD,67469,397.72
KLAC,KLA CORP,US4824801009,XNAS,USD,250175,187.27
META,META PLATFORMS INC,US30303M1027,XNAS,USD,98547,546.03
NFLX,NETFLIX INC,US64110L1061,XNAS,USD,188188,80.22
PANW,PALO ALTO NETWORKS INC,US6974351057,XNAS,USD,133266,359.76
PDD,PINDUODUO INC,US7223041028,XNAS,USD,394441,90.2
MELI,MERCADOLIBRE INC,US58733R1023,XNAS,USD,13347,1908.65
ARM,ARM HOLDINGS ADR,US0420682058,XNAS,USD,29869,249.34
PLTR,PALANTIR TECHNOLOGIES INC,US69608A1088,XNAS,USD,361761,175.19
SPCX,SPACE EXPLORATION TECHNOLOGIES CORP,US84615Q1031,XNAS,USD,20864,139.65
,nan,CASHUSDJPY01,,USD,6815310.55,0.006309944
,NASD100 MICRO EMINSep26,,CME,USD,4.0,29512.75
,NASDAQ 100 E-MINI Sep26,,CME,USD,11.0,29512.75
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2244,Global X US Tech Top 20 ETF,-1475635.20518,38220000,20260821,,
,,,,,,
