No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8306,JP3902900004,三菱ＵＦＪフィナンシャル・グループ,"MITSUBISHI UFJ FINANCIAL GROUP,INC.",242200,864896200.0000001,0.052750084609488705
2,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",126700,863333800.0000001,0.05265479371539775
3,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,11000,610500000.0000001,0.03723444114344918
4,8411,JP3885780001,みずほフィナンシャルグループ,"MIZUHO FINANCIAL GROUP,INC.",74700,610074900,0.037208514262318824
5,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",47600,597380000,0.036434251351799625
6,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,107600,565976000,0.03451891901818967
7,8766,JP3910660004,東京海上ホールディングス,"TOKIO MARINE HOLDINGS,INC.",64300,521730200,0.03182036433195736
8,8001,JP3143600009,伊藤忠商事,ITOCHU CORPORATION,159300,320830200,0.019567458147323552
9,6981,JP3914400001,村田製作所,"MURATA MANUFACTURING CO.,LTD.",42100,312213600,0.019041931062054682
10,4502,JP3463000004,武田薬品工業,TAKEDA PHARMACEUTICAL COMPANY LIMITED,51900,286124700.00000006,0.017450767079176175
11,7741,JP3837800006,ＨＯＹＡ,HOYA CORPORATION,10500,259087500.00000003,0.01580176620762226
12,9433,JP3496400007,ＫＤＤＩ,KDDI CORPORATION,86900,253834900.00000003,0.015481409736614757
13,8591,JP3200450009,オリックス,ORIX CORPORATION,38700,248067000,0.015129625079659308
14,9434,JP3732000009,ソフトバンク,SOFTBANK CORP.,986500,220384100,0.013441242916301421
15,8750,JP3476480003,第一ライフグループ,"DAIICHI LIFE GROUP,INC.",110800,212569800.00000003,0.012964648168672831
16,8725,JP3890310000,ＭＳ＆ＡＤインシュアランスグループホール,"MS&AD INSURANCE GROUP HOLDINGS,INC.",42900,211239600,0.012883519170132264
17,8002,JP3877600001,丸紅,MARUBENI CORPORATION,39700,206479700.00000003,0.012593212509364527
18,7182,JP3946750001,ゆうちょ銀行,"JAPAN POST BANK CO.,LTD.",58700,182615700.00000003,0.011137745345650735
19,8053,JP3404600003,住友商事,SUMITOMO CORPORATION (SUMITOMO SHOJI KAI,109300,182531000.00000003,0.01113257948624885
20,6702,JP3818000006,富士通,FUJITSU LIMITED,47700,174534300,0.01064486014883391
21,6701,JP3733000008,日本電気,NEC CORPORATION,36300,172062000,0.010494074384969947
22,6723,JP3164720009,ルネサスエレクトロニクス,RENESAS ELECTRONICS CORPORATION,48700,167625400.00000003,0.010223485815638209
23,8308,JP3500610005,りそなホールディングス,"RESONA HOLDINGS, INC.",72000,157788000,0.009623502046097557
24,6146,JP3548600000,ディスコ,DISCO CORPORATION,2600,152048000,0.009273419012250877
25,4519,JP3519400000,中外製薬,"CHUGAI PHARMACEUTICAL CO.,LTD.",21400,148344800.00000003,0.009047560564351746
26,9432,JP3735400008,ＮＴＴ,"NTT,INC.",971200,148010880.00000003,0.009027194758313055
27,8604,JP3762600009,野村ホールディングス,"NOMURA HOLDINGS,INC.",93500,142120000,0.008667909541862404
28,6954,JP3802400006,ファナック,FANUC CORPORATION,19500,139132500.00000003,0.008485701691058056
29,5803,JP3811000003,フジクラ,FUJIKURA LTD.,32400,135172800,0.00824419928877187
30,4503,JP3942400007,アステラス製薬,ASTELLAS PHARMA INC.,57200,125954400.00000001,0.007681968376017126
31,6301,JP3304200003,小松製作所,KOMATSU LTD.,18000,125892000,0.007678162595300743
32,8309,JP3892100003,三井住友トラストグループ,"SUMITOMO MITSUI TRUST GROUP,INC.",76000,125704000.00000001,0.007666696461091132
33,2802,JP3119600009,味の素,"AJINOMOTO CO.,INC.",25300,125614500.00000001,0.007661237849326449
34,4568,JP3475350009,第一三共,"DAIICHI SANKYO COMPANY,LIMITED",48700,125037250,0.007626031328196135
35,4901,JP3814000000,富士フイルムホールディングス,FUJIFILM HOLDINGS CORPORATION,32300,121835600.00000001,0.007430762452705679
36,6971,JP3249600002,京セラ,KYOCERA CORPORATION,31300,115528300.00000001,0.007046079748980737
37,3382,JP3422950000,セブン＆アイ・ホールディングス,"SEVEN & I HOLDINGS CO.,LTD.",51400,108402600.00000001,0.006611482767398631
38,7936,JP3118000003,アシックス,ASICS CORPORATION,22500,106965000.00000001,0.006523803434740445
39,8802,JP3899600005,三菱地所,"MITSUBISHI ESTATE COMPANY,LIMITED",26700,103943100,0.00633949752533604
40,8801,JP3893200000,三井不動産,"MITSUI FUDOSAN CO.,LTD.",65400,102024000.00000001,0.0062224514712846185
41,4661,JP3198900007,オリエンタルランド,"ORIENTAL LAND CO.,LTD.",31100,98493700,0.006007138207453792
42,8267,JP3388200002,イオン,"AEON CO.,LTD.",71700,97798800.00000001,0.005964756203931135
43,7751,JP3242800005,キヤノン,CANON INC.,20800,92102400,0.005617332337379875
44,5108,JP3830800003,ブリヂストン,BRIDGESTONE CORPORATION,23200,91988000.00000001,0.005610355072733175
45,4452,JP3205800000,花王,KAO CORPORATION,27800,90850400.00000001,0.005540972762749903
46,9020,JP3783600004,東日本旅客鉄道,EAST JAPAN RAILWAY COMPANY,23600,86753600,0.005291108621101282
47,8601,JP3502200003,大和証券グループ本社,DAIWA SECURITIES GROUP INC.,43600,78785200.00000001,0.004805115302825344
48,4507,JP3347200002,塩野義製薬,"SHIONOGI & CO.,LTD.",26200,76202700,0.004647608432632129
49,7453,JP3976300008,良品計画,"RYOHIN KEIKAKU CO.,LTD.",17600,73515200.00000001,0.004483697604502695
50,8795,JP3539220008,Ｔ＆Ｄホールディングス,"T&D HOLDINGS, INC.",14400,73267200.00000001,0.0044685720657581
51,9101,JP3753000003,日本郵船,NIPPON YUSEN KABUSHIKI KAISHA,11200,68432000,0.004173672852298959
52,2502,JP3116000005,アサヒグループホールディングス,"ASAHI GROUP HOLDINGS,LTD.",40700,67826550,0.004136746411037204
53,2503,JP3258000003,キリンホールディングス,"KIRIN HOLDINGS COMPANY,LIMITED",22900,67623700,0.004124374574205183
54,8697,JP3183200009,日本取引所グループ,"JAPAN EXCHANGE GROUP,INC.",30700,67309750,0.004105226739975886
55,9532,JP3180400008,大阪瓦斯,"OSAKA GAS CO.,LTD.",12200,67283000.00000001,0.0041035952554540405
56,6361,JP3166000004,荏原製作所,EBARA CORPORATION,12000,66696000,0.004067794081086791
