No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
1,2330,TW0002330008,TAIWAN SEMICONDUCTOR,台湾,TW,台湾・ドル,TWD,51627.2018,562758054.151079,0.1435454940046451,MOTHER FUND
2,005930,KR7005930003,SAMSUNG ELECTRONICS,韓国,KR,韓国・ウォン,KRW,9799.4299,227362403.318889,0.05799445829651606,MOTHER FUND
3,000660,KR7000660001,SK HYNIX INC,韓国,KR,韓国・ウォン,KRW,1157.2764,171481019.46024603,0.04374051596289175,MOTHER FUND
4,CNYA,IE00BQT3WG13,ISHARES MSCI CHINA A UCITS ETF,アイルランド,IE,アメリカ・ドル,USD,147411.0026,139841418.13544604,0.03567004559151763,MOTHER FUND
5,700,KYG875721634,TENCENT HOLDINGS LTD,香港,HK,香港・ドル,HKD,12906.8005,124772389.02648301,0.031826313437600263,MOTHER FUND
6,9988,KYG017191142,ALIBABA GROUP HOLDING LIMITED,ケイマン諸島（英領）,KY,香港・ドル,HKD,35078.2157,80356545.03717652,0.020496943346760804,MOTHER FUND
7,2454,TW0002454006,MEDIATEK INC,台湾,TW,台湾・ドル,TWD,3022.099,48330079.2776769,0.012327793541157069,MOTHER FUND
8,939,CNE1000002H1,CHINA CONSTRUCTION BANK-H,中国,CN,香港・ドル,HKD,176306.2272,33813136.6037702,0.008624884818319635,MOTHER FUND
9,2308,TW0002308004,DELTA ELECTRONICS INC,台湾,TW,台湾・ドル,TWD,4077.8953,30843385.127070304,0.007867375548306653,MOTHER FUND
10,HDFCB,INE040A01034,HDFC BANK LIMITED,インド,IN,インド・ルピー,INR,23867.2421,30411055.083698504,0.007757098975290792,MOTHER FUND
11,2317,TW0002317005,HON HAI PRECISION INDUSTRY,台湾,TW,台湾・ドル,TWD,25595.4726,29038914.771095503,0.007407100325669674,MOTHER FUND
12,005935,KR7005931001,SAMSUNG ELECTRONICS PFD,韓国,KR,韓国・ウォン,KRW,1681.1524,28453227.792274605,0.007257706236883583,MOTHER FUND
13,RELIANCE,INE002A01018,RELIANCE INDUSTRIES LIMITED,インド,IN,インド・ルピー,INR,12758.7224,27877821.2701154,0.007110934435276168,MOTHER FUND
14,ICICIBC,INE090A01021,ICICI BANK LTD,インド,IN,インド・ルピー,INR,11103.1835,26906244.596841805,0.0068631095441000975,MOTHER FUND
15,1810,KYG9830T1067,XIAOMI CORPORATION,ケイマン諸島（英領）,KY,香港・ドル,HKD,35925.5955,22849023.6108492,0.00582821402119396,MOTHER FUND
16,1398,CNE1000003G1,IND & COMM BK OF CHINA-H,中国,CN,香港・ドル,HKD,135271.273,21175852.048126303,0.005401429834359196,MOTHER FUND
17,3690,KYG596691041,MEITUAN-CLASS B,ケイマン諸島（英領）,KY,香港・ドル,HKD,10646.1427,20210621.278440803,0.005155223624353017,MOTHER FUND
18,BHARTI,INE397D01024,BHARTI AIRTEL LIMITED,インド,IN,インド・ルピー,INR,5787.0491,19137725.194395404,0.004881554687473438,MOTHER FUND
19,VALE3,BRVALEACNOR0,VALE SA,ブラジル,BR,ブラジル・レアル,BRL,7495.3092,18096192.582091805,0.004615885787220024,MOTHER FUND
20,NU,KYG6683N1034,NU HOLDINGS LTD/CAYMAN ISL-A,ケイマン諸島（英領）,KY,アメリカ・ドル,USD,7706.7273,17947679.2253387,0.004578003747142301,MOTHER FUND
21,3711,TW0003711008,ASE TECHNOLOGY HOLDING CO LTD,台湾,TW,台湾・ドル,TWD,6985.7874,17439791.211286806,0.004448454226991773,MOTHER FUND
22,402340,KR7402340004,SK SQUARE CO LTD,韓国,KR,韓国・ウォン,KRW,193.5687,17335218.0995084,0.004421780243600316,MOTHER FUND
23,PDD,US7223041028,PDD HOLDINGS INC ADR,ケイマン諸島（英領）,KY,アメリカ・ドル,USD,1205.0349,16934785.689322304,0.004319639958425113,MOTHER FUND
24,2318,CNE1000003X6,PING AN INSURANCE GROUP CO-H,中国,CN,香港・ドル,HKD,13780.5942,16574788.7975081,0.004227813761901706,MOTHER FUND
25,RJHI,SA0007879113,AL RAJHI BANK,サウジアラビア,SA,サウジアラビア・リヤル,SAR,6117.8901,16412889.0142579,0.0041865171794814825,MOTHER FUND
26,9999,KYG6427A1022,"NETEASE, INC.",ケイマン諸島（英領）,KY,香港・ドル,HKD,3753.3109,15888643.368212802,0.004052795236834482,MOTHER FUND
27,3988,CNE1000001Z5,BANK OF CHINA LTD-H,中国,CN,香港・ドル,HKD,137672.5382,15627843.102031104,0.003986271616658014,MOTHER FUND
28,ITUB4,BRITUBACNPR1,ITAU UNIBANCO HOLDING SA-PREF,ブラジル,BR,ブラジル・レアル,BRL,11313.014,15342033.125169301,0.003913368645270119,MOTHER FUND
29,1211,CNE100000296,BYD CO LTD-H,中国,CN,香港・ドル,HKD,7697.389,14951808.666776203,0.0038138321530963534,MOTHER FUND
30,ARAMCO,SA14TG012N13,SAUDI ARABIAN OIL CO,サウジアラビア,SA,サウジアラビア・リヤル,SAR,12812.6175,14551638.1946024,0.0037117586817518823,MOTHER FUND
31,105560,KR7105560007,KB FINANCIAL GROUP INC,韓国,KR,韓国・ウォン,KRW,753.7305,14142266.5811131,0.003607338229558719,MOTHER FUND
32,ANG,GB00BRXH2664,ANGLOGOLD ASHANTI PLC,イギリス,GB,南アフリカ・ランド,ZAR,1083.2374,13957669.398848101,0.0035602521087566507,MOTHER FUND
33,NPN,ZAE000351946,NASPERS LTD-N SHS,南アフリカ,ZA,南アフリカ・ランド,ZAR,1641.665,13701833.9619148,0.0034949948922537552,MOTHER FUND
34,9618,KYG8208B1014,"JD.COM, INC.",ケイマン諸島（英領）,KY,香港・ドル,HKD,4934.8268,13013449.099352801,0.0033194051438123163,MOTHER FUND
35,2383,TW0002383007,ELITE MATERIAL CO LTD,台湾,TW,台湾・ドル,TWD,600.3163,12805468.5566473,0.0032663545130380465,MOTHER FUND
36,2303,TW0002303005,UNITED MICROELECTRONICS CORP,台湾,TW,台湾・ドル,TWD,23512.3884,12785684.132447502,0.0032613080016209123,MOTHER FUND
37,INFO,INE009A01021,INFOSYS LTD,インド,IN,インド・ルピー,INR,6371.357,12437647.048794,0.0031725324528100803,MOTHER FUND
38,GMEXICOB,MXP370841019,GRUPO MEXICO SAB DE CV- SER B,メキシコ,MX,メキシコ・ペソ,MXN,6283.0838,12395700.614336602,0.003161832967282497,MOTHER FUND
39,PETR4,BRPETRACNPR6,PETROBRAS-PETROLEO BRAS-PR,ブラジル,BR,ブラジル・レアル,BRL,9018.0849,12258401.7930681,0.0031268114745115526,MOTHER FUND
40,PETR3,BRPETRACNOR9,PETROBRAS - PETROLEO BRAS,ブラジル,BR,ブラジル・レアル,BRL,7830.7926,12063269.473286001,0.0030770381038191554,MOTHER FUND
41,009150,KR7009150004,SAMSUNG ELECTRO MECHANICS,韓国,KR,韓国・ウォン,KRW,115.9277,11421516.447202602,0.0029133429696871676,MOTHER FUND
42,005380,KR7005380001,HYUNDAI MOTOR CO LTD,韓国,KR,韓国・ウォン,KRW,285.6172,11236702.9909852,0.0028662016828130917,MOTHER FUND
43,2891,TW0002891009,CTBC FINANCIAL HOLDING,台湾,TW,台湾・ドル,TWD,35554.8935,11090810.361731902,0.002828988124724807,MOTHER FUND
44,OTP,HU0000061726,OTP BANK NYRT,ハンガリー,HU,ハンガリー・フォリント,HUF,460.2425,11008674.8320735,0.002808037406928446,MOTHER FUND
45,2881,TW0002881000,FUBON FINANCIAL HOLDING CO LTD,台湾,TW,台湾・ドル,TWD,17699.3256,10849580.3802556,0.0027674563943402767,MOTHER FUND
