No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,AAPL,US0378331005,APPLE INC,42930,2300570172.0000005,0.07463982525282088
2,NVDA,US67066G1040,NVIDIA CORP,70790,2219042011.0000005,0.07199472111112298
3,MSFT,US5949181045,MICROSOFT CORP,21706,1573702191.0000002,0.05105728048021538
4,AMZN,US0231351067,AMAZON.COM INC,28608,1082800213.0000002,0.03513042969333831
5,GOOGL,US02079K3059,ALPHABET INC-CL A,17133,918771435.0000001,0.02980867099396761
6,AVGO,US11135F1012,BROADCOM INC,13838,862572977.0000001,0.027985365130208023
7,GOOG,US02079K1079,ALPHABET INC-CL C,13810,740617175.0000001,0.024028624379312285
8,META,US30303M1027,META PLATFORMS INC-CLASS A,6418,556009962.0000001,0.018039217802441183
9,MU,US5951121038,MICRON TECHNOLOGY,3296,463336371.00000006,0.015032510716528658
10,JPM,US46625H1005,JPMORGAN CHASE & CO,7830,441522832.00000006,0.014324791056888738
11,BRK/B,US0846707026,BERKSHIRE HATHAWAY INC CL B,5358,438904694.00000006,0.014239848043549622
12,LLY,US5324571083,ELI LILLY & CO.,2312,429169112.00000006,0.013923986285426076
13,TSLA,US88160R1014,TESLA INC,8228,408424525.00000006,0.013250947763294902
14,AMD,US0079031078,ADVANCED MICRO DEVICES,4766,371804624,0.012062849680183877
15,XOM,US30233Q1085,EXXONMOBIL HOLDINGS CORP,12110,305513725,0.009912104105268025
16,JNJ,US4781601046,JOHNSON & JOHNSON,7032,289123425,0.009380336310166269
17,V,US92826C8394,VISA INC-CLASS A SHARES,4849,285445668,0.009261014959683967
18,WMT,US9311421039,WALMART INC,12810,228735258.00000003,0.007421099297065431
19,MA,US57636Q1040,MASTERCARD INC,2358,218802810.00000003,0.007098850407605027
20,ABBV,US00287Y1091,ABBVIE INC,5167,213763622,0.006935358714843866
21,CSCO,US17275R1023,CISCO SYSTEMS,11540,210620731,0.0068333905862973995
22,INTC,US4581401001,INTEL CORP,13807,202223033.00000003,0.006560935210289004
23,COST,US22160K1051,COSTCO WHOLESALE CORPORATION,1297,198900401,0.006453135554848007
24,BAC,US0605051046,BANK OF AMERICA CORP,19080,189297366.00000003,0.006141574158886067
25,AMAT,US0382221051,APPLIED MATERIALS,2319,187014536.00000003,0.006067509896749795
26,UNH,US91324P1021,UNITEDHEALTH GROUP INC,2654,179778399.00000003,0.005832740269742099
27,CAT,US1491231015,CATERPILLAR INC DEL,1346,175040544.00000003,0.0056790250414142564
28,LRCX,US5128073062,LAM RESEARCH CORP,3655,174890136,0.0056741451959858216
29,GE,US3696043013,GENERAL ELECTRIC CO,3049,173982126.00000003,0.00564468566958116
30,CVX,US1667641005,CHEVRON CORP,5470,169067106,0.0054852224902445365
31,KO,US1912161007,COCA COLA CO,11315,160923206.00000003,0.005221001350513769
32,PG,US7427181091,PROCTER & GAMBLE CO,6810,157564681,0.005112037180605706
33,HD,US4370761029,HOME DEPOT,2911,155959771,0.005059967392253036
34,MRK,US58933Y1055,MERCK & CO INC,7220,150608108,0.004886337743397453
35,NFLX,US64110L1061,NETFLIX INC,12310,144764152,0.004696736113360683
36,GS,US38141G1040,GOLDMAN SACHS GROUP,862,141984760.00000003,0.004606561366372315
37,PM,US7181721090,PHILIP MORRIS INTERNATIONAL,4559,140682716,0.004564317779189317
38,RTX,US75513E1010,RTX CORP,3938,135684395.00000003,0.004402151977624929
39,PLTR,US69608A1088,PALANTIR TECHNOLOGIES INC-A,6710,131848999.00000001,0.004277716178752297
40,PANW,US6974351057,PALO ALTO NETWORKS INC,2374,124262970.00000001,0.004031594636443248
41,GEV,US36828A1016,GE VERNOVA INC,785,123891703,0.004019549229465704
42,WFC,US9497461015,WELLS FARGO CO,8940,122748968.00000001,0.003982474272244933
43,TXN,US8825081040,TEXAS INSTRUMENTS INC,2661,119218939,0.003867945817123595
44,MS,US6174464486,MORGAN STANLEY,3500,118162951.00000001,0.003833685284344213
45,KLAC,US4824801009,KLA CORP,3820,110713676,0.0035920005963362665
46,LIN,IE000S9YS762,LINDE PLC,1351,110442387.00000001,0.0035831988810921677
47,C,US1729674242,CITIGROUP,4980,105907023.00000001,0.0034360532819107076
48,ORCL,US68389X1054,ORACLE CORPORATION,4964,101769164.00000001,0.0033018043568225786
49,TMO,US8835561023,THERMO FISHER SCIENTIFIC INC,1086,100670543,0.0032661606366452484
50,AMGN,US0311621009,AMGEN INC,1578,98311768,0.0031896324107499843
51,IBM,US4592001014,INTERNATIONAL BUSINESS MACHINES,2747,97897731.00000001,0.0031761993715389548
52,APH,US0320951017,AMPHENOL CORP-CL A,3600,92470573.00000001,0.003000120358749142
53,VZ,US92343V1044,VERIZON COMMUNICATIONS,12202,90426572,0.0029338046778308066
54,PEP,US7134481081,PEPSICO INC,3995,90019111.00000001,0.0029205849907256317
55,STX,IE00BKVD2N49,SEAGATE TECHNOLOGY,655,89657716,0.0029088598714593094
56,MCD,US5801351017,MCDONALD'S CORP,2077,89609417.00000001,0.002907292856045582
57,SNDK,US80004C2008,SANDISK CORP,433,89074669,0.0028899434625082408
58,CRWD,US22788C1053,CROWDSTRIKE HOLDINGS INC - A,2976,88591230.00000001,0.0028742587409902585
59,ABT,US0028241000,ABBOTT LABORATORIES,5094,86463718,0.0028052336245926
60,WDC,US9581021055,WESTERN DIGITAL CORP,1007,86269880.00000001,0.002798944733854363
61,NEE,US65339F1012,NEXTERA ENERGY INC,6099,86191736,0.0027964094256183675
62,AXP,US0258161092,AMERICAN EXPRESS CO,1559,84569848.00000001,0.0027437888020994576
63,ADI,US0326541051,ANALOG DEVICES INC,1427,84094826,0.0027283771621926323
64,ANET,US0404132054,ARISTA NETWORKS INC,3014,82843812,0.0026877891951376407
65,TJX,US8725401090,TJX COS INC,3229,82650347.00000001,0.0026815124060319286
66,BA,US0970231058,BOEING CO,2300,81657010,0.0026492845257440143
67,UNP,US9078181081,UNION PAC CORP,1734,80669167,0.0026172348930944165
