No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,AAPL,US0378331005,APPLE INC,64610,3462376865,0.07374506730301106
2,NVDA,US67066G1040,NVIDIA CORP,106540,3339691140,0.0711319875026284
3,MSFT,US5949181045,MICROSOFT CORP,32681,2369398383.0000005,0.05046574940708559
4,AMZN,US0231351067,AMAZON.COM INC,43060,1629802054.0000002,0.034713108032165554
5,GOOGL,US02079K3059,ALPHABET INC-CL A,25790,1383010290,0.029456697203528375
6,AVGO,US11135F1012,BROADCOM INC,20830,1298409821,0.027654794197723924
7,GOOG,US02079K1079,ALPHABET INC-CL C,20790,1114947941,0.023747244784226747
8,META,US30303M1027,META PLATFORMS INC-CLASS A,9660,836873829,0.017824552106846858
9,MU,US5951121038,MICRON TECHNOLOGY,4961,697394337,0.014853782336257546
10,JPM,US46625H1005,JPMORGAN CHASE & CO,11790,664821735,0.014160019403918811
11,BRK/B,US0846707026,BERKSHIRE HATHAWAY INC CL B,8064,660568766.0000001,0.01406943553700558
12,LLY,US5324571083,ELI LILLY & CO.,3480,645981189,0.01375873514545451
13,TSLA,US88160R1014,TESLA INC,12380,614523045.0000001,0.01308870902266045
14,AMD,US0079031078,ADVANCED MICRO DEVICES,7170,559345185,0.011913477337031644
15,XOM,US30233Q1085,EXXONMOBIL HOLDINGS CORP,18230,459910421,0.009795619099944844
16,JNJ,US4781601046,JOHNSON & JOHNSON,10590,435411984.00000006,0.009273827580469806
17,V,US92826C8394,VISA INC-CLASS A SHARES,7300,429728475.00000006,0.009152774682398794
18,WMT,US9311421039,WALMART INC,19290,344442086.00000006,0.007336262285838583
19,MA,US57636Q1040,MASTERCARD INC,3550,329410507,0.007016105108198265
20,ABBV,US00287Y1091,ABBVIE INC,7770,321452166,0.006846600627447493
21,CSCO,US17275R1023,CISCO SYSTEMS,17380,317208692,0.006756218994271759
22,INTC,US4581401001,INTEL CORP,20780,304352475.00000006,0.006482394790583548
23,COST,US22160K1051,COSTCO WHOLESALE CORPORATION,1952,299347403,0.006375791903062111
