Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1801,TAISEI CORP ORD,JP3443600006,TSE,JPY,200,12355.0
1802,OBAYASHI CORP ORD,JP3190000004,TSE,JPY,1300,2941.5
1812,KAJIMA CORP ORD,JP3210200006,TSE,JPY,700,4747.0
1878,DAITO TRUST CONSTRUCTION CO LTD ORD,JP3486800000,TSE,JPY,900,3317.0
1925,DAIWA HOUSE INDUSTRY CO LTD ORD,JP3505000004,TSE,JPY,1000,4689.0
1928,SEKISUI HOUSE LTD ORD,JP3420600003,TSE,JPY,1000,3471.0
2502,ASAHI GROUP HLDGS (ASAHI BREW) ORD,JP3116000005,TSE,JPY,3200,1680.5
2503,KIRIN HOLDINGS (BREWERY) CO LTD ORD,JP3258000003,TSE,JPY,2200,3038.0
2587,SUNTORY BEVERAGE & FOOD LTD,JP3336560002,TSE,JPY,300,4571.0
2801,KIKKOMAN CORP ORD,JP3240400006,TSE,JPY,1700,1837.5
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,3100,5396.0
2914,JAPAN TOBACCO,JP3726800000,TSE,JPY,1300,6980.0
3003,HULIC CO LTD,JP3360800001,TSE,JPY,800,1780.0
3382,SEVEN & I HOLDINGS CO LTD ORD,JP3422950000,TSE,JPY,3800,2030.5
3407,ASAHI KASEI CORP,JP3111200006,TSE,JPY,1800,1641.5
3659,NEXON CO. LTD,JP3758190007,TSE,JPY,600,3095.0
4062,IBIDEN CO LTD,JP3148800000,TSE,JPY,300,19190.0
4063,SHIN-ETSU CHEMICAL CO LTD,JP3371200001,TSE,JPY,4500,6051.0
4091,NIPPON SANSO HOLDINGS CORP,JP3711600001,TSE,JPY,400,5629.0
4151,KYOWA KIRIN CO LTD,JP3256000005,TSE,JPY,700,2576.5
4188,MITSUBISHI CHEMICAL GROUP,JP3897700005,TSE,JPY,2000,1147.5
4307,NOMURA RESEARCH INSTITUTE LTD ORD,JP3762800005,TSE,JPY,1200,5012.0
4452,KAO CORP,JP3205800000,TSE,JPY,2700,3556.0
4502,TAKEDA PHARMACEUTICAL,JP3463000004,TSE,JPY,4000,5764.0
4503,ASTELLAS PHARMA INC,JP3942400007,TSE,JPY,7300,2387.0
4507,SHIONOGI & CO LTD ORD,JP3347200002,TSE,JPY,2600,2919.0
4519,CHUGAI PHARMACEUTICAL CO LTD ORD,JP3519400000,TSE,JPY,2200,7011.0
4523,EISAI,JP3160400002,TSE,JPY,700,4902.0
4543,TERUMO CORP,JP3546800008,TSE,JPY,2900,2569.0
4568,DAIICHI SANKYO CO LTD ORD,JP3475350009,TSE,JPY,4900,2833.5
4578,OTSUKA HOLDINGS CO LTD ORD,JP3188220002,TSE,JPY,800,12195.0
