Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
2160,GNI GROUP LTD,JP3386370005,TSE,JPY,1600,2786.0
2395,SHIN NIPPON BIOMEDICAL LABOR,JP3379950003,TSE,JPY,600,1418.0
2413,M3 (SO-NET M3) INC ORD,JP3435750009,TSE,JPY,12100,1708.0
3360,SHIP HEALTHCARE HOLDINGS INC,JP3274150006,TSE,JPY,2200,2369.5
4502,TAKEDA PHARMACEUTICAL,JP3463000004,TSE,JPY,3500,5764.0
4503,ASTELLAS PHARMA INC,JP3942400007,TSE,JPY,3900,2387.0
4507,SHIONOGI & CO LTD ORD,JP3347200002,TSE,JPY,8100,2919.0
4519,CHUGAI PHARMACEUTICAL CO LTD ORD,JP3519400000,TSE,JPY,1400,7011.0
4540,TSUMURA & CO ORD,JP3535800001,TSE,JPY,1800,3767.0
4543,TERUMO CORP,JP3546800008,TSE,JPY,10500,2569.0
4544,H.U. GROUP HOLDINGS INC,JP3822000000,TSE,JPY,1600,3680.0
4552,JCR PHARMACEUTICALS CO LTD,JP3701000006,TSE,JPY,2200,529.0
4568,DAIICHI SANKYO CO LTD ORD,JP3475350009,TSE,JPY,3600,2833.5
4578,OTSUKA HOLDINGS CO LTD ORD,JP3188220002,TSE,JPY,900,12195.0
4588,ONCOLYS BIOPHARMA INC,JP3202170001,TSE,JPY,800,3380.0
4592,SANBIO CO LTD,JP3336750009,TSE,JPY,1800,1010.0
4694,BML INC,JP3799700004,TSE,JPY,600,3625.0
6849,NIHON KOHDEN CORP ORD,JP3706800004,TSE,JPY,4300,1506.0
6869,SYSMEX CORP ORD,JP3351100007,TSE,JPY,13100,1976.5
6951,JEOL LTD,JP3735000006,TSE,JPY,1200,7280.0
6960,FUKUDA DENSHI CO LTD,JP3806000000,TSE,JPY,300,11570.0
7476,AS ONE CORP,JP3131300000,TSE,JPY,1800,2421.5
7701,SHIMADZU CORP ORD,JP3357200009,TSE,JPY,5600,4109.0
7730,MANI INC,JP3869920003,TSE,JPY,2200,1603.0
7733,OLYMPUS,JP3201200007,TSE,JPY,13100,2168.5
7747,ASAHI INTECC CO LTD,JP3110650003,TSE,JPY,6500,4043.0
8086,NIPRO (NISSHO) CORP ORD,JP3673600007,TSE,JPY,4500,1586.0
9987,SUZUKEN CO LTD ORD,JP3398000004,TSE,JPY,1700,5124.0
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2639,Global X Japan Bio & Med Tech ETF,1026771.0,174870,20260824,,
,,,,,,
