No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,2100,116550000.00000001,0.054980217002279404
2,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",16900,115156600.00000001,0.05432290739806682
3,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,3400,110500000.00000001,0.05212624606393714
4,6501,JP3788600009,日立製作所,"HITACHI,LTD.",20600,108500200,0.051182878942863275
5,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,27200,103006400.00000001,0.04859128463855507
6,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,17300,90998000.00000001,0.04292655329706925
7,8411,JP3885780001,みずほフィナンシャルグループ,"MIZUHO FINANCIAL GROUP,INC.",11000,89837000,0.0423788739153477
8,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",6200,77810000,0.036705368382216726
9,9983,JP3802300008,ファーストリテイリング,"FAST RETAILING CO.,LTD.",900,70371000,0.03319616345488977
10,8766,JP3910660004,東京海上ホールディングス,"TOKIO MARINE HOLDINGS,INC.",8300,67346200,0.03176927233186537
11,8001,JP3143600009,伊藤忠商事,ITOCHU CORPORATION,25800,51961200.00000001,0.024511694995271047
12,6752,JP3866800000,パナソニック　ホールディングス,PANASONIC HOLDINGS CORPORATION,10900,46695600.00000001,0.0220277496443727
13,4063,JP3371200001,信越化学工業,"SHIN-ETSU CHEMICAL CO.,LTD.",7600,44080000,0.02079389073754162
14,9433,JP3496400007,ＫＤＤＩ,KDDI CORPORATION,13600,39725600,0.01873978643110897
15,7741,JP3837800006,ＨＯＹＡ,HOYA CORPORATION,1600,39480000.00000001,0.018623929362934284
16,8002,JP3877600001,丸紅,MARUBENI CORPORATION,6600,34326600.00000001,0.016192912200347014
17,8750,JP3476480003,第一ライフグループ,"DAIICHI LIFE GROUP,INC.",16000,30696000.000000004,0.014480246598901488
18,6954,JP3802400006,ファナック,FANUC CORPORATION,4300,30680500,0.014472934772530527
19,9434,JP3732000009,ソフトバンク,SOFTBANK CORP.,134000,29935600.000000004,0.014121542549064224
20,6702,JP3818000006,富士通,FUJITSU LIMITED,7900,28906100.000000004,0.01363589575881243
21,6301,JP3304200003,小松製作所,KOMATSU LTD.,4000,27976000.000000004,0.013197139003481498
22,6367,JP3481800005,ダイキン工業,"DAIKIN INDUSTRIES,LTD.",1200,27954000,0.01318676092734207
23,6723,JP3164720009,ルネサスエレクトロニクス,RENESAS ELECTRONICS CORPORATION,8100,27880200,0.01315194719920163
24,8630,JP3165000005,ＳＯＭＰＯホールディングス,"SOMPO HOLDINGS,INC.",3800,27029400.000000004,0.012750598691045997
25,6701,JP3733000008,日本電気,NEC CORPORATION,5700,27018000.000000004,0.012745220960682839
26,6146,JP3548600000,ディスコ,DISCO CORPORATION,400,23392000.000000004,0.011034725320611925
27,4519,JP3519400000,中外製薬,"CHUGAI PHARMACEUTICAL CO.,LTD.",3100,21489200,0.010137116080698262
28,4568,JP3475350009,第一三共,"DAIICHI SANKYO COMPANY,LIMITED",7900,20283250,0.009568232402500931
29,2802,JP3119600009,味の素,"AJINOMOTO CO.,INC.",4000,19860000.000000004,0.009368572369500377
30,5108,JP3830800003,ブリヂストン,BRIDGESTONE CORPORATION,5000,19825000,0.009352061793824015
31,4901,JP3814000000,富士フイルムホールディングス,FUJIFILM HOLDINGS CORPORATION,5200,19614400.000000004,0.00925271530132569
32,8309,JP3892100003,三井住友トラストグループ,"SUMITOMO MITSUI TRUST GROUP,INC.",11600,19186400,0.009050814547340484
33,4062,JP3148800000,イビデン,"IBIDEN CO.,LTD.",1100,18315000,0.008639748386072477
34,8801,JP3893200000,三井不動産,"MITSUI FUDOSAN CO.,LTD.",11500,17940000.000000004,0.00846284936096862
35,4503,JP3942400007,アステラス製薬,ASTELLAS PHARMA INC.,8000,17616000,0.008310008603278882
36,9020,JP3783600004,東日本旅客鉄道,EAST JAPAN RAILWAY COMPANY,4500,16542000.000000002,0.007803369795381432
37,5020,JP3386450005,ＥＮＥＯＳホールディングス,"ENEOS HOLDINGS,INC.",12000,15930000.000000002,0.007514670586411934
38,4661,JP3198900007,オリエンタルランド,"ORIENTAL LAND CO.,LTD.",5000,15835000,0.007469856166718955
39,7936,JP3118000003,アシックス,ASICS CORPORATION,3200,15212800.000000002,0.007176345304266633
40,1605,JP3294460005,ＩＮＰＥＸ,INPEX CORPORATION,4100,14870700.000000002,0.007014966220298553
41,4452,JP3205800000,花王,KAO CORPORATION,4200,13725600.000000002,0.006474787357241408
42,8267,JP3388200002,イオン,"AEON CO.,LTD.",10000,13640000,0.0064344072064443664
43,9735,JP3421800008,セコム,"SECOM CO.,LTD.",1800,12387600.000000002,0.005843611635670839
44,6326,JP3266400005,クボタ,KUBOTA CORPORATION,4500,12354750.000000002,0.0058281152810717414
45,1925,JP3505000004,大和ハウス工業,"DAIWA HOUSE INDUSTRY CO.,LTD.",2600,12162800.000000002,0.005737566566755246
46,6361,JP3166000004,荏原製作所,EBARA CORPORATION,2100,11671800,0.0055059467765525925
47,9101,JP3753000003,日本郵船,NIPPON YUSEN KABUSHIKI KAISHA,1800,10998000.000000002,0.0051880946082459795
48,6988,JP3684000007,日東電工,NITTO DENKO CORPORATION,3200,10640000,0.0050192150056134945
49,8601,JP3502200003,大和証券グループ本社,DAIWA SECURITIES GROUP INC.,5800,10480600,0.004944021126676014
50,5016,JP3379550001,ＪＸ金属,JX ADVANCED METALS CORPORATION,2600,9872200,0.004657020148347513
51,3407,JP3111200006,旭化成,ASAHI KASEI CORPORATION,5700,9818250.000000002,0.004631570275269239
52,1928,JP3420600003,積水ハウス,"SEKISUI HOUSE,LTD.",2800,9766400,0.0046071110367315446
53,1812,JP3210200006,鹿島建設,KAJIMA CORPORATION,1800,9689400.000000002,0.004570787770243553
54,8697,JP3183200009,日本取引所グループ,"JAPAN EXCHANGE GROUP,INC.",4400,9647000,0.004550786387138475
55,9104,JP3362700001,商船三井,"MITSUI O.S.K.LINES,LTD.",1600,9430400.000000002,0.004448609510238488
56,1802,JP3190000004,大林組,OBAYASHI CORPORATION,2900,9175600,0.004328412519314585
57,5713,JP3402600005,住友金属鉱山,"SUMITOMO METAL MINING CO.,LTD.",1100,9003500,0.004247227660060253
58,6383,JP3497400006,ダイフク,"DAIFUKU CO.,LTD.",1500,8974500,0.004233547468785555
59,9532,JP3180400008,大阪瓦斯,"OSAKA GAS CO.,LTD.",1600,8824000,0.0041625519933772065
60,9531,JP3573000001,東京瓦斯,"TOKYO GAS CO.,LTD.",1400,8706600,0.004107170805251358
61,6504,JP3820000002,富士電機,"FUJI ELECTRIC CO.,LTD.",600,8571000.000000002,0.004043204117773804
62,4307,JP3762800005,野村総合研究所,"NOMURA RESEARCH INSTITUTE,LTD.",1800,8434800,0.003978954391856081
63,7186,JP3305990008,横浜フィナンシャルグループ,"YOKOHAMA FINANCIAL GROUP,INC.",4500,8275500.000000001,0.003903807685991962
64,7532,JP3639650005,パン・パシフィック・インターナショナルホ,PAN PACIFIC INTERNATIONAL HOLDINGS CORPO,8900,8029580,0.003787799663982519
65,3402,JP3621000003,東レ,"TORAY INDUSTRIES,INC.",6000,6948000,0.0032775851371243006
66,4188,JP3897700005,三菱ケミカルグループ,MITSUBISHI CHEMICAL GROUP CORPORATION,5500,6534000.000000001,0.0030822886134096407
67,4911,JP3351600006,資生堂,"SHISEIDO COMPANY,LIMITED",1900,5992600.000000001,0.002826893594233029
68,4523,JP3160400002,エーザイ,"EISAI CO.,LTD.",1200,5793600.000000001,0.002733019178244581
69,6841,JP3955000009,横河電機,YOKOGAWA ELECTRIC CORPORATION,1000,5782000.000000001,0.002727547101734702
70,8136,JP3343200006,サンリオ,"SANRIO COMPANY,LTD.",4500,5726250,0.0027012481133359277
71,9021,JP3659000008,西日本旅客鉄道,WEST JAPAN RAILWAY COMPANY,1900,5701900,0.002689761469972517
72,7272,JP3942800008,ヤマハ発動機,"YAMAHA MOTOR CO.,LTD.",4100,5506300,0.002597490938478344
73,4755,JP3967200001,楽天グループ,"RAKUTEN GROUP,INC.",6600,5501760.000000001,0.002595349280947754
74,1803,JP3358800005,清水建設,SHIMIZU CORPORATION,2300,5472850.000000001,0.0025817115454390806
75,4689,JP3933800009,ＬＩＮＥヤフー,LY CORPORATION,12000,5361600,0.0025292315013249354
76,2801,JP3240400006,キッコーマン,KIKKOMAN CORPORATION,3200,5272000,0.002486964427593453
