No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,AAPL,US0378331005,APPLE INC,19235,1030781907.0000001,0.0758463214590632
2,NVDA,US67066G1040,NVIDIA CORP,31693,993475045.0000001,0.07310123229067046
3,MSFT,US5949181045,MICROSOFT CORP,9728,705287705,0.05189601954718335
4,MU,US5951121038,MICRON TECHNOLOGY,4077,573125723,0.04217136285369045
5,AMZN,US0231351067,AMAZON.COM INC,14088,533224601.00000006,0.039235384539327886
6,AMD,US0079031078,ADVANCED MICRO DEVICES,5895,459880037.00000006,0.033838592705244176
7,GOOGL,US02079K3059,ALPHABET INC-CL A,7627,409004245.00000006,0.030095083386433016
8,AVGO,US11135F1012,BROADCOM INC,6209,387029601,0.028478159475124512
9,GOOG,US02079K1079,ALPHABET INC-CL C,7145,383179559,0.028194868197716695
10,META,US30303M1027,META PLATFORMS INC-CLASS A,3878,335962392.00000006,0.02472056543556289
11,TSLA,US88160R1014,TESLA INC,6542,324734230,0.023894382148232023
12,WMT,US9311421039,WALMART INC,17640,314979699.00000006,0.023176630615260662
13,INTC,US4581401001,INTEL CORP,18170,266125335.00000003,0.019581860692099714
14,CSCO,US17275R1023,CISCO SYSTEMS,14250,260081926.00000003,0.019137178515773352
15,COST,US22160K1051,COSTCO WHOLESALE CORPORATION,1604,245980141.00000003,0.018099550176555138
16,AMAT,US0382221051,APPLIED MATERIALS,2871,231530286.00000003,0.017036310377792498
17,LRCX,US5128073062,LAM RESEARCH CORP,4521,216327854,0.0159176949494451
18,NFLX,US64110L1061,NETFLIX INC,15220,178985410.00000003,0.013169987609553789
19,PLTR,US69608A1088,PALANTIR TECHNOLOGIES INC-A,8300,163091906.00000003,0.01200052217238551
20,PANW,US6974351057,PALO ALTO NETWORKS INC,2950,154412704,0.011361894795993128
21,TXN,US8825081040,TEXAS INSTRUMENTS INC,3290,147399591,0.010845860492893223
22,KLAC,US4824801009,KLA CORP,4723,136884997,0.01007218250037144
23,LIN,IE000S9YS762,LINDE PLC,1672,136683694,0.010057370354421856
24,SPCX,US84615Q1031,SPACE EXPLORATION TECHN-CL A,6930,124967193.00000001,0.009195254425546287
25,AMGN,US0311621009,AMGEN INC,1951,121550228.00000001,0.008943829537270317
