No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,GS,US38141G1040,GOLDMAN SACHS GROUP,10373,1708593873,0.11155207879838751
2,CAT,US1491231015,CATERPILLAR INC DEL,10373,1348956586,0.08807178449777561
3,MSFT,US5949181045,MICROSOFT CORP,10373,752050715.0000001,0.04910050418989398
4,UNH,US91324P1021,UNITEDHEALTH GROUP INC,10373,702653104.0000001,0.04587539242881248
5,AMGN,US0311621009,AMGEN INC,10373,646253468,0.04219312671389124
6,TRV,US89417E1091,TRAVELERS COS INC/THE,10373,626831187,0.04092506889465521
7,V,US92826C8394,VISA INC-CLASS A SHARES,10373,610626503,0.03986708418861327
8,JPM,US46625H1005,JPMORGAN CHASE & CO,10373,584919072,0.03818867633878241
9,SHW,US8243481061,SHERWIN-WILLIAMS,10373,574899509,0.03753451088790267
10,AXP,US0258161092,AMERICAN EXPRESS CO,10373,562695982,0.03673775700329931
11,GOOGL,US02079K3059,ALPHABET INC-CL A,10373,556260789,0.036317610842199956
12,AAPL,US0378331005,APPLE INC,10373,555877344,0.03629257617039714
13,HD,US4370761029,HOME DEPOT,10373,555743972,0.036283868469820305
14,MCD,US5801351017,MCDONALD'S CORP,10373,447529359,0.02921866401879568
15,JNJ,US4781601046,JOHNSON & JOHNSON,10373,426489945.00000006,0.02784502549328758
16,HON,US4385162056,HONEYWELL INTERNATIONAL INC,10373,403299908,0.026330975328622424
17,AMZN,US0231351067,AMAZON.COM INC,10373,392613486.00000006,0.025633271440147334
18,IBM,US4592001014,INTERNATIONAL BUSINESS MACHINES,10373,369673522.00000006,0.024135548246708154
19,BA,US0970231058,BOEING CO,10373,368273117,0.024044117455940206
20,NVDA,US67066G1040,NVIDIA CORP,10373,325160655.00000006,0.021229355660164716
21,CVX,US1667641005,CHEVRON CORP,10373,320609340.00000006,0.02093220567177992
22,CRM,US79466L3024,SALESFORCE INC,10373,301270416,0.019669590132759995
23,MMM,US88579Y1010,3M CORP,10373,293534847,0.01916454395632532
24,PG,US7427181091,PROCTER & GAMBLE CO,10373,240002707.00000003,0.015669493673228403
25,MRK,US58933Y1055,MERCK & CO INC,10373,216379212,0.014127143546977356
26,CSCO,US17275R1023,CISCO SYSTEMS,10373,189321390.00000003,0.012360570261450456
27,WMT,US9311421039,WALMART INC,10373,185220205.00000003,0.012092808729868067
28,DIS,US2546871060,DISNEY (WALT) CO,10373,160313005.00000003,0.010466647018209397
29,KO,US1912161007,COCA COLA CO,10373,147525976,0.009631796976226794
30,NKE,US6541061031,NIKE INC-B,10373,70503713.00000001,0.004603104267455664
31,DIA,US78467X1090,SS SPDR DOW JONES INDUS AVG ETF,294,24642223.000000004,0.0016088616758509456
32,DMU6,-,DJIAVMN2609,9,378833110.00000006,0.024733566944119677
33,-,-,FWRDUSDJPY01,-93786100,-15031848535.000002,-0.9814116618114234
,,,,,,
,,,合計（Total）,,15047558240,0.9824373299223493
,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,15316557892.999998,1
,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,
2846,"NEXT FUNDS ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジあり）連動型上場投信
　（NEXT FUNDS DJIA (Yen-Hedged) Exchange Traded Fund）",,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3049530003,
