Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORP,JP3294460005,TSE,JPY,1000,3954.0
1801,TAISEI CORP ORD,JP3443600006,TSE,JPY,900,12355.0
1802,OBAYASHI CORP ORD,JP3190000004,TSE,JPY,4000,2941.5
1803,SHIMIZU CORP ORD,JP3358800005,TSE,JPY,3200,2336.5
1812,KAJIMA CORP ORD,JP3210200006,TSE,JPY,2500,4747.0
1878,DAITO TRUST CONSTRUCTION CO LTD ORD,JP3486800000,TSE,JPY,1800,3317.0
1925,DAIWA HOUSE INDUSTRY CO LTD ORD,JP3505000004,TSE,JPY,21100,4689.0
1928,SEKISUI HOUSE LTD ORD,JP3420600003,TSE,JPY,15100,3471.0
2502,ASAHI GROUP HLDGS (ASAHI BREW) ORD,JP3116000005,TSE,JPY,34600,1680.5
2503,KIRIN HOLDINGS (BREWERY) CO LTD ORD,JP3258000003,TSE,JPY,19400,3038.0
2587,SUNTORY BEVERAGE & FOOD LTD,JP3336560002,TSE,JPY,700,4571.0
2801,KIKKOMAN CORP ORD,JP3240400006,TSE,JPY,16800,1837.5
2802,AJINOMOTO CO INC,JP3119600009,TSE,JPY,20400,5396.0
285A,KIOXIA HLDG CORP ORD,JP3236330001,TSE,JPY,5800,54320.0
3003,HULIC CO LTD,JP3360800001,TSE,JPY,16900,1780.0
3402,TORAY INDUSTRIES INC ORD,JP3621000003,TSE,JPY,2700,1298.5
3407,ASAHI KASEI CORP,JP3111200006,TSE,JPY,2800,1641.5
3659,NEXON CO. LTD,JP3758190007,TSE,JPY,5600,3095.0
4004,RESONAC HOLDINGS CORP,JP3368000000,TSE,JPY,400,16060.0
4062,IBIDEN CO LTD,JP3148800000,TSE,JPY,5700,19190.0
4063,SHIN-ETSU CHEMICAL CO LTD,JP3371200001,TSE,JPY,13500,6051.0
4091,NIPPON SANSO HOLDINGS CORP,JP3711600001,TSE,JPY,300,5629.0
4151,KYOWA KIRIN CO LTD,JP3256000005,TSE,JPY,8800,2576.5
4188,MITSUBISHI CHEMICAL GROUP,JP3897700005,TSE,JPY,2400,1147.5
4307,NOMURA RESEARCH INSTITUTE LTD ORD,JP3762800005,TSE,JPY,7400,5012.0
4452,KAO CORP,JP3205800000,TSE,JPY,22800,3556.0
4502,TAKEDA PHARMACEUTICAL,JP3463000004,TSE,JPY,59300,5764.0
4503,ASTELLAS PHARMA INC,JP3942400007,TSE,JPY,64300,2387.0
4507,SHIONOGI & CO LTD ORD,JP3347200002,TSE,JPY,28200,2919.0
4519,CHUGAI PHARMACEUTICAL CO LTD ORD,JP3519400000,TSE,JPY,25200,7011.0
4523,EISAI,JP3160400002,TSE,JPY,9500,4902.0
4543,TERUMO CORP,JP3546800008,TSE,JPY,17100,2569.0
4568,DAIICHI SANKYO CO LTD ORD,JP3475350009,TSE,JPY,63200,2833.5
4578,OTSUKA HOLDINGS CO LTD ORD,JP3188220002,TSE,JPY,15500,12195.0
4612,NIPPON PAINT HOLDINGS CO LTD,JP3749400002,TSE,JPY,8500,1201.0
4661,ORIENTAL LAND CO LTD ORD,JP3198900007,TSE,JPY,19900,3007.0
4684,OBIC CO LTD ORD,JP3173400007,TSE,JPY,6300,4729.0
4689,LY CORP,JP3933800009,TSE,JPY,48100,525.6
4755,RAKUTEN GROUP INC,JP3967200001,TSE,JPY,51300,780.8
4768,OTSUKA CORP ORD,JP3188200004,TSE,JPY,4500,3478.0
4901,FUJIFILM HOLDINGS CORP ORD,JP3814000000,TSE,JPY,2600,3217.0
4911,SHISEIDO CO LTD,JP3351600006,TSE,JPY,10400,3696.0
5016,JX ADVANCED META ORD,JP3379550001,TSE,JPY,1200,3591.0
5020,ENEOS HOLDINGS INC,JP3386450005,TSE,JPY,2900,1331.0
5201,AGC INC,JP3112000009,TSE,JPY,800,5802.0
5401,NIPPON STEEL CORP,JP3381000003,TSE,JPY,19500,659.4
5411,JFE HOLDINGS INC,JP3386030005,TSE,JPY,2100,1845.5
5706,MITSUI MINING & SMELTING CO LTD ORD,JP3888400003,TSE,JPY,100,28210.0
5713,SUMITOMO METAL MINING CO LTD ORD,JP3402600005,TSE,JPY,500,10760.0
5801,FURUKAWA ELECTRIC CO LTD,JP3827200001,TSE,JPY,1400,3818.0
5802,SUMITOMO ELECTRIC INDUSTRIES LTD,JP3407400005,TSE,JPY,6000,2178.5
5803,FUJIKURA LTD,JP3811000003,TSE,JPY,3400,5280.0
6098,RECRUIT HOLDINGS CO LTD,JP3970300004,TSE,JPY,25600,15900.0
6146,DISCO CORP ORD,JP3548600000,TSE,JPY,3200,61360.0
6178,JAPAN POST HOLDINGS CO LTD,JP3752900005,TSE,JPY,32900,2336.0
6273,SMC CORP ORD,JP3162600005,TSE,JPY,1900,71090.0
6301,KOMATSU LTD,JP3304200003,TSE,JPY,1900,7065.0
6326,KUBOTA CORP,JP3266400005,TSE,JPY,2200,2712.0
6361,EBARA CORP ORD,JP3166000004,TSE,JPY,4000,4921.0
