Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
3462,NOMURA REAL ESTATE MASTER FUND REI,Real Estate,Equity,"1,351,480,000.00",9.26,"1,351,480,000.00","9,040.00","149,500.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8951,NIPPON BUILDING FUND REIT,Real Estate,Equity,"1,269,490,800.00",8.70,"1,269,490,800.00","9,887.00","128,400.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8984,DAIWA HOUSE REIT CORP,Real Estate,Equity,"1,248,145,600.00",8.55,"1,248,145,600.00","10,436.00","119,600.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3283,NIPPON PROLOGIS REIT,Real Estate,Equity,"1,061,490,000.00",7.28,"1,061,490,000.00","12,300.00","86,300.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3281,GLP J-REIT REIT,Real Estate,Equity,"927,461,600.00",6.36,"927,461,600.00","6,682.00","138,800.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8952,JAPAN REAL ESTATE INVESTMENT TRUST,Real Estate,Equity,"721,309,500.00",4.94,"721,309,500.00","6,087.00","118,500.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8985,JAPAN HOTEL INVESTMENT REIT,Real Estate,Equity,"692,860,000.00",4.75,"692,860,000.00","8,575.00","80,800.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8954,ORIX JREIT REIT INC,Real Estate,Equity,"574,600,000.00",3.94,"574,600,000.00","5,746.00","100,000.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3309,SEKISUI HOUSE REIT,Real Estate,Equity,"527,746,000.00",3.62,"527,746,000.00","7,190.00","73,400.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8955,JAPAN PRIME REALTY INVESTMENT REIT,Real Estate,Equity,"483,558,000.00",3.31,"483,558,000.00","4,980.00","97,100.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8960,UNITED URBAN INVESTMENT REIT,Real Estate,Equity,"443,737,800.00",3.04,"443,737,800.00","2,763.00","160,600.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3226,MITSUI FUDOSAN ACCOMMODATIONS FUND,Real Estate,Equity,"428,869,500.00",2.94,"428,869,500.00","3,565.00","120,300.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3234,MORI HILLS INVESTMENT REIT,Real Estate,Equity,"387,511,200.00",2.66,"387,511,200.00","3,018.00","128,400.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3466,LASALLE LOGIPORT REIT,Real Estate,Equity,"372,595,200.00",2.55,"372,595,200.00","2,504.00","148,800.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8967,JAPAN LOGISTICS FUND REIT INC,Real Estate,Equity,"365,568,000.00",2.51,"365,568,000.00","3,840.00","95,200.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8953,JAPAN METROPOLITAN FUND INVESTMENT,Real Estate,Equity,"350,553,600.00",2.40,"350,553,600.00","3,043.00","115,200.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8956,NTT UD REIT INVESTMENT REIT CORP,Real Estate,Equity,"311,150,300.00",2.13,"311,150,300.00","2,399.00","129,700.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8972,KDX REALTY INVESTMENT REIT CORP,Real Estate,Equity,"296,502,200.00",2.03,"296,502,200.00","1,978.00","149,900.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3269,ADVANCE RESIDENCE INVESTMENT REIT,Real Estate,Equity,"265,538,000.00",1.82,"265,538,000.00","1,820.00","145,900.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3481,MITSUBISHI ESTATE LOGISTICS REIT C,Real Estate,Equity,"246,354,500.00",1.69,"246,354,500.00","2,065.00","119,300.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3287,HOSHINO RESORTS REIT INC,Real Estate,Equity,"188,247,000.00",1.29,"188,247,000.00",786.00,"239,500.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8987,JAPAN EXCELLENT REIT INC,Real Estate,Equity,"187,855,200.00",1.29,"187,855,200.00","1,338.00","140,400.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3471,MITSUI FUDOSAN LOGISTICS PARK REIT,Real Estate,Equity,"178,141,900.00",1.22,"178,141,900.00","1,679.00","106,100.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8958,GLOBAL ONE REAL ESTATE INVESTMENT,Real Estate,Equity,"150,662,700.00",1.03,"150,662,700.00","1,361.00","110,700.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3282,COMFORIA RESIDENTIAL REIT INC,Real Estate,Equity,"143,678,000.00",0.98,"143,678,000.00","1,444.00","99,500.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8964,MITSUI FUDOSAN RETAIL FUND INVESTM,Real Estate,Equity,"140,857,000.00",0.97,"140,857,000.00","1,783.00","79,000.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3487,CRE LOGISTICS REIT INC,Real Estate,Equity,"125,033,300.00",0.86,"125,033,300.00",931.00,"134,300.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8961,MORI TRUST REIT INC,Real Estate,Equity,"123,206,400.00",0.84,"123,206,400.00","1,656.00","74,400.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3279,ACTIVIA PROPERTIES REIT,Real Estate,Equity,"122,350,800.00",0.84,"122,350,800.00",897.00,"136,400.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8968,FUKUOKA REIT CORP,Real Estate,Equity,"111,888,000.00",0.77,"111,888,000.00",630.00,"177,600.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
2979,SOSILA LOGISTICS REIT INC,Real Estate,Equity,"107,712,000.00",0.74,"107,712,000.00","1,056.00","102,000.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3455,HEALTHCARE & MEDICAL INVESTMENT RE,Real Estate,Equity,"104,265,000.00",0.71,"104,265,000.00","1,050.00","99,300.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
JPY,JPY CASH,Cash and/or Derivatives,Cash,"99,536,810.00",0.68,"99,536,810.00","99,536,810.00",100.00,Japan,-,JPY,1.00,JPY
8957,TOKYU REIT,Real Estate,Equity,"85,562,400.00",0.59,"85,562,400.00",463.00,"184,800.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8966,HEIWA REAL ESTATE REIT,Real Estate,Equity,"70,488,000.00",0.48,"70,488,000.00",534.00,"132,000.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3468,STAR ASIA INVESTMENT REIT,Real Estate,Equity,"69,585,600.00",0.48,"69,585,600.00","1,308.00","53,200.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3476,MIRAI REIT,Real Estate,Equity,"61,736,250.00",0.42,"61,736,250.00","1,515.00","40,750.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8976,DAIWA OFFICE INVESTMENT REIT CORP,Real Estate,Equity,"58,968,000.00",0.40,"58,968,000.00",182.00,"324,000.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3296,NIPPON REIT INVESTMENT REIT,Real Estate,Equity,"49,385,700.00",0.34,"49,385,700.00",603.00,"81,900.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3292,AEON REIT INVESTMENT REIT CORP,Real Estate,Equity,"30,745,600.00",0.21,"30,745,600.00",256.00,"120,100.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3290,ONE REIT INC,Real Estate,Equity,"17,556,000.00",0.12,"17,556,000.00",228.00,"77,000.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8977,HANKYU HANSHIN REIT INC,Real Estate,Equity,"17,381,000.00",0.12,"17,381,000.00",130.00,"133,700.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3249,INDUSTRIAL & INFRASTRUCTURE FUND I,Real Estate,Equity,"4,550,700.00",0.03,"4,550,700.00",33.00,"137,900.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
MSJP,CASH COLLATERAL JPY MSJP,Cash and/or Derivatives,Cash Collateral and Margins,"4,496,924.00",0.03,"4,496,924.00","4,496,924.00",100.00,Japan,-,JPY,1.00,JPY
3492,MIRARTH REAL EST REIT CORP,Real Estate,Equity,"3,155,100.00",0.02,"3,155,100.00",39.00,"80,900.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8975,ICHIGO OFFICE REIT INVESTMENT REIT,Real Estate,Equity,"2,820,000.00",0.02,"2,820,000.00",30.00,"94,000.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8963,INVINCIBLE INVESTMENT REIT,Real Estate,Equity,"1,818,000.00",0.01,"1,818,000.00",30.00,"60,600.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
2972,SANKEI REAL ESTATE REIT INC,Real Estate,Equity,"1,341,600.00",0.01,"1,341,600.00",12.00,"111,800.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8986,DAIWA SECURITIES LIVING INVESTMENT,Real Estate,Equity,"1,144,800.00",0.01,"1,144,800.00",12.00,"95,400.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
TREU6,TSE REIT INDEX FUTURE SEP 26,Cash and/or Derivatives,Futures,0.00,0.00,"96,444,000.00",54.00,"1,786.00",-,Osaka Securities Exchange,JPY,1.00,JPY
 ,,,,,,,,,,,,,
Fund Holdings as of,2026/08/21,,,,,,,,,,,,
 ,,,,,,,,,,,,,
