No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
1,ASML,NL0010273215,ASML HOLDING NV,1790.1209,477197542.60737705,0.08002887180979285,MOTHER FUND
2,SIE,DE0007236101,SIEMENS AG,4925.5231,256310585.84746101,0.04298481275951621,MOTHER FUND
3,SAN,ES0113900J37,BANCO SANTANDER SA,98591.178,223540683.65075403,0.03748910486506577,MOTHER FUND
4,TTE,FR0000120271,TOTALENERGIES SE,15277.9106,213730612.115215,0.035843897404287846,MOTHER FUND
5,SU,FR0000121972,SCHNEIDER ELECTRIC SE,3873.5131,204076627.284262,0.03422486661408595,MOTHER FUND
6,ALV,DE0008404005,ALLIANZ SE-REG,2553.3438,203959264.05181304,0.034205184100564355,MOTHER FUND
7,SAP,DE0007164600,SAP SE,6790.9797,196014230.34162402,0.032872754598008556,MOTHER FUND
8,BBVA,ES0113211835,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,37829.3085,167790959.913616,0.028139543947352418,MOTHER FUND
9,IBE,ES0144580Y14,IBERDROLA SA,42205.9568,160326181.74159703,0.026887656160686748,MOTHER FUND
10,SAF,FR0000073272,SAFRAN SA,2479.8018,156218424.660049,0.026198760817452652,MOTHER FUND
11,UCG,IT0005239360,UNICREDIT SPA,10124.5866,153127326.209634,0.02568036518555552,MOTHER FUND
12,AIR,NL0000235190,AIRBUS SE,3950.6426,149193962.41982,0.02502071663666243,MOTHER FUND
13,ENR,DE000ENER6Y0,SIEMENS ENERGY AG,5460.0481,147733282.05550304,0.0247757518344711,MOTHER FUND
14,MC,FR0000121014,LVMH MOET HENNESSY LOUIS VUITTON SE,1657.3865,145215722.73832002,0.024353542133290475,MOTHER FUND
15,BNP,FR0000131104,BNP PARIBAS,6973.0411,140496045.64969203,0.023562024158060257,MOTHER FUND
16,AI,FR0000120073,AIR LIQUIDE SA,4274.4069,135894120.131364,0.02279025382292359,MOTHER FUND
17,ISP,IT0000072618,INTESA SANPAOLO,103192.0398,124436357.99542701,0.02086871882885419,MOTHER FUND
18,OR,FR0000120321,LOREAL-ORD,1615.2343,117810799.446073,0.019757573174336872,MOTHER FUND
19,DTE,DE0005557508,DEUTSCHE TELEKOM-REG,23255.4284,116666716.672507,0.019565703674914833,MOTHER FUND
20,INGA,NL0011821202,ING GROEP NV,19614.2005,109710084.409378,0.018399034985524955,MOTHER FUND
21,SAN,FR0000120578,SANOFI,7547.9246,101679469.28766702,0.01705225297022449,MOTHER FUND
22,CS,FR0000120628,AXA SA,11849.2372,99191462.21196511,0.016634999356060283,MOTHER FUND
23,IFX,DE0006231004,INFINEON TECHNOLOGIES AG,8769.44,96543522.72103162,0.016190924122725818,MOTHER FUND
24,ENEL,IT0003128367,ENEL SPA,52187.9437,95083878.2232709,0.01594613304152934,MOTHER FUND
25,ABI,BE0974293251,ANHEUSER-BUSCH INBEV SA/NV,6904.8802,94282349.79360372,0.015811711947071785,MOTHER FUND
26,DG,FR0000125486,VINCI,3912.0779,89692647.500645,0.015041991519675293,MOTHER FUND
27,MUV2,DE0008430026,MUENCHENER RUECKVER AG-REG,838.5586,81156322.3259468,0.013610398914650698,MOTHER FUND
28,ITX,ES0148396007,INDUSTRIA DE DISENO TEXTIL SA,7469.8983,79484928.7669109,0.013330096253935091,MOTHER FUND
29,DBK,DE0005140008,DEUTSCHE BANK AG-REG,12842.9516,75746741.9671734,0.012703180049457917,MOTHER FUND
30,NDA,FI4000297767,NORDEA BANK ABP,22878.7497,73715642.6252516,0.012362552585243684,MOTHER FUND
31,DHL,DE0005552004,DHL GROUP,6362.2834,68099581.3265486,0.01142070563587741,MOTHER FUND
32,RMS,FR0000052292,HERMES INTERNATIONAL,235.8726,67702185.2475191,0.011354059945095777,MOTHER FUND
33,RHM,DE0007030009,RHEINMETALL AG,313.899,66220987.5505454,0.011105654263942472,MOTHER FUND
34,EL,FR0000121667,ESSILORLUXOTTICA,2104.9167,63748732.8213386,0.010691042412163445,MOTHER FUND
35,PRX,NL0013654783,PROSUS NV,8530.8768,62979927.909467705,0.010562109246659956,MOTHER FUND
36,DB1,DE0005810055,DEUTSCHE BOERSE AG,1252.9053,61208391.6147414,0.010265012052356729,MOTHER FUND
37,ENI,IT0003132476,ENI SPA,13632.1833,60313795.73186501,0.010114982991349624,MOTHER FUND
38,BAYN,DE000BAY0017,BAYER AG-REG,6612.5057,59295746.0799285,0.009944249997533967,MOTHER FUND
39,ARGX,NL0010832176,ARGENX SE,417.934,57762911.107743405,0.009687184437589334,MOTHER FUND
40,BAS,DE000BASF111,BASF SE,6004.4386,56955395.27969301,0.009551759220740313,MOTHER FUND
41,BN,FR0000120644,DANONE,4306.6937,54484415.877104,0.00913736124883555,MOTHER FUND
42,RACE,NL0011585146,FERRARI NV,773.0883,49181162.06346571,0.008247973978927398,MOTHER FUND
43,SGO,FR0000125007,COMP DE SAINT-GOBAIN (ORD),3355.1314,47228590.37508421,0.007920516070206603,MOTHER FUND
44,MBG,DE0007100000,MERCEDES-BENZ GROUP AG,4847.4967,42266061.3228545,0.007088270373375715,MOTHER FUND
45,AD,NL0011794037,KONINKLIJKE AHOLD DELHAIZE NV,5956.0085,38193242.9888827,0.006405234466331703,MOTHER FUND
46,ADS,DE000A1EWWW0,ADIDAS AG,1212.5468,36195250.1214842,0.006070159155196932,MOTHER FUND
47,ADYEN,NL0012969182,ADYEN NV,202.689,33214293.433807306,0.005570234953313687,MOTHER FUND
48,BMW,DE0005190003,BAYER MOTOREN WERK,1760.5247,19613163.751992602,0.00328924444815116,MOTHER FUND
49,WKL,NL0000395903,WOLTERS KLUWER,1501.3339,19115814.1735008,0.0032058359598251354,MOTHER FUND
50,VOW3,DE0007664039,VOLKSWAGEN AG-PREF,1299.5417,18317087.5162346,0.0030718847392967154,MOTHER FUND
51,VGU6,-,EURO502609,36.8025,432821939.6942779,0.0725868187396734,DIRECT
52,-,-,FWRDEURJPY01,-31984500,-5912312435,-0.9915300304665581,DIRECT
53,-,-,FWRDEURJPY01,203585.8947,37681509.6633462,0.006319413737904661,MOTHER FUND
,,,,,,,
,,,合計（Total）,,5900945171.353032,0.9896236726084251,
,,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,5962817316,1,
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
2859,"NEXT FUNDS ユーロ・ストックス50指数（為替ヘッジあり）連動型上場投信
　（NEXT FUNDS EURO STOXX 50 (Yen-Hedged) Exchange Traded Fund）",,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3049660008,,
