No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
1,SIE,DE0007236101,SIEMENS AG,11142.9362,579847554.757645,0.10876551711385932,MOTHER FUND
2,ALV,DE0008404005,ALLIANZ SE-REG,5775.4537,461339083.22894204,0.08653616548094634,MOTHER FUND
3,SAP,DE0007164600,SAP SE,15357.4564,443276246.22932106,0.08314800976538372,MOTHER FUND
4,AIR,NL0000235190,AIRBUS SE,8933.6832,337293210.9875861,0.06326813006462052,MOTHER FUND
5,ENR,DE000ENER6Y0,SIEMENS ENERGY AG,12349.112,334131642.310818,0.06267509548303402,MOTHER FUND
6,DTE,DE0005557508,DEUTSCHE TELEKOM-REG,52575.0761,263756118.572343,0.049474332336290755,MOTHER FUND
7,IFX,DE0006231004,INFINEON TECHNOLOGIES AG,19826.5153,218271819.393314,0.040942566909020324,MOTHER FUND
8,MUV2,DE0008430026,MUENCHENER RUECKVER AG-REG,1927.2207,186517833.03653303,0.03498627940175429,MOTHER FUND
9,DBK,DE0005140008,DEUTSCHE BANK AG-REG,29010.3026,171100536.97154704,0.0320943638193793,MOTHER FUND
10,DHL,DE0005552004,DHL GROUP,14367.6827,153786480.62687504,0.02884666142550813,MOTHER FUND
11,RHM,DE0007030009,RHEINMETALL AG,708.6283,149494177.092236,0.02804152805946369,MOTHER FUND
12,DB1,DE0005810055,DEUTSCHE BOERSE AG,2828.305,138171657.304818,0.025917694459397643,MOTHER FUND
13,BAYN,DE000BAY0017,BAYER AG-REG,14917.557,133768907.97392401,0.02509184410654493,MOTHER FUND
14,BAS,DE000BASF111,BASF SE,13551.7403,128545693.89393401,0.02411209421237844,MOTHER FUND
15,EOAN,DE000ENAG999,E.ON SE,34083.3363,118744925.45016502,0.022273704726808785,MOTHER FUND
16,RWE,DE0007037129,RWE AG,9684.8824,100866609.40715902,0.018920160724445433,MOTHER FUND
17,MBG,DE0007100000,MERCEDES-BENZ GROUP AG,10926.534,95270111.39995551,0.017870391703629973,MOTHER FUND
18,ADS,DE000A1EWWW0,ADIDAS AG,2732.5204,81567373.88584012,0.015300086251154336,MOTHER FUND
19,DTG,DE000DTR0CK8,DAIMLER TRUCK HOLDING AG,7875.6187,71015990.690337,0.013320899411252859,MOTHER FUND
20,HEI,DE0006047004,HEIDELBERG MATERIALS AG,1907.709,58094011.681102104,0.010897045559422265,MOTHER FUND
21,BMW,DE0005190003,BAYER MOTOREN WERK,5074.8074,56536002.3370965,0.010604800312238595,MOTHER FUND
22,MTX,DE000A0D9PT0,MTU AERO ENGINES AG,818.6032,54281562.14316801,0.010181921313296557,MOTHER FUND
23,MRK,DE0006599905,MERCK KGAA,1961.8095,51878859.879875705,0.009731231900202706,MOTHER FUND
24,FRE,DE0005785604,FRESENIUS SE & CO KGAA,6243.7337,51874099.03290351,0.009730338879306813,MOTHER FUND
25,CBK,DE000CBK1001,COMMERZBANK AG,6793.608,46960005.64707081,0.008808572625624353,MOTHER FUND
26,VOW3,DE0007664039,VOLKSWAGEN AG-PREF,3130.7358,44127836.4956858,0.008277325507693398,MOTHER FUND
27,VNA,DE000A1ML7J1,VONOVIA SE,11077.306,43247805.28511601,0.008112252724496158,MOTHER FUND
28,HNR1,DE0008402215,HANNOVER RUECK SE,911.727,42599796.18670971,0.007990701733887764,MOTHER FUND
29,SHL,DE000SHL1006,SIEMENS HEALTHINEERS AG,5649.5148,38905180.27201981,0.007297680254015699,MOTHER FUND
30,SY1,DE000SYM9999,SYMRISE AG,2015.9101,34280798.7921288,0.006430257016881718,MOTHER FUND
31,HEN3,DE0006048432,HENKEL AG & CO KGAA VORZUG,2298.8292,32351015.9013846,0.006068275954260872,MOTHER FUND
32,G1A,DE0006602006,GEA GROUP AG,2211.9136,25776101.758811805,0.00483497949413343,MOTHER FUND
33,FME,DE0005785802,FRESENIUS MEDICAL CARE AG,2909.0123,23850889.032830704,0.00447385568499184,MOTHER FUND
34,CON,DE0005439004,CONTINENTAL AG,1639.867,21875411.589608505,0.004103303418459247,MOTHER FUND
35,HOT,DE0006070006,HOCHTIEF AG,265.1813,21737213.106421,0.00407738069210659,MOTHER FUND
36,QIA,NL0015002SN0,QIAGEN N.V.,3139.6047,20917518.1813143,0.003923625551340152,MOTHER FUND
37,BEI,DE0005200000,BEIERSDORF AG,1355.174,20265263.521347705,0.003801278195040887,MOTHER FUND
38,BNR,DE000A1DAHH0,BRENNTAG SE,1747.1812,20053167.256599303,0.0037614940143126958,MOTHER FUND
39,ZAL,DE000ZAL1111,ZALANDO SE,3609.6586,19344969.097133204,0.0036286529970463418,MOTHER FUND
40,G24,DE000A12DM80,SCOUT24 SE,1115.7126,15934616.898565702,0.002988952583766827,MOTHER FUND
41,-,-,DAXMN2609,15.642800000000001,371499840.93583083,0.06968447478232534,DIRECT
42,-,-,FWRDEURJPY01,-28528000,-5273380829.000001,-0.9891599750631441,DIRECT
,,,,,,,
,,,合計（Total）,,5283157938.246018,0.990993926649723,
,,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,5331170854,1,
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
2860,"NEXT FUNDS ドイツ株式・ＤＡＸ（為替ヘッジあり）連動型上場投信
　（NEXT FUNDS German Equity DAX (Yen-Hedged) Exchange Traded Fund）",,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3049670007,,
