Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
2267,YAKULT HONSHA CO LTD ORD,JP3931600005,TSE,JPY,55000,2974.5
2503,KIRIN HOLDINGS (BREWERY) CO LTD ORD,JP3258000003,TSE,JPY,183100,3038.0
3038,KOBE BUSSAN CO LTD,JP3291200008,TSE,JPY,31100,2797.0
3064,MONOTARO CO LTD,JP3922950005,TSE,JPY,55700,1816.0
3088,MATSUKIYOCOCOKARA & CO,JP3869010003,TSE,JPY,73400,2572.5
3092,ZOZO INC,JP3399310006,TSE,JPY,94200,1133.0
3349,COSMOS PHARMACEUTICAL CORP ORD,JP3298400007,TSE,JPY,9500,6458.0
3391,TSURUHA HOLDINGS INC ORD,JP3536150000,TSE,JPY,35600,2404.5
4527,ROHTO PHARMACEUTICAL LTD ORD,JP3982400008,TSE,JPY,45300,2866.5
4732,USS CO (TOKAI) LTD ORD,JP3944130008,TSE,JPY,84800,1960.0
5108,BRIDGESTONE CORP ORD,JP3830800003,TSE,JPY,166200,4117.0
5802,SUMITOMO ELECTRIC INDUSTRIES LTD,JP3407400005,TSE,JPY,570100,2178.5
7261,MAZDA MOTOR CORP ORD,JP3868400007,TSE,JPY,133500,1207.5
7267,HONDA MOTOR,JP3854600008,TSE,JPY,324500,1753.0
7951,YAMAHA CORP ORD,JP3942600002,TSE,JPY,99500,1309.0
8001,ITOCHU CORP ORD,JP3143600009,TSE,JPY,337000,2080.0
8267,AEON CO LTD ORD,JP3388200002,TSE,JPY,295300,1385.5
9843,NITORI HOLDINGS CO LTD,JP3756100008,TSE,JPY,92400,3029.0
9989,SUNDRUG CO LTD ORD,JP3336600006,TSE,JPY,15300,3712.0
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
328A,Global X Japan Pricing Power Leaders ETF,-463761.0,4280965,20260824,,
,,,,,,
