No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,NVDA,US67066G1040,NVIDIA CORP,41867,1312397681.0000002,0.33214969573982545
2,AVGO,US11135F1012,BROADCOM INC,11685,728368640.0000001,0.1843400256377247
3,MU,US5951121038,MICRON TECHNOLOGY,2783,391221214.00000006,0.09901267662866674
4,AMD,US0079031078,ADVANCED MICRO DEVICES,4024,313919808,0.07944876025265118
5,INTC,US4581401001,INTEL CORP,11660,170777183.00000003,0.04322134227601892
6,AMAT,US0382221051,APPLIED MATERIALS,1959,157982525,0.0399831913532308
7,LRCX,US5128073062,LAM RESEARCH CORP,3086,147663737.00000003,0.037371648873216506
8,TXN,US8825081040,TEXAS INSTRUMENTS INC,2246,100625982.00000001,0.02546704386078624
9,KLAC,US4824801009,KLA CORP,3224,93440024,0.023648377310354286
10,ADI,US0326541051,ANALOG DEVICES INC,1205,71012099,0.01797217978831247
11,MRVL,US5738741041,MARVELL TECHNOLOGY INC,2161,63663008.00000001,0.016112226532562786
12,QCOM,US7475251036,QUALCOMM INC,2601,63373760.00000001,0.01603902186557484
13,MPWR,US6098391054,MONOLITHIC POWER SYSTEMS INC,121,25595910,0.006477970695746721
14,NXPI,NL0009538784,NXP SEMICONDUCTORS NV,623,24547518,0.00621263718528918
15,TER,US8807701029,TERADYNE INC,386,22674239,0.00573853618763144
16,MCHP,US5950171042,MICROCHIP TECHNOLOGY,1336,16106291.000000002,0.004076279417890169
17,ON,US6821891057,ON SEMICONDUCTOR CORPORATION,967,13014556,0.003293804064249119
18,Q,US74743L1008,QNITY ELECTRONICS INC,517,10845199.000000002,0.002744769821098045
19,FSLR,US3364331070,FIRST SOLAR INC,265,8774131.000000002,0.002220611163996236
20,-,US92189F6768,VANECK SEMICONDUCTOR ETF,76,6582512.000000001,0.0016659427166450089
21,SWKS,US83088M1027,SKYWORKS SOLUTIONS INC,371,3725502.0000000005,0.0009428730130300429
22,-,-,HWB2609,6,54460454,0.013783187434596477
,,,,,,
,,,合計（Total）,,3800771973.0000005,0.9619228018190976
,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,3951223493,1
,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,
346A,"NEXT FUNDS S&P 500 半導体・半導体製造装置35％キャップ指数連動型上場投信　
（NEXT FUNDS S&P 500 Semiconductors & Semiconductor Equipment (Industry Group) 35% Capped Index Exchange Traded Fund）",,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3050680002,
