Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
AAPL ,APPLE INC,US0378331005,XNAS,USD,105780,316.83
MSFT,MICROSOFT CORP,US5949181045,XNAS,USD,73162,483.4
NVDA,NVIDIA CORP,US67066G1040,XNAS,USD,150410,217.56
QCOM,QUALCOMM INC,US7475251036,XNAS,USD,40915,161.91
ABBV ,ABBVIE INC,US00287Y1091,XNYS,USD,115813,265.97
AOS ,SMITH (A.O.) CORP,US8318652091,XNYS,USD,4102,63.8
ADP,AUTOMATIC DATA PROCESSING,US0530151036,XNAS,USD,26574,277.22
CAH,CARDINAL HEALTH INC,US14149Y1082,XNYS,USD,10743,234.85
CTAS,CINTAS CORP,US1729081059,XNAS,USD,10961,203.08
CL,COLGATE-PALMOLIVE CO,US1941621039,XNYS,USD,35404,90.87
EXPD,EXPEDITORS INTL WASH INC,US3021301094,XNYS,USD,4976,186.44
ITW,ILLINOIS TOOL WORKS,US4523081093,XNYS,USD,8276,284.25
JNJ,JOHNSON & JOHNSON,US4781601046,XNYS,USD,81389,273.41
LOW,LOWES COS INC,US5486611073,XNYS,USD,16187,220
MCD,MCDONALDS CORP,US5801351017,XNYS,USD,25616,267.45
ROP,ROPER TECHNOLOGIES INC,US7766961061,XNAS,USD,2395,407.32
SPGI,S&P GLOBAL INC,US78409V1044,XNYS,USD,12795,426.66
LRCX,LAM RESEARCH CORP,US5128073062,XNAS,USD,46819,307.17
MCHP,MICROCHIP TECHNOLOGY INC,US5950171042,XNAS,USD,14061,77.08
MPWR,MONOLITHIC POWER SYSTEMS INC,US6098391054,XNAS,USD,1102,1300.14
SWKS,SKYWORKS SOLUTIONS INC,US83088M1027,XNAS,USD,4844,68.48
TER,TERADYNE INC,US8807701029,XNAS,USD,2891,379.65
ADBE,ADOBE INC,US00724F1012,XNAS,USD,26221,272.47
AVGO,BROADCOM INC,US11135F1012,XNAS,USD,78107,362.48
INTU,INTUIT INC,US4612021034,XNAS,USD,11396,362.47
KLAC,KLA CORP,US4824801009,XNAS,USD,58430,187.27
META,META PLATFORMS INC,US30303M1027,XNAS,USD,44719,546.03
PANW,PALO ALTO NETWORKS INC,US6974351057,XNAS,USD,47917,359.76
ADI,ANALOG DEVICES INC,US0326541051,XNAS,USD,11778,373.26
AMAT,APPLIED MATERIALS INC,US0382221051,XNAS,USD,23977,495.64
