Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORP,JP3294460005,TSE,JPY,111700,3954.0
1721,COMSYS HOLDINGS CORP ORD,JP3305530002,TSE,JPY,8700,5257.0
1803,SHIMIZU CORP ORD,JP3358800005,TSE,JPY,61000,2336.5
2002,NISSHIN SEIFUN GROUP INC,JP3676800000,TSE,JPY,27600,2068.0
2282,NH FOODS LTD,JP3743000006,TSE,JPY,8200,6423.0
3086,J FRONT RETAILING CO LTD ORD,JP3386380004,TSE,JPY,20700,3023.0
3099,ISETAN MITSUKOSHI HOLDINGS LTD ORD,JP3894900004,TSE,JPY,25600,3473.0
3382,SEVEN & I HOLDINGS CO LTD ORD,JP3422950000,TSE,JPY,248900,2030.5
3402,TORAY INDUSTRIES INC ORD,JP3621000003,TSE,JPY,97300,1298.5
3405,KURARAY CO LTD,JP3269600007,TSE,JPY,35000,1839.0
3659,NEXON CO. LTD,JP3758190007,TSE,JPY,62800,3095.0
4021,NISSAN CHEMICAL CORP,JP3670800006,TSE,JPY,11300,7978.0
4689,LY CORP,JP3933800009,TSE,JPY,537300,525.6
4704,TREND MICRO INC,JP3637300009,TSE,JPY,12800,5472.0
5019,IDEMITSU KOSAN CO LTD ORD,JP3142500002,TSE,JPY,93300,1383.5
5020,ENEOS HOLDINGS INC,JP3386450005,TSE,JPY,208900,1331.0
5108,BRIDGESTONE CORP ORD,JP3830800003,TSE,JPY,143700,4117.0
5214,NIPPON ELECTRIC GLASS CO LTD ORD,JP3733400000,TSE,JPY,6500,4795.0
5333,NGK INSULATORS LTD ORD,JP3695200000,TSE,JPY,14500,5465.0
6113,AMADA CO LTD,JP3122800000,TSE,JPY,20000,2602.5
6532,BAYCURRENT CONSULTING INC,JP3835250006,TSE,JPY,10700,7485.0
6702,FUJITSU LTD ORD,JP3818000006,TSE,JPY,84200,3646.0
6841,YOKOGAWA ELECTRIC CORP ORD,JP3955000009,TSE,JPY,14000,5000.0
6902,DENSO CORP ORD,JP3551500006,TSE,JPY,298500,1948.5
6988,NITTO DENKO CORP,JP3684000007,TSE,JPY,43100,3414.0
7202,ISUZU MOTORS LTD,JP3137200006,TSE,JPY,81800,2228.5
7270,SUBARU CORP,JP3814800003,TSE,JPY,101100,2655.5
7733,OLYMPUS,JP3201200007,TSE,JPY,55600,2168.5
7751,CANON INC,JP3242800005,TSE,JPY,134700,4593.0
7832,BANDAI NAMCO HOLDINGS INC,JP3778630008,TSE,JPY,39200,5484.0
7951,YAMAHA CORP ORD,JP3942600002,TSE,JPY,30800,1309.0
8058,MITSUBISHI CORP,JP3898400001,TSE,JPY,112500,4794.0
9001,TOBU RAILWAY CO LTD,JP3597800006,TSE,JPY,15700,3014.0
9007,ODAKYU ELECTRIC RAILWAY CO LTD,JP3196000008,TSE,JPY,40500,1775.0
9021,WEST JAPAN RAILWAY CO,JP3659000008,TSE,JPY,50000,2959.5
9064,YAMATO HDG.,JP3940000007,TSE,JPY,27100,1931.5
9101,NIPPON YUSEN KK,JP3753000003,TSE,JPY,45200,7101.0
9107,KAWASAKI KISEN KAISHA LTD,JP3223800008,TSE,JPY,90300,3405.0
9201,JAPAN AIRLINES CO LTD,JP3705200008,TSE,JPY,45400,3002.0
9735,SECOM CO LTD ORD,JP3421800008,TSE,JPY,26000,6413.0
,MINI-TPX FUTURES SEP.2026,,OSE,JPY,8.0,4076
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
465A,Global X Japan Nikkei225 Shareholder Return 40 ETF,31941711.0,5854810,20260824,,
,,,,,,
