Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1515,NITTETSU MINING CO LTD,JP3680800004,TSE,JPY,2100,3625.0
1605,INPEX CORP,JP3294460005,TSE,JPY,23400,3954.0
1662,JAPAN PETROLEUM EXPLORATION ORD,JP3421100003,TSE,JPY,6800,1877.0
2768,SOJITZ CORP ORD,JP3663900003,TSE,JPY,1400,5624.0
5711,MITSUBISHI MATERIALS CORP,JP3903000002,TSE,JPY,5800,5565.0
5713,SUMITOMO METAL MINING CO LTD ORD,JP3402600005,TSE,JPY,9500,10760.0
5857,ARE HOLDINGS INC,JP3116700000,TSE,JPY,3600,3910.0
8001,ITOCHU CORP ORD,JP3143600009,TSE,JPY,36200,2080.0
8002,MARUBENI CORP ORD,JP3877600001,TSE,JPY,9800,4893.0
8031,MITSUI & CO LTD,JP3893600001,TSE,JPY,16100,4899.0
8053,SUMITOMO,JP3404600003,TSE,JPY,27900,1709.0
8058,MITSUBISHI CORP,JP3898400001,TSE,JPY,16500,4794.0
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
609A,Global X Japan Wholesale Trade & Resource Business ETF,300980.0,551793,20260824,,
,,,,,,
