Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
MDA,MDA SPACE LTD,CA55293N1096,XTSE,CAD,11126,44.72
SPCX,SPACE EXPLORATION TECHNOLOGIES CORP,US84615Q1031,XNAS,USD,15418,139.65
RKLB,ROCKET LAB CORPORATION,US7731211089,XNAS,USD,13973,75.84
ASTS,AST SPACEMOBILE INC,US00217D1000,XNAS,USD,16016,66.43
VSAT,VIASAT INC,US92552V1008,XNAS,USD,11389,76.67
PL,PLANET LABS PBC,US72703X1063,XNYS,USD,24524,22.62
GSAT,GLOBALSTAR INC,US3789735079,XNAS,USD,4598,82.46
IRDM,IRIDIUM COMMUNICATIONS INC,US46269C1027,XNAS,USD,8070,48.71
YSS,YORK SPACE SYSTEMS INC,US9870841007,XNYS,USD,9206,10.18
FLY,FIREFLY AEROSPACE INC,US31816X1063,XNAS,USD,9246,25.3
LUNR,INTUITIVE MACHINES INC,US46125A1007,XNAS,USD,11309,18.52
,nan,CASHUSDJPY01,,USD,-660287.19,0.006309944
,nan,CASHCADJPY01,,CAD,-46546.54,0.008713837
,2026-08-21,FORWARD,,USD,662000.0,0.006310474
,2026-08-21,FORWARD,,CAD,46800.0,0.008713662
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
610A,Global X Space Tech Top 10 ETF (ex-Japan),110508133.0,1060000,20260821,,
,,,,,,
