Ticker,Name,Short name,Region,Company
1305,iFreeETF TOPIX (Yearly Dividend Type),topix,,ifree
1306,NEXT FUNDS TOPIX Exchange Traded Fund,topix,,nextFunds
1308,Amova Exchange Traded Index Fund TOPIX,topix,,amova
1309,NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund,sse50,,nextFunds
1311,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,topix30,,nextFunds
1319,NEXT FUNDS Nikkei 300 Index Exchange Traded Fund,nikkei300,,nextFunds
1320,iFreeETF Nikkei225 (Yearly Dividend Type),nikkei,,ifree
1321,NEXT FUNDS Nikkei 225 Exchange Traded Fund,nikkei,,nextFunds
1322,Listed Index Fund China A Share (Panda) E Fund CSI300,csi300,,amova
1325,NEXT FUNDS Ibovespa Linked Exchange Traded Fund,brazilStockIndex,,nextFunds
1326,SPDR Gold Shares,gold,,spdr
1328,NEXT FUNDS Gold Price Exchange Traded Fund,gold,,nextFunds
1329,iShares Core Nikkei 225 ETF,nikkei,,ishares
1330,Amova Exchange Traded Index Fund 225,nikkei,,amova
1343,NEXT FUNDS REIT INDEX ETF,jreit,,nextFunds
1345,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index),jreit,,amova
1346,MAXIS NIKKEI225 ETF,nikkei,,maxis
1348,MAXIS TOPIX ETF,topix,,maxis
1349,ABF Pan Asia Bond Index,asiaGovBond,,spdr
1364,iShares JPX-Nikkei 400 ETF,nikkei400,,ishares
1369,One ETF Nikkei225,nikkei,,one
1397,SMDAM NIKKEI225 ETF,nikkei,,smdam
1398,SMDAM REIT Index ETF,jreit,,smdam
1399,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility,japanHighdiv,,amova
1473,One ETF TOPIX,topix,,one
1474,One ETF JPX-Nikkei 400,nikkei400,,one
1475,iShares Core TOPIX ETF,topix,,ishares
1476,iShares Core Japan REIT ETF,jreit,,ishares
1477,iShares MSCI Japan Minimum Volatility ex-REITs ETF,japanMinvol,,ishares
1478,iShares MSCI Japan High Dividend ETF,japanHighdiv,,ishares
1479,iFreeETF MSCI Japan Human and Physical Investment Index,daiwaMsciJapanHumanAndPhy,,daiwa
1480,NEXT FUNDS Nomura Enterprise Value Allocation Index Exchange Traded Fund,enterpriseValue,,nextFunds
1481,Listed Index Fund Japanese Economy Contributor Stocks,japanEconomyContributor,,amova
1482,iShares Core 7-10 Year US Treasury Bond JPY Hedged ETF,ust710Hedge,,ishares
1483,iShares JPX/S&P CAPEX & Human Capital ETF,capex,,ishares
1484,One ETF JPX/S&P CAPEX & Human Capital Index,capex,,one
1485,MAXIS JAPAN Proactive Investment in Physical and Human Capital 200 Idx ETF,humanCapital,,maxis
1486,Listed Index Fund US Bond (No Currency Hedge),bond,,amova
1487,Listed Index Fund US Bond (Currency Hedge),bond,,amova
1488,iFreeETF Tokyo Stock Exchange REIT Index,jreit,,daiwa
1489,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fd,nikkeiHighdiv,,nextFunds
1490,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility(Beta Hdg),japanMinvol,,amova
1493,One ETF JPX-Nikkei Mid Small,JpxNikkeiMidSmall,,one
1494,One ETF High Dividend Japan Equity,japanHighdiv,,one
1495,Listed Index Fund Asian REIT,asiaReit,,amova
1496,iShares USD Investment Grade Corporate Bond JPY Hedged ETF,corpoBondHedge,,ishares
1497,iShares USD High Yield Corporate Bond JPY Hedged ETF,corpoBondHedge,,ishares
1498,One ETF ESG,esg,,one
1499,MAXIS Japan Equity High Dividend 70 Market Neutral ETF,highdivNeutral,,maxis
1540,Japan Physical Gold ETF,gold,,mitsubishi
1541,Japan Physical Platinum ETF,platinum,,mitsubishi
1542,Japan Physical Silver ETF,silver,,mitsubishi
1543,Japan Physical Palladium ETF,palladium,,mitsubishi
1545,NEXT FUNDS NASDAQ-100(R) (Unhedged) Exchange Traded Fund,nasdaq100,,nextFunds
1546,NEXT FUNDS DJIA (Unhedged) Exchange Traded Fund,dow,,nextFunds
1547,Listed Index Fund US Equity (S&P500),sp500,,amova
1550,MAXIS Global Equity (MSCI Kokusai) ETF,msciKokusai,,maxis
1551,TSE Standard Top 20 ETF,standard20,,simplex
1554,Listed Index Fund World Equity (MSCI ACWI) ex Japan,world,,amova
1555,Listed Index Fund Australian REIT (S&P/ASX200 A-REIT),auReit,,amova
1557,State Street SPDR S&P 500 ETF Trust,sp500,,spdr
1559,NEXT FUNDS Thai Stock SET50 Exchange Traded Fund,set50,,nextFunds
1560,NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund,klci,,nextFunds
1563,TSE Growth Core ETF,growth,,simplex
1566,Listed Index Fund Emerging Bond,emBond,,amova
1577,NEXT FUNDS Nomura Japan Equity High Dividend 70 ETF,highdiv,,nextFunds
1578,Listed Index Fund Nikkei 225 (Mini),nikkei,,amova
1585,iFreeETF TOPIX Ex-Financials,topixExFinancials,,daiwa
1586,Listed Index Fund TOPIX Ex-Financials,topixExFinancials,,amova
1591,NEXT FUNDS JPX-Nikkei Index 400 Exchange Traded Fund,nikkei400,,nextFunds
1592,Listed Index Fund JPX-Nikkei Index 400,nikkei400,,amova
1593,MAXIS JPX-Nikkei Index 400 ETF,nikkei400,,maxis
1595,NZAM ETF J-REIT Index,jreit,,nzam
1596,NZAM ETF TOPIX Ex-Financials,topixExFinancials,,nzam
1597,MAXIS J-REIT ETF,jreit,,maxis
1599,iFreeETF JPX-Nikkei400,nikkei400,,daiwa
1615,NEXT FUNDS TOPIX Banks Exchange Traded Fund,topixBanks,,nextFunds
1617,NEXT FUNDS TOPIX-17 FOODS ETF,food,,nextFunds
1618,NEXT FUNDS TOPIX-17 ENERGY RESOURCES ETF,energy,,nextFunds
1619,NEXT FUNDS TOPIX-17 CONSTRUCTION & MATERIALS ETF,construction,,nextFunds
1620,NEXT FUNDS TOPIX-17 RAW MATERIALS & CHEMICALS ETF,materials,,nextFunds
