Ticker,Name,ISIN,Exchange,Currency,Region
46T,GPT GROUP,AU000000GPT8,FSX,AUD,AU
BWP,BWP GROUP,AU000000BWP3,XASX,AUD,AU
CHC,CHARTER HALL GROUP,AU000000CHC0,ASX,AUD,AU
CIP,CENTURIA INDUSTRIAL REIT,AU000000CIP0,XASX,AUD,AU
DXS,DEXUS/AU,AU000000DXS1,ASX,AUD,AU
GMG,GOODMAN GROUP ORD UNIT,AU000000GMG2,XASX,AUD,AU
GXLD,GLOBAL X GOLD BULLION ETF,AU0000328262,XASX,AUD,AU
LTR,LIONTOWN RESOURCES LTD,AU000000LTR4,XASX,AUD,AU
MGR,MIRVAC GROUP,AU000000MGR9,ASX,AUD,AU
PLS,PILBARA MINERALS LTD,AU000000PLS0,XASX,AUD,AU
REA,REA GROUP LTD,AU000000REA9,XASX,AUD,AU
SCG,SCENTRE GROUP,AU000000SCG8,ASX,AUD,AU
SGP,STOCKLAND TRUST GROUP,AU000000SGP0,ASX,AUD,AU
TNE,TECHNOLOGY ONE LTD,AU000000TNE8,XASX,AUD,AU
TWD,TWD/USD,AU000000TWD1,ASX,JPY,AU
VCX,VICINITY CENTRES,AU000000VCX7,ASX,AUD,AU
WTC,WISETECH GLOBAL LTD,AU000000WTC3,XASX,AUD,AU
