Ticker,Name,ISIN,Exchange,Currency,Region
ABEV3,AMBEV SA,BRABEVACNOR1,B3,,BR
ALOS3,ALLOS SA,BRALOSACNOR5,B3,,BR
ASAI3,SENDAS DISTRIBUIDORA SA,BRASAIACNOR0,B3,,BR
AURE3,AUREN ENERGIA SA - ON,BRAUREACNOR9,B3,,BR
AXIA3,AXIA ENERGIA,BRAXIAACNOR0,B3,,BR
AZZA3,AZZAS 2154 SA,BRAZZAACNOR9,B3,,BR
B3SA3,B3 SA-BRASIL BOLSA BALCAO,BRB3SAACNOR6,B3,,BR
BBAS3,BANCO DO BRASIL SA,BRBBASACNOR3,B3,,BR
BBDC3,BANCO BRADESCO S.A.,BRBBDCACNOR1,B3,,BR
BBDC4,BANCO BRADESCO SA - PREF,BRBBDCACNPR8,B3,,BR
BBSE3,BB SEGURIDADE PARTICIPACOES,BRBBSEACNOR5,B3,,BR
BEEF3,MINERVA SA,BRBEEFACNOR6,B3,,BR
BRAP4,BRADESPAR SA -PREF,BRBRAPACNPR2,B3,,BR
BRAV3,BRAVA ENERGIA,BRBRAVACNOR3,B3,,BR
BRKM5,BRASKEM SA-PREF A,BRBRKMACNPA4,B3,,BR
CEAB3,C&A MODAS LTDA,BRCEABACNOR1,B3,,BR
CMIG4,CIA ENERGETICA DE MINAS GER-PREF,BRCMIGACNPR3,B3,,BR
CMIN3,CSN MINERACAO SA,BRCMINACNOR2,B3,,BR
COGN3,COGNA EDUCACAO,BRCOGNACNOR2,B3,,BR
CPFE3,CPFL ENERGIA SA,BRCPFEACNOR0,B3,,BR
CPLE3,COMPANHIA PARANAENSE DE ENER,BRCPLEACNOR8,B3,,BR
CSAN3,COSAN SA,BRCSANACNOR6,B3,,BR
CSMG3,CIA SANEAMENTO MINAS GERAIS,BRCSMGACNOR5,B3,,BR
CSNA3,CIA SIDERURGICA NACIONAL SA,BRCSNAACNOR6,B3,,BR
CURY3,CURY CONSTRUTORA E INCORPORA,BRCURYACNOR3,B3,,BR
CXSE3,CAIXA SEGURIDADE PARTICIPACO,BRCXSEACNOR7,B3,,BR
CYRE3,CYRELA BRAZIL REALTY,BRCYREACNOR7,B3,,BR
DIRR3,DIRECIONAL ENGENHARIA SA,BRDIRRACNOR0,B3,,BR
EGIE3,ENGIE BRASIL SA,BREGIEACNOR9,B3,,BR
EMBJ3,EMBRAER SA,BREMBJACNOR1,B3,,BR
ENEV3,ENEVA SA,BRENEVACNOR8,B3,,BR
EQTL3,EQUATORIAL SA - ORD,BREQTLACNOR0,B3,,BR
FLRY3,FLEURY SA,BRFLRYACNOR5,B3,,BR
GGBR4,GERDAU SA PFD NPV,BRGGBRACNPR8,B3,,BR
GOAU4,METALURGICA GERDAU SA-PREF,BRGOAUACNPR8,B3,,BR
HAPV3,HAPVIDA PARTICIPACOES E INVESTIMENTOS,BRHAPVACNOR4,B3,,BR
HYPE3,HYPERA SA,BRHYPEACNOR0,B3,,BR
ISAE4,ISA ENERGIA BRASIL SA,BRISAEACNPR9,B3,,BR
ITSA4,ITAUSA SA,BRITSAACNPR7,B3,,BR
ITUB4,ITAU UNIBANCO HOLDING SA-PREF,BRITUBACNPR1,B3,BRL,BR
KLBN4,KLABIN SA-PREF,BRKLBNACNPR9,B3,,BR
LREN3,LOJAS RENNER S.A.,BRLRENACNOR1,B3,,BR
MBRF3,MBRF GLOBAL FOODS COMPANY SA,BRMBRFACNOR1,B3,,BR
MGLU3,MAGAZINE LUIZA SA,BRMGLUACNOR2,B3,,BR
MOTV3,MOTIVA INFRAESTRUTURA DE MOB,BRMOTVACNOR7,B3,,BR
MRVE3,MRV ENGENHARIA,BRMRVEACNOR2,B3,,BR
MULT3,MULTIPLAN EMPREENDIMENTOS,BRMULTACNOR5,B3,,BR
NATU3,NATURA COSMETICOS SA,BRNATUACNOR6,B3,,BR
PETR3,PETROBRAS - PETROLEO BRAS,BRPETRACNOR9,B3,BRL,BR
PETR4,PETROBRAS-PETROLEO BRAS-PR,BRPETRACNPR6,B3,BRL,BR
POMO4,MARCOPOLO SA-PREF,BRPOMOACNPR7,B3,,BR
PRIO3,PRIO SA,BRPRIOACNOR1,B3,,BR
PSSA3,PORTO SEGURO SA,BRPSSAACNOR7,B3,,BR
RADL3,RAIA DROGASIL SA,BRRADLACNOR0,B3,,BR
RAIL3,RUMO SA,BRRAILACNOR9,B3,,BR
RDOR3,REDE D'OR SAO LUIZ SA,BRRDORACNOR8,B3,,BR
RECV3,PETRORECONCAVO SA,BRRECVACNOR3,B3,,BR
RENT3,LOCALIZA RENT A CAR,BRRENTACNOR4,B3,,BR
SBSP3,CIA SANEAMENTO BASICO DE SP,BRSBSPACNOR5,B3,,BR
SLCE3,SLC AGRICOLA SA,BRSLCEACNOR2,B3,,BR
SMFT3,SMARTFIT ORDINARY,BRSMFTACNOR1,B3,,BR
SUZB3,SUZANO SA,BRSUZBACNOR0,B3,,BR
TIMS3,TIM SA,BRTIMSACNOR5,B3,,BR
TOTS3,TOTVS,BRTOTSACNOR8,XBSP,JPY,BR
UGPA3,ULTRAPAR PARTICIPACOES,BRUGPAACNOR8,B3,,BR
USIM5,USINAS SIDER MINAS GER-PF A,BRUSIMACNPA6,B3,,BR
VALE3,VALE SA,BRVALEACNOR0,B3,BRL,BR
VAMO3,VAMOS LOCACAO DE CAMINHOES M,BRVAMOACNOR7,B3,,BR
VBBR3,VIBRA ENERGIA SA,BRVBBRACNOR1,B3,,BR
VIVA3,VIVARA PARTICIPACOES SA,BRVIVAACNOR0,B3,,BR
VIVT3,TELEFONICA BRASIL S.A.,BRVIVTACNOR0,B3,,BR
WEGE3,WEG SA,BRWEGEACNOR0,B3,,BR
YDUQ3,YDUQS PARTICIPACOES SA,BRYDUQACNOR3,B3,,BR
