Ticker,Name,ISIN,Exchange,Currency,Region
ATS,ATS,CA00217Y1043,TORONTO STOCK EXCHANGE,JPY,CA
BB,BLACKBERRY LTD,CA09228F1036,XTSE,CAD,CA
BNY,BANK OF NEW YORK MELLON CORP,CA74643T1049,NEW YORK STOCK EXCHANGE INC.,JPY,CA
CSU,CONSTELLATION SOFTWARE INC,CA21037X1006,XTSE,CAD,CA
DLR,DIGITAL REALTY TRUST REIT,CA44049C4011,NEW YORK STOCK EXCHANGE INC.,JPY,CA
DREUF,DREAM INDUSTRIAL REAL ESTATE,CA26153W1095,XTSE,CAD,CA
MDALF,MDA SPACE LTD,CA55293N1096,XTSE,CAD,CA
NOVT,NOVANTA,CA67000B1040,NASDAQ,JPY,CA
OTEX,OPEN TEXT,CA6837151068,TORONTO STOCK EXCHANGE,JPY,CA
RY,ROYAL BANK OF CANADA,CA7800871021,TSX,CAD,CA
SHOP,SHOPIFY INC - CLASS A,CA82509L1076,TSX,,CA
SU,SCHNEIDER ELECTRIC,CA8672241079,NYSE EURONEXT - EURONEXT PARIS,JPY,CA
TD,TORONTO DOMINION BANK,CA8911605092,TSX,CAD,CA
X,TMX GROUP INC COM,CA87262K1057,XTSE,CAD,CA
