Ticker,Name,ISIN,Exchange,Currency,Region
ABBN,ABB LTD,CH0012221716,SIX SWISS EXCHANGE,JPY,CH
CB,CHUBB LTD,CH0044328745,NYSE,,CH
GEBN,GEBERIT AG,CH0030170408,XSWX,CHF,CH
GRMN,GARMIN,CH0114405324,NEW YORK STOCK EXCHANGE INC.,JPY,CH
IFCN,INFICON HOLDING AG,CH1431598916,SIX SWISS EXCHANGE,JPY,CH
KARN,KARDEX HOLDING AG,CH0100837282,SIX SWISS EXCHANGE,JPY,CH
LAR,LITHIUM ARGENTINA CORP,CH1403212751,XTSE,CAD,CH
NESN,NESTLE SA-REG,CH0038863350,SIX,CHF,CH
NOVN,NOVARTIS AG,CH0012005267,XSWX,CHF,CH
UBSG,UBS GROUP AG,CH0244767585,XSWX,CHF,CH
