Ticker,Name,ISIN,Exchange,Currency,Region
'002594,BYD CO LTD -A,CNE100001526,XSHE,CNY,CN
'00300,MIDEA GROUP CO LTD,CNE100006M58,XHKG,HKD,CN
'00666,REPT BATTERO ORD H,CNE1000069Z2,XHKG,HKD,CN
'00857,PETROCHINA CO LTD-H,CNE1000003W8,HKEX,HKD,CN
'01288,AGRICULTURAL BANK OF CHINA-H,CNE100000Q43,HKEX,HKD,CN
'01398,IND & COMM BK OF CHINA-H,CNE1000003G1,HKEX,HKD,CN
'01772,JIANGXI GANFENG LITHIUM CO LTD,CNE1000031W9,XHKG,HKD,CN
'02318,PING AN INSURANCE GROUP CO-H,CNE1000003X6,HKEX,HKD,CN
'02513,Z.AI CO LTD,CNE100007DH9,XHKG,HKD,CN
'02628,CHINA LIFE INSURANCE CO-H,CNE1000002L3,HKEX,HKD,CN
'02899,ZIJIN MINING GROUP CO-H,CNE100000502,HKEX,HKD,CN
'03968,CHINA MERCHANTS BANK-H,CNE1000002M1,HKEX,HKD,CN
'03988,BANK OF CHINA LTD-H,CNE1000001Z5,HKEX,HKD,CN
'06690,HAIER SMART HOME C,CNE1000048K8,XHKG,HKD,CN
'09696,TIANQI LITHIUM CORP-H,CNE100005F09,XHKG,HKD,CN
'09863,ZHEJIANG LEAPMOTOR,CNE100005K77,XHKG,HKD,CN
'09927,SERES ORD H,CNE1000076H5,XHKG,HKD,CN
'0VSO,BYD COMPANY LTD,CNE100000296,XHKG,HKD,CN
300750,CONTEMPORARY AMPEREX TECHN-A,CNE100003662,XSHE,CNY,CN
510050,CHINA 50 ETF,CNE000001LM6,SSE,CNY,CN
600036,CHINA MERCHANTS BANK CO LTD,CNE000001B33,XSHG,CNY,CN
C6T,CHINA CONSTRUCTION BANK-H,CNE1000002H1,FSX,HKD,CN
