Ticker,Name,ISIN,Exchange,Currency,Region
'0LQ1,CON,DE0005439004,,,DE
'0M6S,ALV,DE0008404005,,,DE
ADS,ADS,DE000A1EWWW0,,,DE
BAS,BAS,DE000BASF111,,,DE
BAYN,BAYN,DE000BAY0017,,,DE
BEI,BEI,DE0005200000,,,DE
BMW,BMW,DE0005190003,,,DE
CBK,CBK,DE000CBK1001,,,DE
DB1,DEUTSCHE BOERSE AG,DE0005810055,XETR,EUR,DE
DBK,DBK,DE0005140008,,,DE
DHL,DHL,DE0005552004,,,DE
EOAN,EOAN,DE000ENAG999,,,DE
FME,FME,DE0005785802,,,DE
G1A,G1A,DE0006602006,,,DE
G24,G24,DE000A12DM80,,,DE
HEN3,HEN3,DE0006048432,,,DE
HLAG,HAPAG-LLOYD AG,DE000HLAG475,XETR,EUR,DE
HNR1,HNR1,DE0008402215,,,DE
HOT,HOT,DE0006070006,,,DE
IFX,IFX,DE0006231004,,,DE
MBG,MBG,DE0007100000,,,DE
MUV2,MUV2,DE0008430026,,,DE
RHM,RHM,DE0007030009,,,DE
RWE,RWE,DE0007037129,,,DE
SAP,SAP,DE0007164600,,,DE
SHL,SHL,DE000SHL1006,,,DE
SIE,SIE,DE0007236101,,,DE
SY1,SY1,DE000SYM9999,,,DE
VNA,VNA,DE000A1ML7J1,,,DE
VOW3,VOW3,DE0007664039,,,DE
ZAL,ZAL,DE000ZAL1111,,,DE
