Ticker,Name,ISIN,Exchange,Currency,Region
COV,COVIVIO,FR0000064578,EURONEXT,EUR,FR
CS,AXA SA,FR0000120628,EURONEXT,,FR
ERA,ERAMET,FR0000131757,XPAR,EUR,FR
FRVIA,FORVIA,FR0000121147,XPAR,EUR,FR
GFC,GECINA SA,FR0010040865,EURONEXT,EUR,FR
RMS,HERMES INTERNATIONAL SCA,FR0000052292,XPAR,EUR,FR
RNO,RENAULT SA,FR0000131906,XPAR,EUR,FR
SAF,SAFRAN SA,FR0000073272,EURONEXT,,FR
SGO,COMP DE SAINT-GOBAIN (ORD),FR0000125007,EURONEXT,,FR
TTE,TOTALENERGIES SE,FR0000120271,EURONEXT,,FR
URW,UNIBAIL-RODAMCO-WESTFIELD,FR0013326246,EURONEXT,EUR,FR
