Ticker,Name,ISIN,Exchange,Currency,Region
AUTO,AUTO TRADER GROUP PLC,GB00BVYVFW23,XLON,GBP,GB
AZN,AZN,GB0009895292,,GBP,GB
BBOX,TRITAX BIG BOX REIT PLC,GB00BG49KP99,XLON,GBP,GB
CCEP,CCEP,GB00BDCPN049,,,GB
EXPN,EXPERIAN PLC,GB00B19NLV48,XLON,GBP,GB
HSBA,HSBC HOLDINGS PLC,GB0005405286,XHKG,HKD,GB
HT3,ANG,GB00BRXH2664,,ZAR,GB
LMP,LMP,GB00B4WFW713,,GBP,GB
PHP,PHP,GB00BYRJ5J14,,GBP,GB
RBOD,ISHARES AUTOMATION & ROBOTIC USD_D,IE00BYWZ0333,LONDON STOCK EXCHANGE,JPY,GB
REL,RELX PLC,GB00B2B0DG97,XLON,GBP,GB
RPRX,ROYALTY PHARMA PLC- CL A,GB00BMVP7Y09,XNAS,USD,GB
SGRO,SGRO,GB00B5ZN1N88,,GBP,GB
UTG,UTG,GB0006928617,,GBP,GB
