Ticker,Name,ISIN,Exchange,Currency,Region
AXISBANK,AXSB,INE238A01034,,INR,IN
BAJFINANCE,BAF,INE296A01032,,INR,IN
BHARTIARTL,BHARTI,INE397D01024,,INR,IN
HDFCBANK,HDFCB,INE040A01034,,INR,IN
HINDUNILVR,HINDUSTAN UNILEVER LTD,INE030A01027,XNSE,INR,IN
ICICIBANK,ICICIBC,INE090A01021,,INR,IN
INFY,INFO,INE009A01021,,INR,IN
JSWSTEEL,JSW STEEL LTD,INE019A01038,XNSE,INR,IN
KOTAKBANK,KMB,INE237A01036,,INR,IN
LT,LT,INE018A01030,,INR,IN
M&M,MM,INE101A01026,,INR,IN
MARUTI,MARUTI SUZUKI INDIA LTD,INE585B01010,XNSE,INR,IN
ONGC,OIL & NATURAL GAS CORP LTD,INE213A01029,XNSE,INR,IN
RELIANCE,RELIANCE,INE002A01018,,INR,IN
SUNPHARMA,SUNP,INE044A01036,,INR,IN
ULTRACEMCO,ULTRATECH CEMENT LTD,INE481G01011,XNSE,INR,IN
