Ticker,Name,ISIN,Exchange,Currency,Region
'000270,KIA CORP,KR7000270009,KRX,KRW,KR
'000660,SK HYNIX,KR7000660001,KOREA EXCHANGE (STOCK MARKET),JPY,KR
'005380,HYUNDAI MOTOR CO LTD,KR7005380001,KRX,KRW,KR
'005930,SAMSUNG ELECTRONICS,KR7005930003,KRX,KRW,KR
'006400,SAMSUNG SDI CO LTD,KR7006400006,XKRX,KRW,KR
'009150,SAMSUNG ELECTRO MECHANICS,KR7009150004,KRX,KRW,KR
'011790,SKC CO LTD ORD,KR7011790003,XKRX,KRW,KR
'012330,HYUNDAI MOBIS LTD,KR7012330007,KOREA EXCHANGE (STOCK MARKET),JPY,KR
'012450,HANWHA AEROSPACE CO LTD,KR7012450003,KRX,KRW,KR
'028260,SAMSUNG C&T CORP,KR7028260008,KOREA EXCHANGE (STOCK MARKET),JPY,KR
'034020,DOOSAN ENERBILITY LTD,KR7034020008,KOREA EXCHANGE (STOCK MARKET),JPY,KR
'035420,NAVER,KR7035420009,KOREA EXCHANGE (STOCK MARKET),JPY,KR
'055550,SHINHAN FINANCIAL GROUP,KR7055550008,KRX,KRW,KR
'068270,CELLTRION,KR7068270008,KOREA EXCHANGE (STOCK MARKET),JPY,KR
'086790,HANA FINANCIAL HOLDINGS,KR7086790003,KRX,KRW,KR
105560,KB FINANCIAL GROUP INC,KR7105560007,KRX,KRW,KR
108490,ROBOTIS LTD,KR7108490004,KOREA EXCHANGE (KOSDAQ),JPY,KR
204320,HL MANDO CO LTD,KR7204320006,XKRX,KRW,KR
277810,RAINBOW ROBOTICS,KR7277810008,KOREA EXCHANGE (KOSDAQ),JPY,KR
373220,LG ENERGY SOLUTION,KR7373220003,XKRX,KRW,KR
402340,SK SQUARE CO LTD,KR7402340004,KRX,KRW,KR
