Ticker,Name,ISIN,Exchange,Currency,Region
'00020,SENSETIME GRP INC,KYG8062L1041,XHKG,HKD,KY
'00100,MINIMAX GROUP INC,KYG6181S1093,XHKG,HKD,KY
'00780,TONGCHENG TRAVEL,KYG8918W1069,XHKG,HKD,KY
'00863,OSL GROUP LTD,KYG1106B1095,XHKG,HKD,KY
'00981,SEMICONDUCTOR MFG,KYG8020E1199,XHKG,HKD,KY
'01316,NEXTEER AUTOMOTIVE GROUP LTD,KYG6501M1050,XHKG,HKD,KY
'01698,TENCENT MUSIC ENTE,KYG875771134,XHKG,HKD,KY
'01810,XIAOMI CORPORATION,KYG9830T1067,XHKG,HKD,KY
'02015,LI AUTO INC,KYG5479M1050,XHKG,HKD,KY
'02498,ROBOSENSE ORD,KYG7611S1075,XHKG,HKD,KY
'02533,BLACK SESAME ORD,KYG129301068,XHKG,HKD,KY
'03690,MEITUAN,KYG596691041,XHKG,HKD,KY
'06618,JD HEALTH INTERNAT,KYG5074A1004,XHKG,HKD,KY
'09618,JD.COM INC,KYG8208B1014,XHKG,HKD,KY
'09626,BILIBILI INC,KYG1098A1013,XHKG,HKD,KY
'09660,HORIZON ROBOTICS,KYG4602S1057,XHKG,HKD,KY
'09866,NIO INC,KYG6525F1028,XHKG,HKD,KY
'09868,XPENG INC,KYG982AW1003,XHKG,HKD,KY
'09888,BAIDU INC,KYG070341048,XHKG,HKD,KY
'09961,TRIP COM GROUP LTD,KYG9066F1019,XHKG,HKD,KY
'09988,ALIBABA GROUP HLDG,KYG017191142,XHKG,HKD,KY
'09999,NETEASE INC,KYG6427A1022,XHKG,HKD,KY
'0A74,KUAISHOU TECHNOLOG,KYG532631028,XHKG,HKD,KY
'0YZ2,GEELY AUTOMOBILE HOLDINGS LT,KYG3777B1032,XHKG,HKD,KY
'0Z4I,SUNNY OPTICAL TECH,KYG8586D1097,XHKG,HKD,KY
'0Z4S,TENCENT HLDGS LTD,KYG875721634,XHKG,HKD,KY
AMBA,AMBARELLA INC,KYG037AX1015,XNAS,USD,KY
BLSH,BULLISH,KYG169101204,XNYS,USD,KY
BULL,WEBULL CORP ORD SHARES,KYG9572D1034,XNAS,USD,KY
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,KYG254571055,XNAS,USD,KY
DLO,DLOCAL LTD,KYG290181018,XNAS,USD,KY
GFS,GLOBALFOUNDRIES INC,KYG393871085,XNAS,USD,KY
NU,NU HOLDINGS LTD,KYG6683N1034,XNYS,USD,KY
XP,XP INC,KYG982391099,XNAS,USD,KY
