Ticker,Name,ISIN,Exchange,Currency,Region
1015,AMMB HOLDING,MYL1015OO006,BURSA,,MY
1023,CIMB GROUP HOLDINGS BERHAD,MYL1023OO000,BURSA,,MY
1066,RHB BANK BHD,MYL1066OO009,BURSA,,MY
1155,MALAYAN BANKING,MYL1155OO000,BURSA,,MY
1295,PUBLIC BANK BHD,MYL1295OO004,BURSA,MYR,MY
1961,IOI CORP,MYL1961OO001,BURSA,,MY
2445,KUALA LUMPUR KEPONG,MYL2445OO004,BURSA,,MY
3476,MIRAI REIT,MYL3476OO008,TOKYO STOCK EXCHANGE,JPY,MY
3816,MISC BHD,MYL3816OO005,BURSA,,MY
4065,PPB GROUP BERHAD,MYL4065OO008,BURSA,,MY
4324,DENTSU GROUP,MYL4324OO009,TOKYO STOCK EXCHANGE,JPY,MY
4677,YTL CORPORATION BERHAD,MYL4677OO000,BURSA,,MY
4863,TELEKOM MALAYSIA,MYL4863OO006,BURSA,,MY
5020,ＥＮＥＯＳホールディングス,MYL5020OO002,BURSA,,MY
5101,YOKOHAMA RUBBER,MYL5101OO000,TOKYO STOCK EXCHANGE,JPY,MY
5108,BRIDGESTONE,MYL5108FO003,TOKYO STOCK EXCHANGE,JPY,MY
5183,PETRONAS CHEMICALS GROUP BHD,MYL5183OO008,BURSA,,MY
5211,SUNWAY BHD,MYL5211OO007,BURSA,,MY
5225,IHH HEALTHCARE BHD,MYL5225OO007,BURSA,,MY
5249,IOI PROPERTIES GROUP BHD,MYL5249OO007,BURSA,,MY
5296,MR DIY GROUP M BHD,MYL5296OO008,BURSA,,MY
5326,99 SPEED MART RETAIL HOLDING,MYL5326OO003,BURSA,,MY
5332,TOTO LTD,MYL5332OO001,TOKYO STOCK EXCHANGE,JPY,MY
5347,TENAGA NASIONAL,MYL5347OO009,BURSA,,MY
5398,GAMUDA BERHAD,MYL5398OO002,BURSA,,MY
5401,NIPPON STEEL,MYL5401OO004,TOKYO STOCK EXCHANGE,JPY,MY
5555,SUNWAY HEALTHCARE HOLDINGS B,MYL5555OO007,BURSA,,MY
5681,PETRONAS DAGANGAN BHD,MYL5681OO001,BURSA,,MY
5819,HONG LEONG BANK,MYL5819OO007,BURSA,,MY
6012,MAXIS BHD,MYL6012OO008,BURSA,,MY
6033,PETRONAS GAS BERHAD,MYL6033OO004,BURSA,,MY
6888,AXIATA GROUP BERHAD,MYL6888OO001,BURSA,,MY
6963,ローム,MYL6963OO002,BURSA,,MY
7010,SAUDI TELECOM,MYL7010OO001,SAUDI STOCK EXCHANGE,JPY,MY
7013,ＩＨＩ,MYL7013OO005,BURSA,,MY
7181,JAPAN POST INSURANCE LTD,MYL7181OO000,TOKYO STOCK EXCHANGE,JPY,MY
7186,YOKOHAMA FINANCIAL GROUP,MYL7186OO009,TOKYO STOCK EXCHANGE,JPY,MY
7202,ISUZU MOTORS,MYL7202OO004,TOKYO STOCK EXCHANGE,JPY,MY
7203,TOYOTA MOTOR,MYL7203OO002,TOKYO STOCK EXCHANGE,JPY,MY
8591,オリックス,MYL8591OO009,BURSA,,MY
8869,PRESS METAL ALUMINIUM HOLDINGS,MYL8869OO009,BURSA,,MY
8966,HEIWA REAL ESTATE REIT,MYL8966OO003,TOKYO STOCK EXCHANGE,JPY,MY
