Ticker,Name,ISIN,Exchange,Currency,Region
'0INB,STMICROELECTRONICS NV,NL0000226223,XPAR,EUR,NL
'0KVV,AIRBUS SE,NL0000235190,LSE,,NL
'0QW0,ARGENX SE,NL0010832176,LSE,,NL
'0RLT,QIAGEN N.V.,NL0015002SN0,LSE,,NL
ADYEN,ADYEN NV,NL0012969182,XAMS,EUR,NL
ASML,ASML HOLDING NV,NL0010273215,XSWX,CHF,NL
CNH,CNH INDUSTRIAL NV,NL0010545661,XNYS,USD,NL
ESTC,ELASTIC,NL0013056914,NEW YORK STOCK EXCHANGE INC.,JPY,NL
FER,FERROVIAL NV,NL0015001FS8,AMS,,NL
INGA,ING GROEP NV,NL0011821202,AMS,,NL
LYB,LYONDELLBASELL INDU-CL A,NL0009434992,XNYS,USD,NL
NBIS,NEBIUS GROUP NV,NL0009805522,XNAS,USD,NL
NXPI,NXP SEMICONDUCTORS NV,NL0009538784,NASDAQ,,NL
PRX,PROSUS NV,NL0013654783,AMS,,NL
RACE,FERRARI NV,NL0011585146,NYSE,,NL
STLA,STELLANTIS NV,NL00150001Q9,XMIL,EUR,NL
TWEKA,TKH GROUP,NL0000852523,EURONEXT AMSTERDAM,JPY,NL
WKL,WOLTERS KLUWER,NL0000395903,AMS,,NL
