Ticker,Name,ISIN,Exchange,Currency,Region
A17U,CAPITALAND ASCENDAS REIT,SG1M77906915,SGX,SGD,SG
AJBU,KEPPEL DC REIT,SG1AF6000009,SGX,SGD,SG
BUOU,FRASERS LOGISTICS & COMMERCIAL,SG1CI9000006,XSES,SGD,SG
C38U,CAPITALAND INTEGRATED COMMERCIAL TRUST,SG1M51904654,SGX,SGD,SG
D05,DBS GROUP HOLDINGS LTD,SG1L01001701,XSES,SGD,SG
FLEX,FLEX LTD,SG9999000020,NASDAQ,JPY,SG
M2L,MAPLETREE INDUSTRIAL TRUST,SG2C32962814,FSX,SGD,SG
M44U,MAPLETREE LOGISTICS TRUST,SG1S03926213,XSES,SGD,SG
O5RU,AIMS APAC REIT MANAGEMENT LTD,SG2D63974620,XSES,SGD,SG
S68,SINGAPORE EXCHANGE (SGX) LTD ORD,SG1J26887955,XSES,SGD,SG
