Ticker,Name,ISIN,Exchange,Currency,Region
47TA,TISCO FINANCIAL GROUP-NVDR,TH0999010R11,FSX,,TH
7BP1,BANGCHAK CORP PCL-NVDR,TH0420010R18,FSX,,TH
AISF,ADVANCED INFO SERVICE (F),TH0268010Z11,FSX,,TH
APTPF,AIRPORTS OF THAILAND PCL(F),TH0765010Z16,OTC,,TH
B4X,BANGKOK EXPRESSWAY AND METRO PCL-F,TH6999010015,FSX,,TH
BGKKF,BANGKOK BANK PUBLIC CO-NVDR,TH0001010R16,OTC,,TH
CPOF,CHAROEN POKPHAND FOODS(F),TH0101A10Z19,FSX,,TH
CVPBF,CP ALL PCL-FOREIGN,TH0737010Y16,OTC,,TH
EYUUF,ELECTRICITY GENERATING PCL-NVDR,TH0465010R13,OTC,,TH
I93,INDORAMA VENTURES-FOREIGN,TH1027010012,FSX,,TH
KIFF,KIATNAKIN PHATRA BANK-FOREIGN,TH0121010019,FSX,,TH
LQZ,THAI OIL PCL(F),TH0796010013,FSX,,TH
MINOF,MINOR INTERNATIONAL PCL (F),TH0128B10Z17,OTC,,TH
NVAH,LAND & HOUSES PUB - NVDR,TH0143010R16,FSX,,TH
NVAQ,SIAM CEMENT PCL-NVDR,TH0003010R12,FSX,,TH
NVAW,DELTA ELECTRONICS THAI-NVDR,TH0528010R18,FSX,THB,TH
NVPB,KRUNG THAI BANK-NVDR,TH0150010R11,FSX,,TH
PTTG,PTT EXPLORATION & PRODUCTION (F),TH0355A10Z12,FSX,,TH
TAF1,TRUE CORP PCL/NEW-FOREIGN,THB231010018,FSX,,TH
TAWNF,THAI AIRWAYS INTL PCL-FOR,TH0245010010,OTC,,TH
THFRF,THAI UNION GROUP PCL-F,TH0450010Y16,OTC,,TH
TMLF,TMBTHANACHART BANK PCL-FOREIGN,TH0068010Z15,FSX,,TH
