Ticker,Name,ISIN,Exchange,Currency,Region
'00935,NF NOMURA TAIWAN IT 50 ETF,TW0000093509,TWSE,,TW
1303,NAN YA PLASTICS CORP,TW0001303006,TWSE,TWD,TW
1605,ＩＮＰＥＸ,TW0001605004,TWSE,,TW
1721,COMSYS HOLDINGS CORP,TW0001721009,TOKYO STOCK EXCHANGE,JPY,TW
1802,OBAYASHI,TW0001802007,TOKYO STOCK EXCHANGE,JPY,TW
1810,XIAOMI,TW0001810000,HONG KONG EXCHANGES AND CLEARING LTD,JPY,TW
2049,HIWIN TECHNOLOGIES CORP,TW0002049004,TAIWAN STOCK EXCHANGE,JPY,TW
2059,KING SLIDE WORKS,TW0002059003,TAIWAN STOCK EXCHANGE,JPY,TW
2303,UNITED MICROELECTRONICS CORP,TW0002303005,TWSE,TWD,TW
2308,DELTA ELECTRONICS,TW0002308004,TAIWAN STOCK EXCHANGE,JPY,TW
2317,HON HAI PRECISION INDUSTRY,TW0002317005,TWSE,TWD,TW
2327,YAGEO CORPORATION,TW0002327004,TWSE,TWD,TW
2330,TAIWAN SEMICONDUCTOR,TW0002330008,TWSE,TWD,TW
2345,ACCTON TECHNOLOGY,TW0002345006,TAIWAN STOCK EXCHANGE,JPY,TW
2360,CHROMA ATE INC,TW0002360005,TAIWAN STOCK EXCHANGE,JPY,TW
2371,KAKAKU.COM,TW0002371002,TOKYO STOCK EXCHANGE,JPY,TW
2382,QUANTA COMPUTER INC,TW0002382009,TWSE,TWD,TW
2383,ELITE MATERIAL,TW0002383007,TAIWAN STOCK EXCHANGE,JPY,TW
2413,M3 INC,TW0002413002,TOKYO STOCK EXCHANGE,JPY,TW
2454,MEDIATEK INC,TW0002454006,TWSE,TWD,TW
2702,MCDONALDS HOLDINGS (JAPAN) LTD,TW0002702008,TOKYO STOCK EXCHANGE,JPY,TW
2801,KIKKOMAN CORP,TW0002801008,TOKYO STOCK EXCHANGE,JPY,TW
2881,FUBON FINANCIAL HOLDING CO LTD,TW0002881000,TWSE,TWD,TW
2882,CATHAY FINANCIAL HOLDING CO LTD,TW0002882008,TWSE,TWD,TW
2885,YUANTA FINANCIAL HOLDING CO,TW0002885001,TWSE,TWD,TW
2887,TAISHIN FINANCIAL HOLDINGS,TW0002887007,TWSE,TWD,TW
