Ticker,Name,ISIN,Exchange,Currency,Region
1605,ＩＮＰＥＸ,TW0001605004,,,UNKNOWN
1812,鹿島建設,JP3210200006,,,UNKNOWN
1925,大和ハウス工業,JP3505000004,,,UNKNOWN
1928,積水ハウス,JP3420600003,,,UNKNOWN
2503,キリンホールディングス,JP3258000003,,,UNKNOWN
2802,味の素,JP3119600009,,,UNKNOWN
285A,キオクシアホールディングス,JP3236330001,,,UNKNOWN
2914,日本たばこ産業,JP3726800000,,,UNKNOWN
2971,エスコンジャパンリート投資法人,JP3048810000,,,UNKNOWN
2972,サンケイリアルエステート投資法人,JP3048880003,,,UNKNOWN
2979,ＳＯＳｉＬＡ物流リート投資法人,JP3048960003,,,UNKNOWN
2989,東海道リート投資法人,JP3049110004,,,UNKNOWN
3132,マクニカホールディングス,JP3862960006,,,UNKNOWN
3226,三井不動産アコモデーションファンド投資法人,TW0003226007,,,UNKNOWN
3234,森ヒルズリート投資法人,TW0003234001,,,UNKNOWN
3249,産業ファンド投資法人,JP3046500009,,,UNKNOWN
3269,アドバンス・レジデンス投資法人,JP3047160001,,,UNKNOWN
3279,アクティビア・プロパティーズ投資法人,JP3047490002,,,UNKNOWN
3281,ＧＬＰ投資法人,JP3047510007,,,UNKNOWN
3282,コンフォリア・レジデンシャル投資法人,JP3047540004,,,UNKNOWN
3283,日本プロロジスリート投資法人,JP3047550003,,,UNKNOWN
3287,星野リゾート・リート投資法人,TW0003287009,,,UNKNOWN
3290,Ｏｎｅリート投資法人,TW0003290003,,,UNKNOWN
3292,イオンリート投資法人,JP3047650001,,,UNKNOWN
3295,ヒューリックリート投資法人,JP3047660000,,,UNKNOWN
3296,日本リート投資法人,TW0003296000,,,UNKNOWN
3309,積水ハウス・リート投資法人,JP3047820000,,,UNKNOWN
3382,セブン＆アイ・ホールディングス,JP3422950000,,,UNKNOWN
3436,ＳＵＭＣＯ,JP3322930003,,,UNKNOWN
3451,トーセイ・リート投資法人,JP3047830009,,,UNKNOWN
3455,ヘルスケア＆メディカル投資法人,TW0003455002,,,UNKNOWN
3459,サムティ・レジデンシャル投資法人,JP3047960004,,,UNKNOWN
3462,野村不動産マスターファンド投資法人,JP3048110005,,,UNKNOWN
3463,いちごホテルリート投資法人,JP3048160000,,,UNKNOWN
3466,ラサールロジポート投資法人,TW0003466009,,,UNKNOWN
3468,スターアジア不動産投資法人,JP3048200004,,,UNKNOWN
3470,マリモ地方創生リート投資法人,JP3048290005,,,UNKNOWN
3471,三井不動産ロジスティクスパーク投資法人,JP3048300002,,,UNKNOWN
3472,日本ホテル＆レジデンシャル投資法人,JP3048310001,,,UNKNOWN
3476,投資法人みらい,MYL3476OO008,,,UNKNOWN
3481,三菱地所物流リート投資法人,TW0003481008,,,UNKNOWN
3487,ＣＲＥロジスティクスファンド投資法人,JP3048680007,,,UNKNOWN
3488,セントラル・リート投資法人,JP3048690006,,,UNKNOWN
3492,ＭＩＲＡＲＴＨ不動産投資法人,TW0003492005,,,UNKNOWN
4004,レゾナック・ホールディングス,JP3368000000,,,UNKNOWN
401A,霞ヶ関ホテルリート投資法人,JP3050870009,,,UNKNOWN
4021,日産化学,JP3670800006,,,UNKNOWN
4043,トクヤマ,JP3625000009,,,UNKNOWN
4062,イビデン,JP3148800000,,,UNKNOWN
4063,信越化学工業,JP3371200001,,,UNKNOWN
4186,東京応化工業,TW0004186B15,,,UNKNOWN
4203,住友ベークライト,JP3409400003,,,UNKNOWN
4272,日本化薬,JP3694400007,,,UNKNOWN
4307,野村総合研究所,JP3762800005,,,UNKNOWN
4401,ＡＤＥＫＡ,TW0004401005,,,UNKNOWN
4452,花王,JP3205800000,,,UNKNOWN
4503,アステラス製薬,TW0004503008,,,UNKNOWN
4507,塩野義製薬,JP3347200002,,,UNKNOWN
4519,中外製薬,JP3519400000,,,UNKNOWN
4543,テルモ,TW0004543004,,,UNKNOWN
4568,第一三共,TW0004568001,,,UNKNOWN
4578,大塚ホールディングス,JP3188220002,,,UNKNOWN
4626,太陽ホールディングス,JP3449100001,,,UNKNOWN
4661,オリエンタルランド,JP3198900007,,,UNKNOWN
4901,富士フイルムホールディングス,JP3814000000,,,UNKNOWN
4980,デクセリアルズ,TW0004980B13,,,UNKNOWN
5016,ＪＸ金属,JP3379550001,,,UNKNOWN
5020,ＥＮＥＯＳホールディングス,MYL5020OO002,,,UNKNOWN
5108,ブリヂストン,MYL5108FO003,,,UNKNOWN
5401,日本製鉄,MYL5401OO004,,,UNKNOWN
5713,住友金属鉱山,JP3402600005,,,UNKNOWN
5801,古河電気工業,JP3827200001,,,UNKNOWN
5802,住友電気工業,JP3407400005,,,UNKNOWN
5803,フジクラ,JP3811000003,,,UNKNOWN
6098,リクルートホールディングス,JP3970300004,,,UNKNOWN
6146,ディスコ,TW0006146004,,,UNKNOWN
6273,ＳＭＣ,JP3162600005,,,UNKNOWN
