Ticker,Name,ISIN,Exchange,Currency,Region
ABG,ABG,AU0000291882,,AUD,AU
ALL,ARISTOCRAT LEISURE,,ASX - ALL MARKETS,JPY,AU
ALL,ALL,AU000000ALL7,,AUD,AU
ANZ,ANZ GROUP HOLDINGS LTD,,ASX - ALL MARKETS,JPY,AU
ANZ,ANZ,AU000000ANZ3,,AUD,AU
APA,APA GROUP UNITS,,ASX - ALL MARKETS,JPY,AU
APA,APA,AU000000APA1,,AUD,AU
ARF,ARF,AU000000ARF6,,AUD,AU
ASX,ASX LTD,,ASX - ALL MARKETS,JPY,AU
ASX,ASX,AU000000ASX7,,AUD,AU
BHP,BHP GROUP LTD,,ASX - ALL MARKETS,JPY,AU
BHP,BHP,AU000000BHP4,,AUD,AU
BWP,BWP,AU000000BWP3,,AUD,AU
BXB,BRAMBLES,,ASX - ALL MARKETS,JPY,AU
BXB,BXB,AU000000BXB1,,AUD,AU
CAR,CAR GROUP,,ASX - ALL MARKETS,JPY,AU
CAR,CAR,AU000000CAR3,,AUD,AU
CBA,COMMONWEALTH BANK OF AUSTRALIA,,ASX - ALL MARKETS,JPY,AU
CBA,CBA,AU000000CBA7,,AUD,AU
CHC,CHC,AU000000CHC0,,AUD,AU
CIP,CIP,AU000000CIP0,,AUD,AU
CLW,CLW,AU000000CLW0,,AUD,AU
CMW,CMW,AU000000CMW8,,AUD,AU
CNI,CNI,AU000000CNI5,,AUD,AU
COF,COF,AU0000077893,,AUD,AU
COH,COCHLEAR,,ASX - ALL MARKETS,JPY,AU
COH,COH,AU000000COH5,,AUD,AU
COL,COLES GROUP LTD,,ASX - ALL MARKETS,JPY,AU
COL,COL,AU0000030678,,AUD,AU
CPU,COMPUTERSHARE LTD,,ASX - ALL MARKETS,JPY,AU
CPU,CPU,AU000000CPU5,,AUD,AU
CQE,CQE,AU0000030645,,AUD,AU
CQR,CQR,AU000000CQR9,,AUD,AU
CSL,CSL,,ASX - ALL MARKETS,JPY,AU
CSL,CSL,AU000000CSL8,,AUD,AU
DGT,DGT,AU0000367088,,AUD,AU
DXI,DXI,AU0000192833,,AUD,AU
DXS,DXS,AU000000DXS1,,AUD,AU
EVN,EVOLUTION MINING,,ASX - ALL MARKETS,JPY,AU
EVN,EVN,AU000000EVN4,,AUD,AU
FMG,FORTESCUE LTD,,ASX - ALL MARKETS,JPY,AU
FMG,FMG,AU000000FMG4,,AUD,AU
GMG,GOODMAN GROUP UNITS,,ASX - ALL MARKETS,JPY,AU
GMG,GMG,AU000000GMG2,,AUD,AU
GOZ,GOZ,AU000000GOZ8,,AUD,AU
GPT,GPT,AU000000GPT8,,AUD,AU
HCW,HCW,AU0000169302,,AUD,AU
HDN,HDN,AU0000113136,,AUD,AU
IAG,INSURANCE AUSTRALIA GROUP,,ASX - ALL MARKETS,JPY,AU
IAG,IAG,AU000000IAG3,,AUD,AU
IMD,IMDEX LTD,,ASX - ALL MARKETS,JPY,AU
INA,INA,AU000000INA9,,AUD,AU
IREN,IREN,AU0000185993,,USD,AU
LYC,LYNAS RARE EARTHS LTD,,ASX - ALL MARKETS,JPY,AU
LYC,LYC,AU000000LYC6,,AUD,AU
MGR,MGR,AU000000MGR9,,AUD,AU
MPL,MEDIBANK PRIVATE,,ASX - ALL MARKETS,JPY,AU
MPL,MPL,AU000000MPL3,,AUD,AU
MQG,MACQUARIE GROUP LTD DEF,,ASX - ALL MARKETS,JPY,AU
MQG,MQG,AU000000MQG1,,AUD,AU
NAB,NATIONAL AUSTRALIA BANK LTD,,ASX - ALL MARKETS,JPY,AU
NAB,NAB,AU000000NAB4,,AUD,AU
NST,NORTHERN STAR RESOURCES LTD,,ASX - ALL MARKETS,JPY,AU
NST,NST,AU000000NST8,,AUD,AU
ORG,ORIGIN ENERGY,,ASX - ALL MARKETS,JPY,AU
ORG,ORG,AU000000ORG5,,AUD,AU
PLS,PLS GROUP LTD,,ASX - ALL MARKETS,JPY,AU
PLS,PLS,AU000000PLS0,,AUD,AU
PME,PRO MEDICUS,,ASX - ALL MARKETS,JPY,AU
PME,PME,AU000000PME8,,AUD,AU
QAN,QANTAS AIRWAYS,,ASX - ALL MARKETS,JPY,AU
QAN,QAN,AU000000QAN2,,AUD,AU
QBE,QBE INSURANCE GROUP,,ASX - ALL MARKETS,JPY,AU
QBE,QBE,AU000000QBE9,,AUD,AU
REA,REA GROUP LTD,,ASX - ALL MARKETS,JPY,AU
REA,REA,AU000000REA9,,AUD,AU
RFF,RFF,AU000000RFF5,,AUD,AU
RGN,RGN,AU0000253502,,AUD,AU
RIO,RIO TINTO LTD,,ASX - ALL MARKETS,JPY,AU
RIO,RIO,AU000000RIO1,,AUD,AU
S32,SOUTH32,,ASX - ALL MARKETS,JPY,AU
S32,S32,AU000000S320,,AUD,AU
SCG,SCENTRE GROUP,,ASX - ALL MARKETS,JPY,AU
SCG,SCG,AU000000SCG8,,AUD,AU
SGH,SGH,,ASX - ALL MARKETS,JPY,AU
SGH,SGH,AU0000364754,,AUD,AU
SGP,STOCKLAND STAPLED UNITS LTD,,ASX - ALL MARKETS,JPY,AU
SGP,SGP,AU000000SGP0,,AUD,AU
SHL,SONIC HEALTHCARE,,ASX - ALL MARKETS,JPY,AU
SHL,SHL,AU000000SHL7,,AUD,AU
SIG,SIGMA HEALTHCARE LTD,,ASX - ALL MARKETS,JPY,AU
SIG,SIG,AU000000SIG5,,AUD,AU
SKG,SKG,AU0000477440,,AUD,AU
SOL,WASHINGTON H SOUL PATTINSON & COMP,,ASX - ALL MARKETS,JPY,AU
SOL,SOL,AU000000SOL3,,AUD,AU
STO,SANTOS,,ASX - ALL MARKETS,JPY,AU
STO,STO,AU000000STO6,,AUD,AU
SUN,SUNCORP GROUP,,ASX - ALL MARKETS,JPY,AU
SUN,SUN,AU000000SUN6,,AUD,AU
TCL,TRANSURBAN GROUP STAPLED UNITS,,ASX - ALL MARKETS,JPY,AU
TCL,TCL,AU000000TCL6,,AUD,AU
TLC,THE LOTTERY CORPORATION LTD,,ASX - ALL MARKETS,JPY,AU
TLC,TLC,AU0000219529,,AUD,AU
TLS,TELSTRA GROUP,,ASX - ALL MARKETS,JPY,AU
TLS,TLS,AU000000TLS2,,AUD,AU
TNE,TECHNOLOGY ONE,,ASX - ALL MARKETS,JPY,AU
VCX,VICINITY CENTRES,,ASX - ALL MARKETS,JPY,AU
VCX,VCX,AU000000VCX7,,AUD,AU
WBC,WESTPAC BANKING CORPORATION,,ASX - ALL MARKETS,JPY,AU
WBC,WBC,AU000000WBC1,,AUD,AU
WDS,WOODSIDE ENERGY GROUP LTD,,ASX - ALL MARKETS,JPY,AU
WDS,WDS,AU0000224040,,AUD,AU
WES,WESFARMERS,,ASX - ALL MARKETS,JPY,AU
WES,WES,AU000000WES1,,AUD,AU
WOW,WOOLWORTHS GROUP LTD,,ASX - ALL MARKETS,JPY,AU
WOW,WOW,AU000000WOW2,,AUD,AU
WPR,WPR,AU0000088064,,AUD,AU
WTC,WISETECH GLOBAL,,ASX - ALL MARKETS,JPY,AU
WTC,WTC,AU000000WTC3,,AUD,AU
XPU6,SPI 200 SEP 26,,ASX - TRADE24,JPY,AU
XRO,XERO,,ASX - ALL MARKETS,JPY,AU
