Ticker,Name,ISIN,Exchange,Currency,Region
ABI,ABI,BE0974293251,,EUR,BE
AED,AED,BE0003851681,,EUR,BE
AGS,AGS,BE0974264930,,EUR,BE
ASCE,ASCE,BE0003856730,,EUR,BE
CPINV,CPINV,BE0974273055,,EUR,BE
DIE,DIE,BE0974259880,,EUR,BE
ELI,ELI,BE0003822393,,EUR,BE
GBLB,GBLB,BE0003797140,,EUR,BE
KBC,KBC,BE0003565737,,EUR,BE
LOTB,LOTB,BE0003604155,,EUR,BE
MONT,MONT,BE0003853703,,EUR,BE
RET,RET,BE0003720340,,EUR,BE
SOF,SOF,BE0003717312,,EUR,BE
SYENS,SYENS,BE0974464977,,EUR,BE
TUB,TUB,BE0003823409,,EUR,BE
UCB,UCB,BE0003739530,,EUR,BE
VASTB,VASTB,BE0003754687,,EUR,BE
WDP,WDP,BE0974349814,,EUR,BE
XIOR,XIOR,BE0974288202,,EUR,BE
