Ticker,Name,ISIN,Exchange,Currency,Region
ABCB10,BANCO ABC BRASIL RIGHTS SA,,XBSP,JPY,BR
ABCB4,BANCO ABC BRASIL PREF SA,,XBSP,JPY,BR
ABEV3,AMBEV SA,,XBSP,JPY,BR
ABEV3,ABEV3,BRABEVACNOR1,,,BR
ALOS3,ALLOS SA,,XBSP,JPY,BR
ALOS3,ALOS3,BRALOSACNOR5,,,BR
ALPA4,SAO PAULO ALPARGATAS PREF,,XBSP,JPY,BR
ALUP11,ALUPAR INVESTIMENTO UNITS,,XBSP,JPY,BR
ASAI3,SENDAS DISTRIBUIDORA,,XBSP,JPY,BR
ASAI3,ASAI3,BRASAIACNOR0,,,BR
AUGO,AURA MINERALS INC,,NASDAQ,JPY,BR
AURE3,AUREN ENERGIA SA,,XBSP,JPY,BR
AURE3,AURE3,BRAUREACNOR9,,,BR
AXIA3,AXIA ENERGIA SA,,XBSP,JPY,BR
AXIA3,AXIA3,BRAXIAACNOR0,,,BR
AXIA7,AXIA ENERGIA PRF SA,,XBSP,JPY,BR
AXIA7,AXIA7,BRAXIAACNPC9,,BRL,BR
AZZA3,AZZAS,,XBSP,JPY,BR
AZZA3,AZZA3,BRAZZAACNOR9,,,BR
B3SA3,B3 BRASIL BOLSA BALCAO SA,,XBSP,JPY,BR
B3SA3,B3SA3,BRB3SAACNOR6,,,BR
BBAS3,BANCO DO BRASIL SA,,XBSP,JPY,BR
BBAS3,BBAS3,BRBBASACNOR3,,,BR
BBDC1,BANCO BRADESCO RIGHTS,,XBSP,JPY,BR
BBDC2,BANCO BRADESCO RIGHTS,,XBSP,JPY,BR
BBDC3,BANCO BRADESCO,,XBSP,JPY,BR
BBDC3,BBDC3,BRBBDCACNOR1,,,BR
BBDC4,BANCO BRADESCO PREF,,XBSP,JPY,BR
BBDC4,BBDC4,BRBBDCACNPR8,,,BR
BBSE3,BB SEGURIDADE SA,,XBSP,JPY,BR
BBSE3,BBSE3,BRBBSEACNOR5,,,BR
BEEF3,MINERVA,,XBSP,JPY,BR
BEEF3,BEEF3,BRBEEFACNOR6,,,BR
BPAC11,BCO BTG PACTUAL UNT SA,,XBSP,JPY,BR
BPAC11,BPAC11,BRBPACUNT006,,,BR
BRAP4,BRADESPAR PREF SA,,XBSP,JPY,BR
BRAP4,BRAP4,BRBRAPACNPR2,,,BR
BRAV3,BRAVA ENERGIA,,XBSP,JPY,BR
BRAV3,BRAV3,BRBRAVACNOR3,,,BR
BRKM5,BRASKEM PREF CLASS A,,XBSP,JPY,BR
BRKM5,BRKM5,BRBRKMACNPA4,,,BR
BRSR6,BANCO DO ESTADO DO RIO GRANDE DO S,,XBSP,JPY,BR
CBAV3,COMPANHIA BRASILEIRA DE ALUMINIO,,XBSP,JPY,BR
CEAB3,C A MODAS,,XBSP,JPY,BR
CEAB3,CEAB3,BRCEABACNOR1,,,BR
CMIG4,CIA ENERGETICA DE MINAS GERAIS PRE,,XBSP,JPY,BR
CMIG4,CMIG4,BRCMIGACNPR3,,,BR
CMIN3,CMIN3,BRCMINACNOR2,,,BR
COGN3,COGNA EDUCACAO SA,,XBSP,JPY,BR
COGN3,COGN3,BRCOGNACNOR2,,,BR
CPFE3,CPFL ENERGIA,,XBSP,JPY,BR
CPFE3,CPFE3,BRCPFEACNOR0,,,BR
CPLE3,CIA PARANAENSE DE ENERGIA COPEL,,XBSP,JPY,BR
CPLE3,CPLE3,BRCPLEACNOR8,,,BR
CSAN3,COSAN INDUSTRIA E COMERCIO,,XBSP,JPY,BR
CSAN3,CSAN3,BRCSANACNOR6,,,BR
CSMG3,COMPANHIA DE SANEAMENTO DE MINAS G,,XBSP,JPY,BR
CSMG3,CSMG3,BRCSMGACNOR5,,,BR
CSNA3,COMPANHIA SIDERURGICA NACIONAL SA,,XBSP,JPY,BR
CSNA3,CSNA3,BRCSNAACNOR6,,,BR
CURY3,CURY CONSTRTUTORA E INCORPORADORA,,XBSP,JPY,BR
CURY3,CURY3,BRCURYACNOR3,,,BR
CXSE3,CAIXA SEGURIDADE PARTICIPACOES SA,,XBSP,JPY,BR
CXSE3,CXSE3,BRCXSEACNOR7,,,BR
CYRE3,CYRELA BRAZIL REALTY SA,,XBSP,JPY,BR
CYRE3,CYRE3,BRCYREACNOR7,,,BR
DIRR3,DIRECIONAL ENGENHARIA,,XBSP,JPY,BR
DIRR3,DIRR3,BRDIRRACNOR0,,,BR
DXCO3,DEXCO SA,,XBSP,JPY,BR
ECOR3,ECORODOVIAS INFRAESTRUTURA E LOGIS,,XBSP,JPY,BR
EGIE3,ENGIE BRASIL ENERGIA SA,,XBSP,JPY,BR
