Ticker,Name,ISIN,Exchange,Currency,Region
6160,6160,CH1391448177,,HKD,CH
ABBN,ABB LTD,,SIX SWISS EXCHANGE,JPY,CH
ABBN,ABBN,CH0012221716,,CHF,CH
ALC,ALCON AG,,SIX SWISS EXCHANGE,JPY,CH
ALC,ALC,CH0432492467,,CHF,CH
AMRZ,AMRZ,CH1430134226,,USD,CH
AVOL,AVOLTA AG,,SIX SWISS EXCHANGE,JPY,CH
AVOL,AVOL,CH0023405456,,CHF,CH
BAER,JULIUS BAER GRUPPE AG,,SIX SWISS EXCHANGE,JPY,CH
BAER,BAER,CH0102484968,,CHF,CH
BARN,BARRY CALLEBAUT AG,,SIX SWISS EXCHANGE,JPY,CH
BARN,BARN,CH0009002962,,CHF,CH
BCVN,BC VAUD N,,SIX SWISS EXCHANGE,JPY,CH
BCVN,BCVN,CH0531751755,,CHF,CH
BEAN,BELIMO N AG,,SIX SWISS EXCHANGE,JPY,CH
BEAN,BEAN,CH1101098163,,CHF,CH
BG,BG,CH1300646267,,USD,CH
BKW,BKW N AG,,SIX SWISS EXCHANGE,JPY,CH
BKW,BKW,CH0130293662,,CHF,CH
CB,CB,CH0044328745,,USD,CH
CCH,CCH,CH0198251305,,GBP,CH
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,,SIX SWISS EXCHANGE,JPY,CH
CFR,CFR,CH0210483332,,CHF,CH
DSFIR,DSFIR,CH1216478797,,EUR,CH
EMSN,EMS-CHEMIE HOLDING AG,,SIX SWISS EXCHANGE,JPY,CH
EMSN,EMSN,CH0016440353,,CHF,CH
ETD_CHF,ETD CHF BALANCE WITH 06738C,,,JPY,CH
GALD,GALDERMA GROUP N AG,,SIX SWISS EXCHANGE,JPY,CH
GALD,GALD,CH1335392721,,CHF,CH
GEBN,GEBERIT AG,,SIX SWISS EXCHANGE,JPY,CH
GEBN,GEBN,CH0030170408,,CHF,CH
GIVN,GIVAUDAN SA,,SIX SWISS EXCHANGE,JPY,CH
GIVN,GIVN,CH0010645932,,CHF,CH
GRMN,GRMN,CH0114405324,,USD,CH
HBAN,HELVETIA BALOISE HOLDING N AG,,SIX SWISS EXCHANGE,JPY,CH
HBAN,HBAN,CH0466642201,,CHF,CH
HOLN,HOLCIM LTD AG,,SIX SWISS EXCHANGE,JPY,CH
HOLN,HOLN,CH0012214059,,CHF,CH
IFCN,INFICON HOLDING AG,,SIX SWISS EXCHANGE,JPY,CH
INRN,INTERROLL HOLDING AG,,SIX SWISS EXCHANGE,JPY,CH
KARN,KARDEX HOLDING AG,,SIX SWISS EXCHANGE,JPY,CH
KNIN,KUEHNE UND NAGEL INTERNATIONAL AG,,SIX SWISS EXCHANGE,JPY,CH
KNIN,KNIN,CH0025238863,,CHF,CH
LISN,CHOCOLADEFABRIKEN LINDT & SPRUENGL,,SIX SWISS EXCHANGE,JPY,CH
LISN,LISN,CH0010570759,,CHF,CH
LISP,CHOCOLADEFABRIKEN LINDT & SPRUENGL,,SIX SWISS EXCHANGE,JPY,CH
LISP,LISP,CH0010570767,,CHF,CH
LOGN,LOGITECH INTERNATIONAL,,SIX SWISS EXCHANGE,JPY,CH
LOGN,LOGN,CH0025751329,,CHF,CH
LONN,LONZA GROUP AG,,SIX SWISS EXCHANGE,JPY,CH
LONN,LONN,CH0013841017,,CHF,CH
