Ticker,Name,ISIN,Exchange,Currency,Region
000001,PING AN BANK LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000002,CHINA VANKE A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000063,ZTE CORP A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000066,CHINA GREATWALL TECHNOLOGY GROUP L,,SHENZHEN STOCK EXCHANGE,JPY,CN
000100,TCL TECHNOLOGY GROUP A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000157,ZOOMLION HEAVY INDUSTRY SCIENCE AN,,SHENZHEN STOCK EXCHANGE,JPY,CN
000166,SHENWAN HONGYUAN GROUP LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000301,JIANGSU EASTERN SHENGHONG LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000333,MIDEA GROUP A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000338,WEICHAI POWER LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000408,ZANGGE MINING LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000425,XCMG CONSTRUCTION MACHINERY A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000426,INNER MONGOLIA XINGYE SILVER&TIN M,,SHENZHEN STOCK EXCHANGE,JPY,CN
000538,YUNNAN BAIYAO GROUP LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000559,WANXIANG QIANCHAO LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000564,CCOOP GROUP LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000568,LUZHOU LAO JIAO LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000596,ANHUI GUJING DISTILLERY LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000617,CNPC CAPITAL LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000625,CHONGQING CHANGAN AUTOMOBILE LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000630,TONGLING NONFERROUS METALS GROUP L,,SHENZHEN STOCK EXCHANGE,JPY,CN
000651,GREE ELECTRIC APPLIANCES INC OF ZH,,SHENZHEN STOCK EXCHANGE,JPY,CN
000657,CHINA TUNGSTEN AND HIGHTECH MATERI,,SHENZHEN STOCK EXCHANGE,JPY,CN
000661,CHANGCHUN HIGH & NEW TECHNOLOGY IN,,SHENZHEN STOCK EXCHANGE,JPY,CN
000688,GUOCHENG MINING LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000708,CITIC PACIFIC SPECIAL STEEL GROUP,,SHENZHEN STOCK EXCHANGE,JPY,CN
000725,BOE TECHNOLOGY GROUP LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000728,GUOYUAN SECURITIES LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000776,GF SECURITIES A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000783,CHANGJIANG SECURITIES LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000786,BEIJING NEW BUILDING MATERIALS PUB,,SHENZHEN STOCK EXCHANGE,JPY,CN
000792,QINGHAI SALT LAKE INDUSTRY LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000807,YUNNAN ALUMINIUM LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000831,CHINA RARE EARTH RESOURCES AND TEC,,SHENZHEN STOCK EXCHANGE,JPY,CN
000858,WULIANGYE YIBIN LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000876,NEW HOPE LIUHE LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000895,HENAN SHUANGHUI INVESTMENT & DEVEL,,SHENZHEN STOCK EXCHANGE,JPY,CN
000932,HUNAN VALIN STEEL LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000933,HENAN SHENHUO COAL & POWER LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000938,UNISPLENDOUR CORP LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000960,YUNNAN TIN LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000963,HUADONG MEDICINE A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000975,SHANJIN INTERNATIONAL GOLD LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000977,INSPUR ELECTRONIC INFORMATION INDU,,SHENZHEN STOCK EXCHANGE,JPY,CN
000983,SHANXI COKING COAL ENERGY GROUP LT,,SHENZHEN STOCK EXCHANGE,JPY,CN
000988,HUAGONG TECH LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
000999,CHINA RESOURCES SANJIU MEDICAL AND,,SHENZHEN STOCK EXCHANGE,JPY,CN
001203,DAZHONG MINING LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
001309,SHENZHEN TECHWINSEMI TECHNOLOGY LT,,SHENZHEN STOCK EXCHANGE,JPY,CN
001389,DELTON TECHNOLOGY (GUANGZHOU) INC,,SHENZHEN STOCK EXCHANGE,JPY,CN
001965,CHINA MERCHANTS EXPRESSWAY NETWORK,,SHENZHEN STOCK EXCHANGE,JPY,CN
001979,CHINA MERCHANTS SHEKOU INDUSTRIAL,,SHENZHEN STOCK EXCHANGE,JPY,CN
002001,ZHEJIANG NHU A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002027,FOCUS MEDIA INFORMATION TECHNOLOGY,,SHENZHEN STOCK EXCHANGE,JPY,CN
002049,UNIGROUP GUOXIN MICROELECTRONICS L,,SHENZHEN STOCK EXCHANGE,JPY,CN
002050,ZHEJIANG SANHUA INTELLIGENT CONTRO,,SHENZHEN STOCK EXCHANGE,JPY,CN
002064,HUAFON CHEMICAL LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002074,GOTION HIGH-TECH LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002078,SHANDONG SUNPAPER LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002080,SINOMA SCIENCE & TECHNOLOGY A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002128,INNER MONGOLIA DIAN TOU ENERGY COR,,SHENZHEN STOCK EXCHANGE,JPY,CN
002129,TCL ZHONGHUAN RENEWABLE ENERGY TEC,,SHENZHEN STOCK EXCHANGE,JPY,CN
002131,LEO GROUP LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002142,BANK OF NINGBO A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002156,TONGFU MICROELECTRONICS LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002185,TIANSHUI HUATIAN TECHNOLOGY LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002195,SHANGHAI STONEHILL TECHNOLOGY LTD,,SHENZHEN STOCK EXCHANGE,JPY,CN
002202,GOLDWIND SCIENCE&TECHNOLOGY LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002230,IFLYTEK LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002236,ZHEJIANG DAHUA TECHNOLOGY LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002241,GOERTEK A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002252,SHANGHAI RAAS BLOOD PRODUCTS LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002281,ACCELINK TECHNOLOGIES LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002294,SHENZHEN SALUBRIS PHARMACEUTICALS,,SHENZHEN STOCK EXCHANGE,JPY,CN
002304,JIANGSU YANGHE BREWERY JOINT-STOCK,,SHENZHEN STOCK EXCHANGE,JPY,CN
002311,GUANGDONG HAID GROUP LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002340,GEM A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002352,S.F. HOLDING LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002353,YANTAI JEREH OILFIELD SERVICES GRO,,SHENZHEN STOCK EXCHANGE,JPY,CN
002371,NAURA TECHNOLOGY GROUP LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002379,SHANDONG HONGQIAO ALUMINUM INDUSTR,,SHENZHEN STOCK EXCHANGE,JPY,CN
002384,SUZHOU DONGSHAN PRECISION MANUFACT,,SHENZHEN STOCK EXCHANGE,JPY,CN
002414,WUHAN GUIDE INFRARED LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002422,SICHUAN KELUN PHARMACEUTICAL LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002459,JA SOLAR TECHNOLOGY LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002460,GANFENG LITHIUM GROUP LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002463,WUS PRINTED CIRCUIT (KUNSHAN) A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002465,GUANGZHOU HAIGE COMMUNICATIONS GRO,,SHENZHEN STOCK EXCHANGE,JPY,CN
002466,TIANQI LITHIUM INDUSTRIES A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002475,LUXSHARE PRECISION INDUSTRY LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002487,DAJIN HEAVY INDUSTRY LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
002493,RONGSHENG PETRO CHEMICAL LTD A,,SHENZHEN STOCK EXCHANGE,JPY,CN
