Ticker,Name,ISIN,Exchange,Currency,Region
ADS,ADIDAS N AG,,XETRA,JPY,DE
ADS,ADS,DE000A1EWWW0,,EUR,DE
ALV,ALLIANZ,,XETRA,JPY,DE
ALV,ALV,DE0008404005,,EUR,DE
BAS,BASF N,,XETRA,JPY,DE
BAS,BAS,DE000BASF111,,EUR,DE
BAYN,BAYER AG,,XETRA,JPY,DE
BAYN,BAYN,DE000BAY0017,,EUR,DE
BEI,BEIERSDORF AG,,XETRA,JPY,DE
BEI,BEI,DE0005200000,,EUR,DE
BMW,BMW,,XETRA,JPY,DE
BMW,BMW,DE0005190003,,EUR,DE
BNR,BRENNTAG,,XETRA,JPY,DE
BNR,BNR,DE000A1DAHH0,,EUR,DE
CBK,COMMERZBANK AG,,XETRA,JPY,DE
CBK,CBK,DE000CBK1001,,EUR,DE
CON,CONTINENTAL AG,,XETRA,JPY,DE
CON,CON,DE0005439004,,EUR,DE
DB1,DEUTSCHE BOERSE AG,,XETRA,JPY,DE
DB1,DB1,DE0005810055,,EUR,DE
DBK,DEUTSCHE BANK AG,,XETRA,JPY,DE
DBK,DBK,DE0005140008,,EUR,DE
DHER,DELIVERY HERO,,XETRA,JPY,DE
DHER,DHER,DE000A2E4K43,,EUR,DE
DHL,DEUTSCHE POST AG,,XETRA,JPY,DE
DHL,DHL,DE0005552004,,EUR,DE
DTE,DEUTSCHE TELEKOM N AG,,XETRA,JPY,DE
DTE,DTE,DE0005557508,,EUR,DE
DTG,DAIMLER TRUCK HOLDING E AG,,XETRA,JPY,DE
DTG,DTG,DE000DTR0CK8,,EUR,DE
DUE,DUERR AG,,XETRA,JPY,DE
ENR,SIEMENS ENERGY N AG,,XETRA,JPY,DE
ENR,ENR,DE000ENER6Y0,,EUR,DE
EOAN,E.ON N,,XETRA,JPY,DE
EOAN,EOAN,DE000ENAG999,,EUR,DE
EVD,CTS EVENTIM AG,,XETRA,JPY,DE
EVD,EVD,DE0005470306,,EUR,DE
EVK,EVONIK INDUSTRIES AG,,XETRA,JPY,DE
EVK,EVK,DE000EVNK013,,EUR,DE
FME,FRESENIUS MEDICAL CARE AG,,XETRA,JPY,DE
FME,FME,DE0005785802,,EUR,DE
FRE,FRESENIUS N,,XETRA,JPY,DE
FRE,FRE,DE0005785604,,EUR,DE
G1A,GEA GROUP AG,,XETRA,JPY,DE
G1A,G1A,DE0006602006,,EUR,DE
G24,SCOUT24 N,,XETRA,JPY,DE
G24,G24,DE000A12DM80,,EUR,DE
HABA,HABA,DE000A3H2333,,EUR,DE
HAG,HENSOLDT AG,,XETRA,JPY,DE
HAG,HAG,DE000HAG0005,,EUR,DE
HDD,HEIDELBERGER DRUCKMASCHINEN AG,,XETRA,JPY,DE
HEI,HEIDELBERG MATERIALS AG,,XETRA,JPY,DE
HEI,HEI,DE0006047004,,EUR,DE
HEN,HENKEL AG,,XETRA,JPY,DE
HEN,HEN,DE0006048408,,EUR,DE
HEN3,HENKEL & KGAA PREF AG,,XETRA,JPY,DE
HEN3,HEN3,DE0006048432,,EUR,DE
HNR1,HANNOVER RUECK,,XETRA,JPY,DE
HNR1,HNR1,DE0008402215,,EUR,DE
HOT,HOCHTIEF AG,,XETRA,JPY,DE
HOT,HOT,DE0006070006,,EUR,DE
IFX,INFINEON TECHNOLOGIES AG,,XETRA,JPY,DE
IFX,IFX,DE0006231004,,EUR,DE
JEN,JENOPTIK N AG,,XETRA,JPY,DE
JUN3,JUNGHEINRICH PREF AG,,XETRA,JPY,DE
KBX,KNORR BREMSE AG,,XETRA,JPY,DE
KBX,KBX,DE000KBX1006,,EUR,DE
KGX,KION GROUP AG,,XETRA,JPY,DE
KRN,KRONES AG,,XETRA,JPY,DE
LHA,DEUTSCHE LUFTHANSA AG,,XETRA,JPY,DE
LHA,LHA,DE0008232125,,EUR,DE
MBG,MERCEDES-BENZ GROUP N AG,,XETRA,JPY,DE
MBG,MBG,DE0007100000,,EUR,DE
MRK,MERCK,,XETRA,JPY,DE
MRK,MRK,DE0006599905,,EUR,DE
MTX,MTU AERO ENGINES HOLDING AG,,XETRA,JPY,DE
MTX,MTX,DE000A0D9PT0,,EUR,DE
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,,XETRA,JPY,DE
MUV2,MUV2,DE0008430026,,EUR,DE
NA9,NAGARRO N,,XETRA,JPY,DE
NEM,NEMETSCHEK,,XETRA,JPY,DE
NEM,NEM,DE0006452907,,EUR,DE
P911,DR ING HC F PORSCHE PRF AG,,XETRA,JPY,DE
P911,P911,DE000PAG9113,,EUR,DE
PAH3,PORSCHE AUTOMOBIL HOLDING PREF,,XETRA,JPY,DE
PAH3,PAH3,DE000PAH0038,,EUR,DE
QIA,QIAGEN,,DEUTSCHE BOERSE XETRA,JPY,DE
RAA,RATIONAL AG,,XETRA,JPY,DE
RAA,RAA,DE0007010803,,EUR,DE
RHM,RHEINMETALL AG,,XETRA,JPY,DE
RHM,RHM,DE0007030009,,EUR,DE
RWE,RWE AG,,XETRA,JPY,DE
RWE,RWE,DE0007037129,,EUR,DE
SAP,SAP,,XETRA,JPY,DE
SAP,SAP,DE0007164600,,EUR,DE
SHL,SIEMENS HEALTHINEERS AG,,XETRA,JPY,DE
SHL,SHL,DE000SHL1006,,EUR,DE
SIE,SIEMENS N AG,,XETRA,JPY,DE
SIE,SIE,DE0007236101,,EUR,DE
SRT3,SARTORIUS PREF AG,,XETRA,JPY,DE
SRT3,SRT3,DE0007165631,,EUR,DE
SY1,SYMRISE AG,,XETRA,JPY,DE
SY1,SY1,DE000SYM9999,,EUR,DE
TLX,TALANX AG,,XETRA,JPY,DE
TLX,TLX,DE000TLX1005,,EUR,DE
VNA,VONOVIA SE,,XETRA,JPY,DE
VNA,VNA,DE000A1ML7J1,,EUR,DE
VOW3,VOLKSWAGEN NON-VOTING PREF AG,,XETRA,JPY,DE
VOW3,VOW3,DE0007664039,,EUR,DE
ZAL,ZALANDO,,XETRA,JPY,DE
ZAL,ZAL,DE000ZAL1111,,EUR,DE
