Ticker,Name,ISIN,Exchange,Currency,Region
CARLB,CARLB,DK0010181759,,DKK,DK
COLOB,COLOB,DK0060448595,,DKK,DK
DANSKE,DANSKE,DK0010274414,,DKK,DK
DEMANT,DEMANT,DK0060738599,,DKK,DK
DSV,DSV,DK0060079531,,DKK,DK
GMAB,GMAB,DK0010272202,,DKK,DK
MAERSKA,MAERSKA,DK0010244425,,DKK,DK
MAERSKB,MAERSKB,DK0010244508,,DKK,DK
NOVOB,NOVOB,DK0062498333,,DKK,DK
NSISB,NSISB,DK0060336014,,DKK,DK
ORSTED,ORSTED,DK0060094928,,DKK,DK
PNDORA,PNDORA,DK0060252690,,DKK,DK
ROCKB,ROCKB,DK0063855168,,DKK,DK
TRYG,TRYG,DK0060636678,,DKK,DK
VWS,VWS,DK0061539921,,DKK,DK
