Ticker,Name,ISIN,Exchange,Currency,Region
ACS,ACS ACTIVIDADES DE CONSTRUCCION Y,,BOLSA DE MADRID,JPY,ES
ACS,ACS,ES0167050915,,EUR,ES
AENA,AENA SME SA,,BOLSA DE MADRID,JPY,ES
AENA,AENA,ES0105046017,,EUR,ES
AMS,AMADEUS IT GROUP,,BOLSA DE MADRID,JPY,ES
AMS,AMS,ES0109067019,,EUR,ES
ANA,ACCIONA,,BOLSA DE MADRID,JPY,ES
ANA,ANA,ES0125220311,,EUR,ES
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,,BOLSA DE MADRID,JPY,ES
BBVA,BBVA,ES0113211835,,EUR,ES
BKT,BANKINTER SA,,BOLSA DE MADRID,JPY,ES
BKT,BKT,ES0113679I37,,EUR,ES
CABK,CAIXABANK SA,,BOLSA DE MADRID,JPY,ES
CABK,CABK,ES0140609019,,EUR,ES
CLNX,CELLNEX TELECOM,,BOLSA DE MADRID,JPY,ES
CLNX,CLNX,ES0105066007,,EUR,ES
COL,COL,ES0139140174,,EUR,ES
EDPR,EDPR,ES0127797019,,EUR,ES
ELE,ENDESA SA,,BOLSA DE MADRID,JPY,ES
ELE,ELE,ES0130670112,,EUR,ES
FER,FERROVIAL NV,,BOLSA DE MADRID,JPY,ES
IAG,INTERNATIONAL AIRLINES GROUP,,BOLSA DE MADRID,JPY,ES
IAG,IAG,ES0177542018,,EUR,ES
IBE,IBERDROLA,,BOLSA DE MADRID,JPY,ES
IBE,IBE,ES0144580Y14,,EUR,ES
IDR,INDRA SISTEMAS SA,,BOLSA DE MADRID,JPY,ES
IDR,IDR,ES0118594417,,EUR,ES
ITX,INDUSTRIA DE DISENO TEXTIL SA,,BOLSA DE MADRID,JPY,ES
ITX,ITX,ES0148396007,,EUR,ES
MAP,MAPFRE SA,,BOLSA DE MADRID,JPY,ES
MAP,MAP,ES0124244E34,,EUR,ES
MRL,MRL,ES0105025003,,EUR,ES
NTGY,NATURGY ENERGY GROUP SA,,BOLSA DE MADRID,JPY,ES
NTGY,NTGY,ES0116870314,,EUR,ES
RED,REDEIA CORPORACION SA,,BOLSA DE MADRID,JPY,ES
RED,RED,ES0173093024,,EUR,ES
REP,REPSOL,,BOLSA DE MADRID,JPY,ES
REP,REP,ES0173516115,,EUR,ES
SAB,BANCO DE SABADELL,,BOLSA DE MADRID,JPY,ES
SAB,SAB,ES0113860A34,,EUR,ES
SAN,BANCO SANTANDER,,BOLSA DE MADRID,JPY,ES
SAN,SAN,ES0113900J37,,EUR,ES
TEF,TELEFONICA SA,,BOLSA DE MADRID,JPY,ES
TEF,TEF,ES0178430E18,,EUR,ES
