Ticker,Name,ISIN,Exchange,Currency,Region
ELISA,ELISA,,NASDAQ OMX HELSINKI LTD.,JPY,FI
ELISA,ELISA,FI0009007884,,EUR,FI
FORTUM,FORTUM,,NASDAQ OMX HELSINKI LTD.,JPY,FI
FORTUM,FORTUM,FI0009007132,,EUR,FI
HIAB,HIAB CORPORATION CLASS B,,NASDAQ OMX HELSINKI LTD.,JPY,FI
KALMAR,KALMAR CORPORATION CLASS B,,NASDAQ OMX HELSINKI LTD.,JPY,FI
KCR,KONECRANES,,NASDAQ OMX HELSINKI LTD.,JPY,FI
KESKOB,KESKO CLASS B,,NASDAQ OMX HELSINKI LTD.,JPY,FI
KESKOB,KESKOB,FI0009000202,,EUR,FI
KNEBV,KONE,,NASDAQ OMX HELSINKI LTD.,JPY,FI
KNEBV,KNEBV,FI0009013403,,EUR,FI
METSO,METSO CORPORATION,,NASDAQ OMX HELSINKI LTD.,JPY,FI
METSO,METSO,FI0009014575,,EUR,FI
NDA,NDA,FI4000297767,,EUR,FI
NDA FI,NORDEA BANK,,NASDAQ OMX HELSINKI LTD.,JPY,FI
NESTE,NESTE,,NASDAQ OMX HELSINKI LTD.,JPY,FI
NESTE,NESTE,FI0009013296,,EUR,FI
NOKIA,NOKIA,,NASDAQ OMX HELSINKI LTD.,JPY,FI
NOKIA,NOKIA,FI0009000681,,EUR,FI
ORNBV,ORION CLASS B,,NASDAQ OMX HELSINKI LTD.,JPY,FI
ORNBV,ORNBV,FI0009014377,,EUR,FI
SAMPO,SAMPO CLASS A,,NASDAQ OMX HELSINKI LTD.,JPY,FI
SAMPO,SAMPO,FI4000552500,,EUR,FI
STERV,STORA ENSO CLASS R,,NASDAQ OMX HELSINKI LTD.,JPY,FI
STERV,STERV,FI0009005961,,EUR,FI
TIETO,TIETO,,NASDAQ OMX HELSINKI LTD.,JPY,FI
UPM,UPM-KYMMENE,,NASDAQ OMX HELSINKI LTD.,JPY,FI
UPM,UPM,FI0009005987,,EUR,FI
VALMT,VALMET CORP,,NASDAQ OMX HELSINKI LTD.,JPY,FI
WRT1V,WARTSILA,,NASDAQ OMX HELSINKI LTD.,JPY,FI
WRT1V,WRT1V,FI0009003727,,EUR,FI
