Ticker,Name,ISIN,Exchange,Currency,Region
ABVX,ABVX,FR0012333284,,EUR,FR
AC,AC,FR0000120404,,EUR,FR
ACA,ACA,FR0000045072,,EUR,FR
ADP,ADP,FR0010340141,,EUR,FR
AI,AI,FR0000120073,,EUR,FR
ALO,ALO,FR0010220475,,EUR,FR
ALTA,ALTA,FR0000033219,,EUR,FR
AM,AM,FR0014004L86,,EUR,FR
AMUN,AMUN,FR0004125920,,EUR,FR
AYV,AYV,FR0013258662,,EUR,FR
BIM,BIM,FR0013280286,,EUR,FR
BN,BN,FR0000120644,,EUR,FR
BNP,BNP,FR0000131104,,EUR,FR
BOL,BOL,FR0000039299,,EUR,FR
BVI,BVI,FR0006174348,,EUR,FR
CA,CA,FR0000120172,,EUR,FR
CAP,CAP,FR0000125338,,EUR,FR
CARM,CARM,FR0010828137,,EUR,FR
COV,COV,FR0000064578,,EUR,FR
CS,CS,FR0000120628,,EUR,FR
DG,DG,FR0000125486,,EUR,FR
DIM,DIM,FR0013154002,,EUR,FR
DSY,DSY,FR0014003TT8,,EUR,FR
EL,EL,FR0000121667,,EUR,FR
EN,EN,FR0000120503,,EUR,FR
ENGI,ENGI,FR0010208488,,EUR,FR
ERF,ERF,FR0014000MR3,,EUR,FR
FGR,FGR,FR0000130452,,EUR,FR
GET,GET,FR0010533075,,EUR,FR
GFC,GFC,FR0010040865,,EUR,FR
GLE,GLE,FR0000130809,,EUR,FR
HO,HO,FR0000121329,,EUR,FR
ICAD,ICAD,FR0000035081,,EUR,FR
IPN,IPN,FR0010259150,,EUR,FR
KER,KER,FR0000121485,,EUR,FR
LI,LI,FR0000121964,,EUR,FR
LR,LR,FR0010307819,,EUR,FR
MC,MC,FR0000121014,,EUR,FR
MERY,MERY,FR0010241638,,EUR,FR
ML,ML,FR001400AJ45,,EUR,FR
OR,OR,FR0000120321,,EUR,FR
ORA,ORA,FR0000133308,,EUR,FR
PUB,PUB,FR0000130577,,EUR,FR
RI,RI,FR0000120693,,EUR,FR
RMS,RMS,FR0000052292,,EUR,FR
RNO,RNO,FR0000131906,,EUR,FR
RXL,RXL,FR0010451203,,EUR,FR
SAF,SAF,FR0000073272,,EUR,FR
SAN,SAN,FR0000120578,,EUR,FR
SGO,SGO,FR0000125007,,EUR,FR
SU,SU,FR0000121972,,EUR,FR
SW,SW,FR0000121220,,EUR,FR
TTE,TTE,FR0000120271,,EUR,FR
URW,URW,FR0013326246,,EUR,FR
VIE,VIE,FR0000124141,,EUR,FR
