Ticker,Name,ISIN,Exchange,Currency,Region
AAF,AIRTEL AFRICA PLC,,LONDON STOCK EXCHANGE,JPY,GB
AAF,AAF,GB00BKDRYJ47,,GBP,GB
AAL,ANGLO AMERICAN PLC,,LONDON STOCK EXCHANGE,JPY,GB
AAL,AAL,GB00BTK05J60,,GBP,GB
ABF,ASSOCIATED BRITISH FOODS PLC,,LONDON STOCK EXCHANGE,JPY,GB
ABF,ABF,GB0006731235,,GBP,GB
ADM,ADMIRAL GROUP PLC,,LONDON STOCK EXCHANGE,JPY,GB
ADM,ADM,GB00B02J6398,,GBP,GB
AEWU,AEWU,GB00BWD24154,,GBP,GB
ANG,ANG,GB00BRXH2664,,ZAR,GB
ANTO,ANTOFAGASTA PLC,,LONDON STOCK EXCHANGE,JPY,GB
ANTO,ANTO,GB0000456144,,GBP,GB
AV.,AVIVA PLC,,LONDON STOCK EXCHANGE,JPY,GB
AV/,AV/,GB00BPQY8M80,,GBP,GB
AZN,ASTRAZENECA PLC,,LONDON STOCK EXCHANGE,JPY,GB
AZN,AZN,GB0009895292,,GBP,GB
BA.,BAE SYSTEMS PLC,,LONDON STOCK EXCHANGE,JPY,GB
BA/,BA/,GB0002634946,,GBP,GB
BARC,BARCLAYS PLC,,LONDON STOCK EXCHANGE,JPY,GB
BARC,BARC,GB0031348658,,GBP,GB
BATS,BRITISH AMERICAN TOBACCO,,LONDON STOCK EXCHANGE,JPY,GB
BATS,BATS,GB0002875804,,GBP,GB
BBOX,BBOX,GB00BG49KP99,,GBP,GB
BLND,BLND,GB0001367019,,GBP,GB
BNZL,BUNZL,,LONDON STOCK EXCHANGE,JPY,GB
BNZL,BNZL,GB00B0744B38,,GBP,GB
BP.,BP PLC,,LONDON STOCK EXCHANGE,JPY,GB
BP/,BP/,GB0007980591,,GBP,GB
BT.A,BT GROUP PLC,,LONDON STOCK EXCHANGE,JPY,GB
BT/A,BT/A,GB0030913577,,GBP,GB
BYG,BYG,GB0002869419,,GBP,GB
CCEP,CCEP,GB00BDCPN049,,,GB
CCH,COCA COLA HBC AG,,LONDON STOCK EXCHANGE,JPY,GB
CLI,CLI,GB00BF044593,,GBP,GB
CNA,CENTRICA PLC,,LONDON STOCK EXCHANGE,JPY,GB
CNA,CNA,GB00B033F229,,GBP,GB
CPG,COMPASS GROUP PLC,,LONDON STOCK EXCHANGE,JPY,GB
CPG,CPG,GB00BD6K4575,,USD,GB
CREI,CREI,GB00BJFLFT45,,GBP,GB
DGE,DIAGEO PLC,,LONDON STOCK EXCHANGE,JPY,GB
DGE,DGE,GB0002374006,,GBP,GB
DLN,DLN,GB0002652740,,GBP,GB
EDV,ENDEAVOUR MINING,,LONDON STOCK EXCHANGE,JPY,GB
EDV,EDV,GB00BL6K5J42,,GBP,GB
ETD_GBP,ETD GBP BALANCE WITH 06738C,,,JPY,GB
EXPN,EXPERIAN PLC,,LONDON STOCK EXCHANGE,JPY,GB
EXPN,EXPN,GB00B19NLV48,,GBP,GB
FRES,FRESNILLO PLC,,LONDON STOCK EXCHANGE,JPY,GB
FRES,FRES,GB00B2QPKJ12,,GBP,GB
FTI,FTI,GB00BDSFG982,,USD,GB
GENI,GENIUS SPORTS LTD,,NEW YORK STOCK EXCHANGE INC.,JPY,GB
GLEN,GLENCORE PLC,,LONDON STOCK EXCHANGE,JPY,GB
GPE,GPE,GB00BF5H9P87,,GBP,GB
GRI,GRI,GB00B04V1276,,GBP,GB
GSK,GLAXOSMITHKLINE,,LONDON STOCK EXCHANGE,JPY,GB
GSK,GSK,GB00BN7SWP63,,GBP,GB
