Ticker,Name,ISIN,Exchange,Currency,Region
1093,1093,HK1093012172,,HKD,HK
12,12,HK0012000102,,HKD,HK
1208,1208,HK1208013172,,HKD,HK
1258,1258,HK0000112026,,HKD,HK
1299,1299,HK0000069689,,HKD,HK
1347,1347,HK0000218211,,HKD,HK
144,144,HK0144000764,,HKD,HK
16,16,HK0016000132,,HKD,HK
1788,GUOTAI JUNAN INTERNATIONAL HOLDINGS LTD.,HK0000065869,XHKG,HKD,HK
19,19,HK0019000162,,HKD,HK
2,2,HK0002007356,,HKD,HK
2259,2259,HK0001200002,,HKD,HK
2380,2380,HK2380027329,,HKD,HK
2388,2388,HK2388011192,,HKD,HK
267,267,HK0267001375,,HKD,HK
27,27,HK0027032686,,HKD,HK
270,270,HK0270001396,,HKD,HK
2778,2778,HK2778034606,,HKD,HK
285,285,HK0285041858,,HKD,HK
291,291,HK0291001490,,HKD,HK
3,3,HK0003000038,,HKD,HK
3360,3360,HK0000077468,,HKD,HK
3808,3808,HK3808041546,,HKD,HK
388,388,HK0388045442,,HKD,HK
392,392,HK0392044647,,HKD,HK
405,405,HK0405033157,,HKD,HK
435,435,HK0435036626,,HKD,HK
6,6,HK0006000050,,HKD,HK
66,66,HK0066009694,,HKD,HK
669,669,HK0669013440,,HKD,HK
6823,6823,HK0000093390,,HKD,HK
688,688,HK0688002218,,HKD,HK
808,808,HK0808032913,,HKD,HK
823,823,HK0823032773,,HKD,HK
83,83,HK0083000502,,HKD,HK
836,836,HK0836012952,,HKD,HK
966,966,HK0000055878,,HKD,HK
992,992,HK0992009065,,HKD,HK
