Ticker,Name,ISIN,Exchange,Currency,Region
AADI,ADARO ANDALAN INDONESIA,,INDONESIA STOCK EXCHANGE,JPY,ID
ADRO,ALAMTRI RESOURCES INDONESIA,,INDONESIA STOCK EXCHANGE,JPY,ID
AKRA,AKR CORPORINDO,,INDONESIA STOCK EXCHANGE,JPY,ID
AMRT,PT SUMBER ALFARIA TRIJAYA,,INDONESIA STOCK EXCHANGE,JPY,ID
ARTO,BANK JAGO INDONESIA,,INDONESIA STOCK EXCHANGE,JPY,ID
ASII,ASTRA INTERNATIONAL,,INDONESIA STOCK EXCHANGE,JPY,ID
ASII,ASII,ID1000122807,,IDR,ID
BANK,BANK ALADIN SYARIAH,,INDONESIA STOCK EXCHANGE,JPY,ID
BBCA,BANK CENTRAL ASIA,,INDONESIA STOCK EXCHANGE,JPY,ID
BBCA,BBCA,ID1000109507,,IDR,ID
BBNI,BANK NEGARA INDONESIA,,INDONESIA STOCK EXCHANGE,JPY,ID
BBNI,BBNI,ID1000096605,,IDR,ID
BBRI,BANK RAKYAT INDONESIA (PERSERO),,INDONESIA STOCK EXCHANGE,JPY,ID
BBRI,BBRI,ID1000118201,,IDR,ID
BBTN,PT BANK TABUNGAN NEGARA,,INDONESIA STOCK EXCHANGE,JPY,ID
BFIN,BFI FINANCE INDONESIA,,INDONESIA STOCK EXCHANGE,JPY,ID
BMRI,BANK MANDIRI (PERSERO),,INDONESIA STOCK EXCHANGE,JPY,ID
BMRI,BMRI,ID1000095003,,IDR,ID
BRMS,BUMI RESOURCES MINERALS,,INDONESIA STOCK EXCHANGE,JPY,ID
BRMS,BRMS,ID1000117609,,IDR,ID
BRPT,BARITO PACIFIC,,INDONESIA STOCK EXCHANGE,JPY,ID
BRPT,BRPT,ID1000085707,,IDR,ID
BUKA,BUKALAPAK.COM,,INDONESIA STOCK EXCHANGE,JPY,ID
BUMI,BUMI RESOURCES,,INDONESIA STOCK EXCHANGE,JPY,ID
CPIN,CHAROEN POKPHAND INDONESIA,,INDONESIA STOCK EXCHANGE,JPY,ID
CPIN,CPIN,ID1000117708,,IDR,ID
CTRA,CIPUTRA DEVELOPMENT,,INDONESIA STOCK EXCHANGE,JPY,ID
EMTK,ELANG MAHKOTA TEKNOLOGI,,INDONESIA STOCK EXCHANGE,JPY,ID
ENRG,ENERGI MEGA PERSADA,,INDONESIA STOCK EXCHANGE,JPY,ID
ESSA,ESSA INDUSTRIES INDONESIA,,INDONESIA STOCK EXCHANGE,JPY,ID
EXCL,XLSMART TELECOM SEJAHTERA,,INDONESIA STOCK EXCHANGE,JPY,ID
FILM,MD ENTERTAINMENT,,INDONESIA STOCK EXCHANGE,JPY,ID
GOTO,GOTO GOJEK TOKOPEDIA,,INDONESIA STOCK EXCHANGE,JPY,ID
GOTO,GOTO,ID1000166903,,IDR,ID
HEAL,MEDIKALOKA HERMINA,,INDONESIA STOCK EXCHANGE,JPY,ID
IIKP,INTI AGRI RESOURCES,,INDONESIA STOCK EXCHANGE,JPY,ID
INCO,VALE INDONESIA,,INDONESIA STOCK EXCHANGE,JPY,ID
INDF,INDOFOOD SUKSES MAKMUR,,INDONESIA STOCK EXCHANGE,JPY,ID
INKP,INDAH KIAT PULP & PAPER,,INDONESIA STOCK EXCHANGE,JPY,ID
INTP,INDOCEMENT TUNGGAL PRAKARSA,,INDONESIA STOCK EXCHANGE,JPY,ID
ITMG,INDO TAMBANGRAYA MEGAH,,INDONESIA STOCK EXCHANGE,JPY,ID
JPFA,JAPFA COMFEED INDONESIA,,INDONESIA STOCK EXCHANGE,JPY,ID
JSMR,JASA MARGA,,INDONESIA STOCK EXCHANGE,JPY,ID
KLBF,KALBE FARMA,,INDONESIA STOCK EXCHANGE,JPY,ID
KPIG,MNC TOURISM INDONESIA,,INDONESIA STOCK EXCHANGE,JPY,ID
MDKA,MERDEKA COPPER GOLD,,INDONESIA STOCK EXCHANGE,JPY,ID
MEDC,MEDCO ENERGI INTERNASIONAL,,INDONESIA STOCK EXCHANGE,JPY,ID
MYRX,HANSON INTERNATIONAL,,INDONESIA STOCK EXCHANGE,JPY,ID
PGAS,PERUSAHAAN GAS NEGARA,,INDONESIA STOCK EXCHANGE,JPY,ID
POOL,POOL ADVISTA INDONESIA,,INDONESIA STOCK EXCHANGE,JPY,ID
PTBA,TAMBANG BATUBARA BUKIT ASAM,,INDONESIA STOCK EXCHANGE,JPY,ID
PTRO,PETROSEA,,INDONESIA STOCK EXCHANGE,JPY,ID
PWON,PAKUWON JATI,,INDONESIA STOCK EXCHANGE,JPY,ID
RAJA,RUKUN RAHARJA,,INDONESIA STOCK EXCHANGE,JPY,ID
RATU,RAHARJA ENERGI CEPU,,INDONESIA STOCK EXCHANGE,JPY,ID
SMGR,SEMEN INDONESIA (PERSERO),,INDONESIA STOCK EXCHANGE,JPY,ID
SUGI,SUGIH ENERGY,,INDONESIA STOCK EXCHANGE,JPY,ID
