Ticker,Name,ISIN,Exchange,Currency,Region
360ONE,360 ONE WAM LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
3MINDIA,3M INDIA LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
500048,BEML LTD,,BSE LTD,JPY,IN
532425,GENUS PRIME INFRA LTD,,BSE LTD,JPY,IN
532483,CANARA BANK LTD,,BSE LTD,JPY,IN
532527,RAMKRISHNA FORGINGS LTD,,BSE LTD,JPY,IN
532808,PEARL GLOBAL INDUSTRIES LTD,,BSE LTD,JPY,IN
533581,PG ELECTROPLAST LTD,,BSE LTD,JPY,IN
534091,MULTI COMMODITY EXCHANGE OF INDIA,,BSE LTD,JPY,IN
542323,KPI GREEN ENERGY LTD,,BSE LTD,JPY,IN
544467,NATIONAL SECURITIES DEPOSITORY LTD,,BSE LTD,JPY,IN
AADHARHFC,AADHAR HOUSING FINANCE LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AARTIIND,AARTI INDUSTRIES LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AARTIPHARM,AARTI PHARMALABS LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AAVAS,AAVAS FINANCIERS LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ABB,ABB INDIA LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ABB,ABB,INE117A01022,,INR,IN
ABCAP,ABCAP,INE674K01013,,INR,IN
ABCAPITAL,ADITYA BIRLA CAPITAL LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ABDL,ALLIED BLENDERS AND DISTILLERS LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ABFRL,ADITYA BIRLA FASHION AND RETAIL,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ABLBL,ADITYA BIRLA LIFESTYLE BRANDS LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ABREL,ADITYA BIRLA REAL ESTATE LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ABSLAMC,ADITYA BIRLA SUN LIFE AMC LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ACC,ACC LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ACE,ACTION CONSTRUCTION EQUIPMENT LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ACEM,ACEM,INE079A01024,,INR,IN
ACI,ARCHEAN CHEMICAL INDUSTRIES LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ACMESOLAR,ACME SOLAR HOLDINGS LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ACUTAAS,ACUTAAS CHEMICALS LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ADANI,ADANI,INE814H01029,,INR,IN
ADANIENT,ADANI ENTERPRISES,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC Z,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ADANIPOWER,ADANI POWER LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ADE,ADE,INE423A01024,,INR,IN
ADSEZ,ADSEZ,INE742F01042,,INR,IN
AEGISLOG,AEGIS LOGISTICS LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AETHER,AETHER INDUSTRIES,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AFCONS,AFCONS INFRASTRUCTURE,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AFFLE,AFFLE I LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AIAENG,AIA ENGINEERING LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AIIL,AUTHUM INVESTMENT AND INFRASTRUCTU,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AJANTPHARM,AJANTA PHARMA,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AL,AL,INE208A01029,,INR,IN
ALKEM,ALKEM LABORATORIES LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ALKEM,ALKEM,INE540L01014,,INR,IN
ALKYLAMINE,ALKYL AMINES CHEMICALS LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AMBER,AMBER ENTERPRISES INDIA LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
AMBUJACEM,AMBUJA CEMENTS LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ANANDRATHI,ANAND RATHI WEALTH LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ANANTRAJ,ANANT RAJ LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ANGELONE,ANGEL ONE LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ANTHEM,ANTHEM BIOSCIENCES,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
ANURAS,ANUPAM RASAYAN INDIA LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
APARINDS,APAR INDUSTRIES LTD,,NATIONAL STOCK EXCHANGE OF INDIA,JPY,IN
APAT,APAT,INE702C01027,,INR,IN
APHS,APHS,INE437A01024,,INR,IN
