Ticker,Name,ISIN,Exchange,Currency,Region
BAMI,BANCO BPM,,BORSA ITALIANA,JPY,IT
BAMI,BAMI,IT0005218380,,EUR,IT
BMED,BANCA MEDIOLANUM,,BORSA ITALIANA,JPY,IT
BMED,BMED,IT0004776628,,EUR,IT
BMPS,BANCA MONTE DEI PASCHI DI SIENA SP,,BORSA ITALIANA,JPY,IT
BMPS,BMPS,IT0005508921,,EUR,IT
BPE,BPER BANCA,,BORSA ITALIANA,JPY,IT
BPE,BPE,IT0000066123,,EUR,IT
BZU,BUZZI,,BORSA ITALIANA,JPY,IT
BZU,BZU,IT0001347308,,EUR,IT
CPR,DAVIDE CAMPARI MILANO NV,,BORSA ITALIANA,JPY,IT
ENEL,ENEL,,BORSA ITALIANA,JPY,IT
ENEL,ENEL,IT0003128367,,EUR,IT
ENI,ENI,,BORSA ITALIANA,JPY,IT
ENI,ENI,IT0003132476,,EUR,IT
FBK,FINECOBANK BANCA FINECO,,BORSA ITALIANA,JPY,IT
FBK,FBK,IT0000072170,,EUR,IT
G,ASSICURAZIONI GENERALI,,BORSA ITALIANA,JPY,IT
G,G,IT0000062072,,EUR,IT
IG,ITALGAS,,BORSA ITALIANA,JPY,IT
IG,IG,IT0005211237,,EUR,IT
IGD,IGD,IT0005322612,,EUR,IT
ISP,INTESA SANPAOLO,,BORSA ITALIANA,JPY,IT
ISP,ISP,IT0000072618,,EUR,IT
LDO,LEONARDO FINMECCANICA SPA,,BORSA ITALIANA,JPY,IT
LDO,LDO,IT0003856405,,EUR,IT
MONC,MONCLER,,BORSA ITALIANA,JPY,IT
MONC,MONC,IT0004965148,,EUR,IT
PRY,PRYSMIAN,,BORSA ITALIANA,JPY,IT
PRY,PRY,IT0004176001,,EUR,IT
PST,POSTE ITALIANE,,BORSA ITALIANA,JPY,IT
PST,PST,IT0003796171,,EUR,IT
RACE,FERRARI,,BORSA ITALIANA,JPY,IT
REC,RECORDATI INDUSTRIA CHIMICA E FARM,,BORSA ITALIANA,JPY,IT
REC,REC,IT0003828271,,EUR,IT
SRG,SNAM,,BORSA ITALIANA,JPY,IT
SRG,SRG,IT0003153415,,EUR,IT
STLAM,STELLANTIS,,BORSA ITALIANA,JPY,IT
TEN,TENARIS SA,,BORSA ITALIANA,JPY,IT
TIT,TELECOM ITALIA,,BORSA ITALIANA,JPY,IT
TIT,TIT,IT0005712671,,EUR,IT
TRN,TERNA RETE ELETTRICA NAZIONALE,,BORSA ITALIANA,JPY,IT
TRN,TRN,IT0003242622,,EUR,IT
TXT,TXT E-SOLUTIONS,,BORSA ITALIANA,JPY,IT
UCG,UNICREDIT,,BORSA ITALIANA,JPY,IT
UCG,UCG,IT0005239360,,EUR,IT
UNI,UNIPOL ASSICURAZIONI SPA,,BORSA ITALIANA,JPY,IT
UNI,UNI,IT0004810054,,EUR,IT
