Ticker,Name,ISIN,Exchange,Currency,Region
1301,KYOKUYO LTD,,TOKYO STOCK EXCHANGE,JPY,JP
1301,"KYOKUYO CO.,LTD.",JP3257200000,,,JP
1332,NISSUI CORP,,TOKYO STOCK EXCHANGE,JPY,JP
1332,NISSUI CORPORATION,JP3718800000,,,JP
1333,UMIOS CORP,,TOKYO STOCK EXCHANGE,JPY,JP
1333,UMIOS CORPORATION,JP3876600002,,,JP
1375,YUKIGUNI FACTORY LTD,,TOKYO STOCK EXCHANGE,JPY,JP
1375,"YUKIGUNI FACTORY CO.,LTD.",JP3947010009,,,JP
1376,KANEKO SEEDS LTD,,TOKYO STOCK EXCHANGE,JPY,JP
1376,"KANEKO SEEDS CO.,LTD.",JP3216200000,,,JP
1377,SAKATA SEED CORP,,TOKYO STOCK EXCHANGE,JPY,JP
1377,SAKATA SEED CORPORATION,JP3315000004,,,JP
1379,HOKUTO CORP,,TOKYO STOCK EXCHANGE,JPY,JP
1379,HOKUTO CORPORATION,JP3843250006,,,JP
1414,SHO-BOND HOLDINGS LTD,,TOKYO STOCK EXCHANGE,JPY,JP
1414,"SHO-BOND HOLDINGS CO.,LTD.",JP3360250009,,,JP
1417,MIRAIT ONE CORP,,TOKYO STOCK EXCHANGE,JPY,JP
1417,MIRAIT ONE CORPORATION,JP3910620008,,,JP
1419,TAMA HOME LTD,,TOKYO STOCK EXCHANGE,JPY,JP
1419,"TAMA HOME CO.,LTD.",JP3470900006,,,JP
1435,ROBOT HOME INC,,TOKYO STOCK EXCHANGE,JPY,JP
1435,ROBOT HOME INC.,JP3153950005,,,JP
1514,SUMISEKI HOLDINGS INC,,TOKYO STOCK EXCHANGE,JPY,JP
1514,"SUMISEKI HOLDINGS,INC.",JP3400750000,,,JP
1515,NITTETSU MINING LTD,,TOKYO STOCK EXCHANGE,JPY,JP
1515,"NITTETSU MINING CO.,LTD.",JP3680800004,,,JP
1518,MITSUI MATSUSHIMA HOLDINGS LTD,,TOKYO STOCK EXCHANGE,JPY,JP
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",JP3894000003,,,JP
1605,INPEX,,TOKYO STOCK EXCHANGE,JPY,JP
1605,INPEX CORPORATION,JP3294460005,,,JP
1662,JAPAN PETROLEUM EXPLORATION,,TOKYO STOCK EXCHANGE,JPY,JP
1662,"JAPAN PETROLEUM EXPLORATION CO.,LTD.",JP3421100003,,,JP
1663,K&O ENERGY GROUP INC,,TOKYO STOCK EXCHANGE,JPY,JP
1663,K&O ENERGY GROUP INC.,JP3277020008,,,JP
166A,TASUKI HOLDINGS INC,,TOKYO STOCK EXCHANGE,JPY,JP
166A,TASUKI HOLDINGS INC.,JP3464310006,,,JP
167A,RYOYO RYOSAN HOLDINGS INC,,TOKYO STOCK EXCHANGE,JPY,JP
167A,"RYOYO RYOSAN HOLDINGS,INC.",JP3975410006,,,JP
1716,DAI ICHI CUTTER KOGYO,,TOKYO STOCK EXCHANGE,JPY,JP
1716,DAI-ICHI CUTTER KOGYO K.K.,JP3473700007,,,JP
1719,HAZAMA ANDO CORP,,TOKYO STOCK EXCHANGE,JPY,JP
1719,HAZAMA ANDO CORPORATION,JP3767810009,,,JP
1720,TOKYU CONSTRUCTION LTD,,TOKYO STOCK EXCHANGE,JPY,JP
1720,"TOKYU CONSTRUCTION CO., LTD.",JP3567410000,,,JP
1721,COMSYS HOLDINGS CORP,,TOKYO STOCK EXCHANGE,JPY,JP
1721,COMSYS HOLDINGS CORPORATION,JP3305530002,,,JP
1723,NIHON DENGI LTD,,TOKYO STOCK EXCHANGE,JPY,JP
1762,TAKAMATSU CONSTRUCTION GROUP LTD,,TOKYO STOCK EXCHANGE,JPY,JP
1762,"TAKAMATSU CONSTRUCTION GROUP CO.,LTD.",JP3457900003,,,JP
1766,TOKEN CORP,,TOKYO STOCK EXCHANGE,JPY,JP
1766,TOKEN CORPORATION,JP3590900001,,,JP
1780,YAMAURA CORP,,TOKYO STOCK EXCHANGE,JPY,JP
1780,YAMAURA CORPORATION,JP3934300009,,,JP
1786,ORIENTAL SHIRAISHI CORP,,TOKYO STOCK EXCHANGE,JPY,JP
1786,ORIENTAL SHIRAISHI CORPORATION,JP3197950003,,,JP
1801,TAISEI,,TOKYO STOCK EXCHANGE,JPY,JP
1801,TAISEI CORPORATION,JP3443600006,,,JP
1802,OBAYASHI,,TOKYO STOCK EXCHANGE,JPY,JP
1802,OBAYASHI CORPORATION,JP3190000004,,,JP
1803,SHIMIZU,,TOKYO STOCK EXCHANGE,JPY,JP
1803,SHIMIZU CORPORATION,JP3358800005,,,JP
1808,HASEKO,,TOKYO STOCK EXCHANGE,JPY,JP
