Ticker,Name,ISIN,Exchange,Currency,Region
000080,HITEJINRO,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
000100,YUHAN,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
000100,000100,KR7000100008,,KRW,KR
000120,CJ LOGISTICS,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
000150,DOOSAN CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
000150,000150,KR7000150003,,KRW,KR
000210,DL LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
000240,HANKOOK & COMPANY,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
000250,SAM CHUN DANG PHARM LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
000270,KIA CORPORATION,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
000270,000270,KR7000270009,,KRW,KR
000660,SK HYNIX,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
000660,000660,KR7000660001,,KRW,KR
000720,HYUNDAI ENGINEERING & CONSTRUCTION,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
000720,000720,KR7000720003,,KRW,KR
000810,SAMSUNG FIRE & MARINE INSURANCE LT,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
000810,000810,KR7000810002,,KRW,KR
000880,HANWHA,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
00088K,HANWHA P PREF,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
000990,DB HITEK LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
001040,CJ,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
001120,LX INTERNATIONAL CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
001430,SEAH BESTEEL HDS CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
001440,TAIHAN C&S,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
001450,HYUNDAI MARINE & FIRE INSURANCE,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
001570,KUM YANG LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
001680,DAESANG,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
001720,SHINYOUNG SECURITIES LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
001740,SK NETWORKS LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
001800,ORION HOLDINGS,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
002380,KCC,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
002790,AMOREG,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
003090,DAEWOONG LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
003230,SAM YANG FOODS INC,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
003230,003230,KR7003230000,,KRW,KR
003380,HARIM HOLDINGS LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
003490,KOREAN AIR LINES LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
003490,003490,KR7003490000,,KRW,KR
003530,HANWHA SECURITIES & INVESTMENT LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
003540,DAISHIN SECURITIES LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
003550,LG,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
003550,003550,KR7003550001,,KRW,KR
003670,POSCO FUTURE M LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
003670,003670,KR7003670007,,KRW,KR
003690,KOREAN REINSURANCE,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
004000,LOTTE FINE CHEMICALS LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
004020,HYUNDAI STEEL,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
004170,SHINSEGAE INC,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
004370,NONGSHIM LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
004490,SEBANG GLOBAL BATTERY LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
004800,HYOSUNG,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
004990,LOTTE,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005070,COSMOAM&T LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005290,DONGJIN SEMICHEM LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
005300,LOTTE CHILSUNG BEVERAGE LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005380,HYUNDAI MOTOR,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005380,005380,KR7005380001,,KRW,KR
005385,HYUNDAI MOTOR S1 PREF,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005385,005385,KR7005381009,,KRW,KR
005387,HYUNDAI MOTOR S2 PREF,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005387,005387,KR7005382007,,KRW,KR
005440,HYUNDAI G F HOLDINGS LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005490,POSCO,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005490,005490,KR7005490008,,KRW,KR
005830,DB INSURANCE LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005830,005830,KR7005830005,,KRW,KR
005850,SL CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005930,SAMSUNG ELECTRONICS LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005930,005930,KR7005930003,,KRW,KR
005935,SAMSUNG ELECTRONICS NON VOTING PRE,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005935,005935,KR7005931001,,KRW,KR
005940,NH INVESTMENT & SECURITIES LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
005940,005940,KR7005940002,,KRW,KR
006120,SK DISCOVERY,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
006260,LS,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
006280,GC BIOPHARMA CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
006360,GS ENGINEERING & CONSTRUCTION CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
006400,SAMSUNG SDI LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
006400,006400,KR7006400006,,KRW,KR
006800,MIRAE ASSET SECURITIES CO LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
006800,006800,KR7006800007,,KRW,KR
007070,GS RETAIL LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
007310,OTOKI CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
007340,DN AUTOMOTIVE CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
007390,NATURECELL LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
007660,ISUPETASYS LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
008770,HOTEL SHILLA LTDINARY SHARES KOREA,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
008930,HANMI SCIENCE,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
009150,SAMSUNG ELECTRO MECHANICS LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
009150,009150,KR7009150004,,KRW,KR
009240,HANSSEM,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
009420,HANALL BIOPHARMA LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
009450,KYUNG DONG NAVIEN LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
009520,POSCO M-TECH LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
009540,HD KOREA SHIPBUILDING & OFFSHORE E,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
009540,009540,KR7009540006,,KRW,KR
009830,HANWHA SOLUTIONS CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
009970,YOUNGONE HOLDINGS LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
010060,OCI HOLDINGS COMPANY LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
010120,LS ELECTRIC LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
010120,010120,KR7010120004,,KRW,KR
010140,SAMSUNG HEAVY INDUSTRIES LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
010140,010140,KR7010140002,,KRW,KR
010950,S-OIL,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
010950,010950,KR7010950004,,KRW,KR
011070,LG INNOTEK LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
011170,LOTTE CHEMICAL,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
011200,HMM LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
011200,011200,KR7011200003,,KRW,KR
011210,HYUNDAI WIA CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
011780,KUMHO PETRO CHEMICAL LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
011790,SKC,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
012330,HYUNDAI MOBIS LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
012330,012330,KR7012330007,,KRW,KR
012450,HANWHA AEROSPACE LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
012450,012450,KR7012450003,,KRW,KR
0126Z0,SAMSUNG EPIS HOLDINGS LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
0126Z0,0126Z0,KR70126Z0002,,KRW,KR
012750,S-1 CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
014680,HANSOL CHEMICAL LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
015760,KOREA ELECTRIC POWER,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
015760,015760,KR7015760002,,KRW,KR
016360,SAMSUNG SECURITIES LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
016790,HYUNDAI FEED INC,,KOREA EXCHANGE (KOSDAQ),JPY,KR
017670,SK TELECOM,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
017670,017670,KR7017670001,,KRW,KR
017800,HYUNDAI ELEVATOR LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
017960,HANKUK CARBON,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
018260,SAMSUNG SDS,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
018260,018260,KR7018260000,,KRW,KR
018670,SK GAS LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
018880,HANON SYSTEMS,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
020150,ILJIN MATERIALS,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
020560,ASIANA AIRLINES,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
021240,COWAY LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
022100,POSCO DX COMPANY LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
023530,LOTTE SHOPPING LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
023590,DAOU TECHNOLOGY INC,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
024110,INDUSTRIAL BANK OF KOREA,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
024110,024110,KR7024110009,,KRW,KR
026960,DONG SUH INC,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
027360,AJU IB INVESTMENT CO.LTD LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
028050,SAMSUNG E&A LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
028260,SAMSUNG C&T CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
028260,028260,KR7028260008,,KRW,KR
028300,HLB LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
028300,028300,KR7028300002,,KRW,KR
028670,PAN OCEAN LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
030000,CHEIL WORLDWIDE INC,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
030190,NICE INFORMATION SERVICE LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
030530,WONIK HOLDINGS LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
031980,PSK HOLDINGS INC,,KOREA EXCHANGE (KOSDAQ),JPY,KR
032350,LOTTE TOUR DEVELOPMENT LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
032500,KMW LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
032640,LG UPLUS,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
032640,032640,KR7032640005,,KRW,KR
032830,SAMSUNG LIFE LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
032830,032830,KR7032830002,,KRW,KR
033780,KT&G CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
033780,033780,KR7033780008,,KRW,KR
034020,DOOSAN ENERBILITY LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
034020,034020,KR7034020008,,KRW,KR
034220,LG DISPLAY LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
034220,034220,KR7034220004,,KRW,KR
034230,PARADISE,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
034730,SK INC,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
034730,034730,KR7034730002,,KRW,KR
035250,KANGWON LAND INC,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
035420,NAVER,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
035420,035420,KR7035420009,,KRW,KR
035720,KAKAO,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
035720,035720,KR7035720002,,KRW,KR
035760,CJ ENM,,KOREA EXCHANGE (KOSDAQ),JPY,KR
035900,JYP ENTERTAINMENT CORPORATION CORP,,KOREA EXCHANGE (KOSDAQ),JPY,KR
036460,KOREA GAS,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
036540,SFA SEMICON LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
036570,NC,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
036930,JUSUNG ENGINEERING LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
039030,EO TECHNICS LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
039200,OSCOTEC INC,,KOREA EXCHANGE (KOSDAQ),JPY,KR
039490,KIWOOM SECURITIES LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
041510,SM ENTERTAINMENT LTD,,KOREA EXCHANGE (KOSDAQ),JPY,KR
042660,HANWHA OCEAN LTD,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
042660,042660,KR7042660001,,KRW,KR
042700,HANMI SEMICONDUCTOR,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
042700,042700,KR7042700005,,KRW,KR
047040,DAEWOO ENGINEERING & CONSTRUCTION,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
047050,POSCO INTERNATIONAL CORP,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
047050,047050,KR7047050000,,KRW,KR
047810,KOREA AEROSPACE INDUSTRIES,,KOREA EXCHANGE (STOCK MARKET),JPY,KR
047810,047810,KR7047810007,,KRW,KR
