Ticker,Name,ISIN,Exchange,Currency,Region
99SMART,99SMART,MYL5326OO003,,,MY
AMM,AMM,MYL1015OO006,,,MY
AXIATA,AXIATA,MYL6888OO001,,,MY
CDB,CDB,MYL6947OO005,,,MY
CIMB,CIMB,MYL1023OO000,,,MY
GAM,GAM,MYL5398OO002,,,MY
HLBK,HLBK,MYL5819OO007,,,MY
IHH,IHH,MYL5225OO007,,,MY
IOI,IOI,MYL1961OO001,,,MY
IOIPG,IOIPG,MYL5249OO007,,,MY
KLK,KLK,MYL2445OO004,,,MY
MAXIS,MAXIS,MYL6012OO008,,,MY
MAY,MAY,MYL1155OO000,,,MY
MISC,MISC,MYL3816OO005,,,MY
MRDIY,MRDIY,MYL5296OO008,,,MY
NESZ,NESZ,MYL4707OO005,,,MY
PBK,PBK,MYL1295OO004,,,MY
PCHEM,PCHEM,MYL5183OO008,,,MY
PEP,PEP,MYL4065OO008,,,MY
PETD,PETD,MYL5681OO001,,,MY
PMAH,PMAH,MYL8869OO009,,,MY
PTG,PTG,MYL6033OO004,,,MY
RHBBANK,RHBBANK,MYL1066OO009,,,MY
SDG,SDG,MYL5285OO001,,,MY
SUNMED,SUNMED,MYL5555OO007,,,MY
SWB,SWB,MYL5211OO007,,,MY
T,T,MYL4863OO006,,,MY
TNB,TNB,MYL5347OO009,,,MY
YTL,YTL,MYL4677OO000,,,MY
YTLP,YTLP,MYL6742OO000,,,MY
